scenario,seed,variant,onset_time_s,onset_path_m,left_censored,recovered,right_censored,recovery_start_s,confirmed_s,duration_s,confirmed_phase,observation_end_s,observed_followup_s
delayed_execution,0,full,1.3449999999999616,0.026696386593033083,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.30499999999992,
delayed_execution,0,baseline,1.3399999999999617,0.026638180826492087,False,True,False,1.509999999999958,1.7099999999999538,0.16999999999999638,scan,3.2599999999999207,
delayed_execution,0,image_only,1.3399999999999617,0.026638180826041337,False,True,False,1.509999999999958,1.7099999999999538,0.16999999999999638,scan,3.2599999999999207,
delayed_execution,0,no_aperture,1.3449999999999616,0.026696386592444128,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.30499999999992,
delayed_execution,0,full_consistency,1.3449999999999616,0.02669638659295308,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.30499999999992,
delayed_execution,0,matched_scan_speed,1.3449999999999616,0.026696386592863032,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.30499999999992,
delayed_execution,0,matched_rocking,1.3349999999999618,0.02653817798900868,False,True,False,1.5299999999999576,1.7299999999999534,0.19499999999999584,scan,3.2599999999999207,
delayed_execution,1,full,1.3499999999999615,0.0268335649853513,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2799999999999203,
delayed_execution,1,baseline,1.3499999999999615,0.026838181499804385,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2599999999999207,
delayed_execution,1,image_only,1.3499999999999615,0.026838181499686708,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2599999999999207,
delayed_execution,1,no_aperture,1.3499999999999615,0.02683356498499019,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2799999999999203,
delayed_execution,1,full_consistency,1.3499999999999615,0.026833564985351287,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2799999999999203,
delayed_execution,1,matched_scan_speed,1.3499999999999615,0.026833564985333166,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2799999999999203,
delayed_execution,1,matched_rocking,1.3449999999999616,0.026738181961499758,False,True,False,1.514999999999958,1.7149999999999537,0.16999999999999638,scan,3.2599999999999207,
delayed_execution,2,full,1.3299999999999619,0.026187584469685218,False,True,False,1.514999999999958,1.7149999999999537,0.18499999999999606,scan,3.3299999999999192,
delayed_execution,2,baseline,1.319999999999962,0.026238158331747224,False,True,False,1.5249999999999577,1.7249999999999535,0.20499999999999563,scan,3.2599999999999207,
delayed_execution,2,image_only,1.319999999999962,0.026238158331909293,False,True,False,1.5249999999999577,1.7249999999999535,0.20499999999999563,scan,3.2599999999999207,
delayed_execution,2,no_aperture,1.3299999999999619,0.02618758446941551,False,True,False,1.514999999999958,1.7149999999999537,0.18499999999999606,scan,3.3299999999999192,
delayed_execution,2,full_consistency,1.3299999999999619,0.026187584469609664,False,True,False,1.514999999999958,1.7149999999999537,0.18499999999999606,scan,3.3299999999999192,
delayed_execution,2,matched_scan_speed,1.3299999999999619,0.02618758446952315,False,True,False,1.514999999999958,1.7149999999999537,0.18499999999999606,scan,3.3299999999999192,
delayed_execution,2,matched_rocking,1.3149999999999622,0.02613814780740326,False,True,False,1.5499999999999572,1.749999999999953,0.234999999999995,scan,3.2599999999999207,
delayed_execution,3,full,1.3049999999999624,0.025852810501465137,False,True,False,1.5899999999999563,1.789999999999952,0.2849999999999939,scan,3.3649999999999185,
delayed_execution,3,baseline,1.2999999999999625,0.02583810361155264,False,True,False,1.5849999999999564,1.7849999999999522,0.2849999999999939,scan,3.2599999999999207,
delayed_execution,3,image_only,1.3049999999999624,0.025895022950866386,False,True,False,1.5849999999999564,1.7849999999999522,0.27999999999999403,scan,3.2649999999999206,
delayed_execution,3,no_aperture,1.3049999999999624,0.02584878835670947,False,True,False,1.5899999999999563,1.789999999999952,0.2849999999999939,scan,3.3649999999999185,
delayed_execution,3,full_consistency,1.3049999999999624,0.025852810501465137,False,True,False,1.5949999999999562,1.794999999999952,0.2899999999999938,scan,3.3649999999999185,
delayed_execution,3,matched_scan_speed,1.2999999999999625,0.02575270435391524,False,True,False,1.5949999999999562,1.794999999999952,0.2949999999999937,scan,3.3649999999999185,
delayed_execution,3,matched_rocking,1.2949999999999626,0.025738084609973216,False,True,False,1.5999999999999561,1.7999999999999519,0.3049999999999935,scan,3.2599999999999207,
delayed_execution,4,full,1.3399999999999617,0.026571463690231625,False,True,False,1.5299999999999576,1.7299999999999534,0.18999999999999595,scan,3.3099999999999197,
delayed_execution,4,baseline,1.3349999999999618,0.02653817798900868,False,True,False,1.5249999999999577,1.7249999999999535,0.18999999999999595,scan,3.2599999999999207,
delayed_execution,4,image_only,1.3349999999999618,0.02652743236552214,False,True,False,1.5249999999999577,1.7249999999999535,0.18999999999999595,scan,3.2599999999999207,
delayed_execution,4,no_aperture,1.3399999999999617,0.026571463690123295,False,True,False,1.5349999999999575,1.7349999999999532,0.19499999999999584,scan,3.3099999999999197,
delayed_execution,4,full_consistency,1.3399999999999617,0.026571463690232954,False,True,False,1.5299999999999576,1.7299999999999534,0.18999999999999595,scan,3.3099999999999197,
delayed_execution,4,matched_scan_speed,1.3399999999999617,0.02657146369010856,False,True,False,1.5299999999999576,1.7299999999999534,0.18999999999999595,scan,3.3099999999999197,
delayed_execution,4,matched_rocking,1.3349999999999618,0.02653817798900868,False,True,False,1.5399999999999574,1.7399999999999531,0.20499999999999563,scan,3.2599999999999207,
delayed_execution,5,full,1.3449999999999616,0.02656706074277987,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.3099999999999197,
delayed_execution,5,baseline,1.3349999999999618,0.02653817798900868,False,True,False,1.514999999999958,1.7149999999999537,0.17999999999999616,scan,3.2599999999999207,
delayed_execution,5,image_only,1.3399999999999617,0.026570527492260763,False,True,False,1.514999999999958,1.7149999999999537,0.17499999999999627,scan,3.2649999999999206,
delayed_execution,5,no_aperture,1.3449999999999616,0.02654290214704171,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.3099999999999197,
delayed_execution,5,full_consistency,1.3449999999999616,0.02656706074319393,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.3099999999999197,
delayed_execution,5,matched_scan_speed,1.3449999999999616,0.026567060742565953,False,True,False,1.5199999999999578,1.7199999999999536,0.17499999999999627,scan,3.3099999999999197,
delayed_execution,5,matched_rocking,1.3299999999999619,0.02643817335120355,False,True,False,1.5349999999999575,1.7349999999999532,0.20499999999999563,scan,3.2599999999999207,
delayed_execution,6,full,1.3599999999999612,0.027028498461352458,False,True,False,1.469999999999959,1.6699999999999546,0.10999999999999766,scan,3.2749999999999204,
delayed_execution,6,baseline,1.3599999999999612,0.02703817624041616,False,True,False,1.469999999999959,1.6699999999999546,0.10999999999999766,scan,3.2599999999999207,
delayed_execution,6,image_only,1.3599999999999612,0.02703817596126579,False,True,False,1.469999999999959,1.6699999999999546,0.10999999999999766,scan,3.2599999999999207,
delayed_execution,6,no_aperture,1.3599999999999612,0.027028498461349526,False,True,False,1.469999999999959,1.6699999999999546,0.10999999999999766,scan,3.2749999999999204,
delayed_execution,6,full_consistency,1.3599999999999612,0.027028498461352458,False,True,False,1.469999999999959,1.6699999999999546,0.10999999999999766,scan,3.2749999999999204,
delayed_execution,6,matched_scan_speed,1.3599999999999612,0.027028498461190424,False,True,False,1.469999999999959,1.6699999999999546,0.10999999999999766,scan,3.2749999999999204,
delayed_execution,6,matched_rocking,1.3499999999999615,0.026838181499804385,False,True,False,1.4899999999999585,1.6899999999999542,0.13999999999999702,scan,3.2599999999999207,
delayed_execution,7,full,1.3449999999999616,0.026700830398208752,False,True,False,1.4949999999999584,1.694999999999954,0.1499999999999968,scan,3.28999999999992,
delayed_execution,7,baseline,1.3449999999999616,0.026738181961499758,False,True,False,1.4949999999999584,1.694999999999954,0.1499999999999968,scan,3.2599999999999207,
delayed_execution,7,image_only,1.3449999999999616,0.02668644033557133,False,True,False,1.4949999999999584,1.694999999999954,0.1499999999999968,scan,3.2649999999999206,
delayed_execution,7,no_aperture,1.3449999999999616,0.02668017564085387,False,True,False,1.4999999999999583,1.699999999999954,0.1549999999999967,scan,3.29499999999992,
delayed_execution,7,full_consistency,1.3449999999999616,0.026700830398208752,False,True,False,1.4949999999999584,1.694999999999954,0.1499999999999968,scan,3.28999999999992,
delayed_execution,7,matched_scan_speed,1.3449999999999616,0.02670083039821771,False,True,False,1.4949999999999584,1.694999999999954,0.1499999999999968,scan,3.28999999999992,
delayed_execution,7,matched_rocking,1.3399999999999617,0.026638180826492087,False,True,False,1.5199999999999578,1.7199999999999536,0.17999999999999616,scan,3.2599999999999207,
delayed_execution,9,full,1.3449999999999616,0.02663002544736475,False,True,False,1.5049999999999581,1.7049999999999539,0.1599999999999966,scan,3.3099999999999197,
delayed_execution,9,baseline,1.3399999999999617,0.026638180826492087,False,True,False,1.4999999999999583,1.699999999999954,0.1599999999999966,scan,3.2599999999999207,
delayed_execution,9,image_only,1.3449999999999616,0.026695065724404124,False,True,False,1.4999999999999583,1.699999999999954,0.1549999999999967,scan,3.2649999999999206,
delayed_execution,9,no_aperture,1.3449999999999616,0.0266289436603894,False,True,False,1.5049999999999581,1.7049999999999539,0.1599999999999966,scan,3.30499999999992,
delayed_execution,9,full_consistency,1.3449999999999616,0.026630025447315603,False,True,False,1.5049999999999581,1.7049999999999539,0.1599999999999966,scan,3.3099999999999197,
delayed_execution,9,matched_scan_speed,1.3449999999999616,0.026630025447153042,False,True,False,1.5049999999999581,1.7049999999999539,0.1599999999999966,scan,3.3099999999999197,
delayed_execution,9,matched_rocking,1.3349999999999618,0.02653817798900868,False,True,False,1.5249999999999577,1.7249999999999535,0.18999999999999595,scan,3.2599999999999207,
hard_contact,0,full,0.6749999999999758,0.013337756799226176,False,False,True,,,,,5.274999999999878,4.599999999999902
hard_contact,0,baseline,0.6799999999999757,0.0134380041524729,False,True,False,2.0949999999999456,2.2949999999999413,1.4149999999999698,scan,3.2599999999999207,
hard_contact,0,baseline,2.35999999999994,0.04703800431024045,False,True,False,2.9799999999999267,3.1799999999999224,0.6199999999999868,stop_tail,3.2599999999999207,
hard_contact,0,image_only,0.7299999999999747,0.014438004271475144,False,True,False,2.064999999999946,2.264999999999942,1.3349999999999715,scan,3.2599999999999207,
