scenario,comparator,recorded_pairs,expected_pairs,failed_pairs,interpretation,delta_rmse,delta_absolute_mean_bias,delta_peak_absolute_error,delta_bad_path_m,delta_valid_coverage_rate_m_s,delta_valid_coverage_fraction,delta_registered_image_coverage_m,delta_acoustic_coverage_fraction,delta_angular_travel_rad,delta_measured_forward_m,delta_elapsed_s,delta_force_active_fraction,delta_aperture_active_fraction,delta_omega_width_mechanical_mean,delta_omega_width_force_mean,delta_omega_width_complete_mean,delta_controller_p50_ms,delta_controller_p99_ms,delta_controller_max_ms,delta_simulated_deadline_overruns
healthy,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.020731227719662116,-0.025068253420997798,-0.0004717747691478813,0.0,-0.0001121144488678165,0.0,0.00025237905496362236,0.0,0.00036673828552623967,0.0,0.019999999999999886,0.0,0.0,,,,0.4376948345452547,1.180707607883965,17.897762963548303,1.2
healthy,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.02071468746037245,-0.025051728151645997,-0.0004717747691478813,0.0,0.0,0.0,1.5819465110117336e-06,0.0,0.00036673828552623967,0.0,0.0,0.0,0.0,,,,0.42673636926338077,1.4267344116233338,18.201436544768512,1.2
healthy,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.020731227719662116,-0.025068253420997798,-0.0004717747691478813,0.0,-0.0001121144488678165,0.0,0.00025237905496362236,0.0,0.00036673828552623967,0.0,0.019999999999999886,0.0,0.0,,,,0.3888312494382262,0.5487397748511332,17.01450136024505,1.2
left_gap,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0010387763663917248,0.0009589398244906691,0.0009217903845548658,-5.895356906701829e-05,-0.00022669912697923894,0.000982559484450296,0.0006440496044225398,0.000982559484450296,0.0015220199794176775,0.0,0.046499999999999854,0.7154677868338913,0.0,,,,0.4867143230512738,0.669403792824596,0.5649663740769029,0.0
left_gap,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00032699200134453653,0.000559911409517183,6.71818136994684e-05,-5.000040861020752e-05,1.5142761845494956e-05,0.0008333401435034582,7.999922561234066e-05,0.0008333401435034582,0.0008269455106688648,0.0,0.0,0.7154677868338913,0.0,,,,0.4824038129299879,0.8808098039589842,0.9855342097580433,0.0
left_gap,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0010646973895807599,0.0009519642237959989,0.0008546096890462262,-0.0005089535690670062,-8.866231716329088e-05,0.008482559484450092,0.0010440496044225324,0.008482559484450092,0.0029209226444192418,0.0,0.046499999999999854,0.7154677868338913,0.0,,,,0.4583357600495219,0.6757575448136773,0.7281104102730751,0.0
right_gap,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0015514973533978349,0.0009225888772552533,0.0036602577103614477,1.572502617508062e-05,-0.0002604967277396921,-0.00026208376958466453,0.00012677553175966457,-0.00026208376958466453,0.0009915105789036474,0.0,0.04949999999999979,0.6949537238840116,0.0,,,,0.4933343851007521,0.9996770683210343,1.1893423972651362,0.0
right_gap,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.00010897456874000566,0.000708577353381906,0.00011902780812902413,3.6419287307198206e-05,-1.0860251009877503e-05,-0.0006069881217866335,-8.01457843687306e-05,-0.0006069881217866335,0.0002757588967653756,0.0,0.0,0.6949537238840116,0.0,,,,0.48427474685013294,1.0915752835571766,1.2412159703671932,0.0
right_gap,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0015729146412957029,0.0008984052510588984,0.003573790788170683,-0.0003542749738249147,-0.00014699979522435659,0.005904582897081933,0.0006067755317596561,0.005904582897081933,0.0027837413554298524,0.0,0.04949999999999979,0.6949537238840116,0.0,,,,0.47382687916979194,1.1993420033250004,1.480280002579093,0.0
both_edges,baseline,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.00036681435947933104,-0.00035322002564280527,0.0006576117361313027,0.0,-0.00012548081730947986,0.0,0.00026102695501978025,0.0,0.0001769929170318357,0.0,0.022499999999999833,0.7073443760083139,0.0,,,,0.47110007144510746,1.025838186731562,1.1377527611330152,0.0
both_edges,matched_scan_speed,10,10,1,descriptive recorded-pair differences; no inferential acceptance,0.00020896916715544,-0.00039177915611069884,3.376361113174298e-05,0.0,0.0,0.0,1.4809889425926314e-13,0.0,0.0001769929170318357,0.0,0.0,0.7073443760083139,0.0,,,,0.45157974818721414,1.0490992947015907,1.1905794497579336,0.0
both_edges,matched_rocking,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.00036681435947933104,-0.00035322002564280527,0.0006576117361313027,0.0,-0.00012548081730947986,0.0,0.00026102695501978025,0.0,0.0001769929170318357,0.0,0.022499999999999833,0.7073443760083139,0.0,,,,0.31837400747463107,0.4922554716467856,0.5326570244506001,0.0
central_gap,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-6.322219056846823e-05,-0.0022035985530769924,-0.002209510075548948,0.0,-0.00016188728629104864,0.0,0.00031091153059410596,0.0,0.0002118386707103092,0.0,0.028999999999999825,0.6428955225222367,0.0,,,,0.5338545073755085,1.2967310631647706,1.3551660347729921,0.0
central_gap,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.000319649408454567,-0.0023352373539244397,-0.00016439301035999775,0.0,0.0,0.0,1.4939820653668555e-06,0.0,0.0002118386707103092,0.0,0.0,0.6428955225222367,0.0,,,,0.52310029277578,1.0515291271731255,1.091878768056631,0.0
central_gap,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-6.322219056846823e-05,-0.0022035985530769924,-0.002209510075548948,0.0,-0.00016188728629104864,0.0,0.00031091153059410596,0.0,0.0002118386707103092,0.0,0.028999999999999825,0.6428955225222367,0.0,,,,0.6110570393502712,1.0790800054091958,1.1341422330588102,0.0
shadow,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.0607725235660424,0.05886819309293937,0.07450945211962878,0.0,-0.010351216700292336,0.0,0.0,0.0,0.026136525123499836,0.0,4.1899999999999995,0.8653020134228188,0.04181208053691275,,,,0.6667036446742713,1.4365732567384832,2.03270954079926,0.0
shadow,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.060769410995340965,0.05886555326649162,0.07450913716984506,0.0,0.0,0.0,0.0,0.0,0.026136525123499836,0.0,0.0,0.8653020134228188,0.04181208053691275,,,,0.5591339082457125,0.910264499718323,1.2347380630671978,0.0
shadow,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.0607725235660424,0.05886819309293937,0.07450945211962878,0.0,-0.010351216700292336,0.0,0.0,0.0,0.026136525123499836,0.0,4.1899999999999995,0.8653020134228188,0.04181208053691275,,,,0.5353568587452173,0.9071266148239365,1.4993918593972921,0.0
wrong_direction,baseline,10,10,1,descriptive recorded-pair differences; no inferential acceptance,-0.0008194980424037518,0.002986240323903408,0.002040537773878226,-6.936899305395525e-05,-0.0002418200538884991,0.0011561498842325934,0.00035980455528036165,0.0011561498842325934,-0.005240802061316658,0.0,0.050999999999999844,0.7187170691197589,0.0,,,,0.5350888706743717,0.9967672904022032,1.18352803401649,0.0
