scenario,seed,comparator,full_valid,comparator_valid,angular_travel_rad_ratio_to_full,angular_travel_rad_difference_from_full,scan_angular_travel_rad_ratio_to_full,scan_angular_travel_rad_difference_from_full,measured_positive_travel_m_ratio_to_full,measured_positive_travel_m_difference_from_full,measured_forward_m_ratio_to_full,measured_forward_m_difference_from_full,elapsed_s_ratio_to_full,elapsed_s_difference_from_full
healthy,0,matched_scan_speed,True,True,0.0,-0.00018297074519690043,0.0,-0.00018297074519690046,0.9999999999973344,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,1,matched_scan_speed,True,True,0.0,-0.0005452001171709273,0.0,-0.0005452001171709277,0.9996327834836036,-2.233953006099826e-05,1.0,0.0,1.0,0.0
healthy,2,matched_scan_speed,True,True,0.0,-0.00029996834976520856,0.0,-0.00029994733361472147,0.9999999999973355,-1.6205786712575332e-13,1.0,0.0,1.0,0.0
healthy,3,matched_scan_speed,True,True,0.0,-0.0002990612657690078,0.0,-0.0002990612657690079,0.9999999999973327,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,4,matched_scan_speed,True,True,0.0,-0.00033052047198156445,0.0,-0.0003305204719811521,0.9999999999973327,-1.620509282318494e-13,1.0,0.0,1.0,0.0
healthy,5,matched_scan_speed,True,True,0.0,-0.0007740141613325538,0.0,-0.0007740141613323943,1.0001072330674836,6.520066246989975e-06,1.0,0.0,1.0,0.0
healthy,6,matched_scan_speed,True,True,0.0,-0.0003802115893951044,0.0,-0.0003695266630287422,0.9999999999973336,-1.620509282318494e-13,1.0,0.0,1.0,0.0
healthy,7,matched_scan_speed,True,True,0.0,-0.0004439659924908084,0.0,-0.0004439659924908087,0.9999999999973364,-1.620509282318494e-13,1.0,0.0,1.0,0.0
healthy,8,matched_scan_speed,True,True,0.0,-0.0003149448938587139,0.0,-0.0003078121112335888,0.9999999999973341,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,9,matched_scan_speed,True,True,0.0,-9.652526830160797e-05,0.0,-9.243015523893821e-05,0.9999999999973332,-1.620509282318494e-13,1.0,0.0,1.0,0.0
healthy,0,matched_rocking,True,True,0.0,-0.00018297074519690043,0.0,-0.00018297074519690046,0.9998715698828857,-7.807173540388956e-06,1.0,0.0,0.9969418960244649,-0.009999999999999787
healthy,1,matched_rocking,True,True,0.0,-0.0005452001171709273,0.0,-0.0005452001171709277,0.9991239000022242,-5.329733648370971e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
healthy,2,matched_rocking,True,True,0.0,-0.00029996834976520856,0.0,-0.00029994733361472147,0.9993810113553397,-3.764634024187863e-05,1.0,0.0,0.9939024390243902,-0.020000000000000018
healthy,3,matched_rocking,True,True,0.0,-0.0002990612657690078,0.0,-0.0002990612657690079,1.0005026947391829,3.053917158102326e-05,1.0,0.0,0.9954198473282444,-0.01499999999999968
healthy,4,matched_rocking,True,True,0.0,-0.00033052047198156445,0.0,-0.0003305204719811521,1.0004444327403368,2.7001273479411447e-05,1.0,0.0,0.9939024390243902,-0.020000000000000018
healthy,5,matched_rocking,True,True,0.0,-0.0007740141613325538,0.0,-0.0007740141613323943,0.9996498278891927,-2.1291430096034847e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
healthy,6,matched_rocking,True,True,0.0,-0.0003802115893951044,0.0,-0.0003695266630287422,1.000097443126444,5.922159054344567e-06,1.0,0.0,0.9939024390243902,-0.020000000000000018
healthy,7,matched_rocking,True,True,0.0,-0.0004439659924908084,0.0,-0.0004439659924908087,0.999078607197919,-5.605525466419875e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
healthy,8,matched_rocking,True,True,0.0,-0.0003149448938587139,0.0,-0.0003078121112335888,0.9999661994662532,-2.054515454173733e-06,1.0,0.0,0.9939024390243902,-0.020000000000000018
healthy,9,matched_rocking,True,True,0.0,-9.652526830160797e-05,0.0,-9.243015523893821e-05,1.0002165091785784,1.3156896801189144e-05,1.0,0.0,0.998468606431853,-0.004999999999999893
left_gap,0,matched_scan_speed,True,True,0.9925128241028849,-0.000106182024151448,0.9925128241028839,-0.00010618202415146188,0.9999999999973361,-1.620439893379455e-13,1.0,0.0,1.0,0.0
left_gap,1,matched_scan_speed,True,True,0.8284401044977131,-0.002476449819123764,0.8284401816461291,-0.002476448474875088,0.9999999999973342,-1.620509282318494e-13,1.0,0.0,1.0,0.0
left_gap,2,matched_scan_speed,True,True,0.9162139710720411,-0.001109133968929657,0.9165924497382328,-0.0011036678694903972,0.9999999999973365,-1.620370504440416e-13,1.0,0.0,1.0,0.0
