scenario,seed,variant,status,reason,valid,elapsed_s,reference_s,measured_forward_m,bad_path_m,valid_coverage_fraction,valid_coverage_rate_m_s,acoustic_bad_path_m,acoustic_coverage_fraction,registered_image_coverage_m,invalid_forward_travel_m,qp_failure,mechanical_violations,angular_travel_rad,central_acoustic_gap_fraction,force_active_fraction,aperture_active_fraction,controller_p50_ms,controller_p99_ms,controller_max_ms,simulated_deadline_overruns,wall_s,rmse,absolute_mean_bias,peak_absolute_error,omega_width_mechanical_mean,omega_width_force_mean,omega_width_complete_mean,source_metrics,trace_available,trace_samples,scan_samples,stop_tail_samples,measured_positive_travel_m,measured_reverse_travel_m,scan_angular_travel_rad,scan_max_abs_angle_rad,scan_end_s,scan_controller_p95_ms,scan_force_active_fraction,scan_aperture_active_fraction,scan_required_acoustic_bad_fraction,recovery_events,recovered_events,unconfirmed_events,no_acoustic_deficit,recovery_confirmed_during_scan,recovery_confirmed_during_stop_tail,scan_center_acoustic_bad_fraction,scan_omega_width_mechanical_mean,scan_omega_width_mechanical_samples,scan_omega_width_force_mean,scan_omega_width_force_samples,scan_omega_width_complete_mean,scan_omega_width_complete_samples
both_edges,0,full,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.05932082184596217,0.0,,[],3.523626554819384e-05,0.0,0.6753445635528331,0.0,1.6796679701656103,2.4920745845884085,2.9946428257972,0,2.287722821114585,0.19155271460222936,0.0013176801911893602,0.2970851145851263,0.029999999999999995,0.029999999999999995,0.0299999999993013,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,653,603,50,0.06076428407325132,0.0,3.523626554814906e-05,3.5217346835537977e-05,3.009999999999926,2.1715314127504826,0.7313432835820896,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.0299999999993013,75
both_edges,0,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2690866133198142,2.139907635282725,2.4398830719292164,0,2.0546793139073998,0.19180417479891482,0.0014566767264813784,0.2970359509381346,,,,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,2.0268934662453826,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,0,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800338802032,0.0,,[],0.014536034079556052,0.0,0.0,0.0,1.749985502101481,3.296881529968232,3.684852970764041,0,2.343986056977883,0.788675717218025,0.4113585579702896,1.4790998393236459,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,652,602,50,0.06078146560296162,0.0,0.013503167139684216,0.006471446942059042,3.004999999999926,2.2018710034899405,0.0,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,0,no_aperture,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.059320821526019675,0.0,,[],4.8790814486215796e-05,0.0,0.6768759571209801,0.0,1.7256841529160738,3.692105356603862,3.9626769721508026,0,2.4886536351405084,0.19155194348357168,0.0013160290833434595,0.29708514732807156,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,653,603,50,0.06076428377226789,0.0,4.879081448603982e-05,4.87908140585519e-05,3.009999999999926,3.148174029774964,0.7330016583747927,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,0,full_consistency,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.059320821845979615,0.0,,[],3.523626685698456e-05,0.0,0.6753445635528331,0.0,1.6922480426728725,2.5084335543215275,2.8464149218052626,0,2.3017314050812274,0.1915527145937763,0.001317680167117859,0.29708511458612197,0.029999999999999995,0.029999999999999995,0.029999999999235378,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,653,603,50,0.06076428407326877,0.0,3.5236266856939764e-05,3.5217348608715244e-05,3.009999999999926,2.219572174362838,0.7313432835820896,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999235378,75
both_edges,0,matched_scan_speed,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.059320821845800134,0.0,,[],0.0,0.0,0.0,0.0,1.2587320525199175,1.4252874813973906,1.4732400886714458,0,1.963154335040599,0.1916717366320111,0.0015018972353506707,0.29708504297750604,,,,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,653,603,50,0.060764284073089286,0.0,0.0,0.0,3.009999999999926,1.3818565290421247,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,0,matched_rocking,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.2898675631731749,2.508483906276524,2.6728122029453516,0,2.0834568419959396,0.19180417479891482,0.0014566767264813784,0.2970359509381346,,,,MD/contact_qp/design_v2/both_edges/0/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,2.2323473705910146,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,1,full,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.05993091579299695,0.0,,[],0.00016456484586310237,0.0,0.6763358778625954,0.0,1.7044779378920794,2.5066410843282942,2.546112984418869,0,2.305153960129246,0.19208809373214936,0.0005102991289450187,0.2996417894319441,0.030000000000000002,0.030000000000000002,0.029999999990653975,MD/contact_qp/design_v2/both_edges/1/metrics.json,True,655,605,50,0.06077437005633402,0.0,0.00016456484586310262,0.00016456484036764723,3.019999999999926,2.2709846496582027,0.7322314049586777,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999992,76,0.029999999999999992,76,0.029999999984505265,76
both_edges,1,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,0.0,1.238450058735907,2.405278161168099,2.671856200322509,0,2.0829463189002126,0.192093110011298,0.0011608603203382398,0.2969690501295359,,,,MD/contact_qp/design_v2/both_edges/1/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,2.1579196793027218,0.0,0.0,0.0,0,0,0,True,0,0,0.0,,0,,0,,0
both_edges,1,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800122073853,0.0,,[],0.020213125709655246,0.0,0.0,0.0,1.7183870077133179,3.4414492221549153,3.844788996502757,0,2.3106733330059797,0.7891926968865216,0.4188700300723573,1.4784508118158248,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v2/both_edges/1/metrics.json,True,652,602,50,0.060781463435634085,0.0,0.019530711587058835,0.009885465667096844,3.004999999999926,2.1933891926892093,0.0,0.0,0.0,0,0,0,True,0,0,0.0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
