t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
0.0000,0.000000,0.000266,-0.266,0.00000,0.05280,-0.00010,0.00000
0.0201,0.000011,0.000266,-0.255,0.00105,0.05195,-0.00006,0.00000
0.0401,0.000042,0.000265,-0.223,0.00208,0.05111,-0.00004,0.00000
0.0601,0.000094,0.000265,-0.171,0.00310,0.05026,-0.00002,0.00000
0.0801,0.000166,0.000265,-0.099,0.00409,0.04942,0.00165,0.08315
0.1001,0.000257,0.000269,-0.011,0.00507,0.04857,0.00583,0.20921
0.1201,0.000368,0.000291,0.078,0.00603,0.04773,0.00983,0.19988
0.1401,0.000499,0.000404,0.094,0.00698,0.04688,0.01039,0.02826
0.1601,0.000647,0.000597,0.051,0.00791,0.04604,0.00907,-0.06619
0.1801,0.000815,0.000794,0.021,0.00882,0.04519,0.00917,0.00481
0.2001,0.001000,0.000973,0.028,0.00972,0.04435,0.01075,0.07917
0.2201,0.001203,0.001157,0.046,0.01060,0.04350,0.01241,0.08299
0.2401,0.001424,0.001375,0.049,0.01146,0.04266,0.01317,0.03787
0.2601,0.001662,0.001624,0.037,0.01230,0.04182,0.01342,0.01246
0.2801,0.001916,0.001888,0.028,0.01313,0.04097,0.01397,0.02769
0.3001,0.002187,0.002160,0.027,0.01394,0.04012,0.01486,0.04460
0.3201,0.002474,0.002439,0.035,0.01474,0.03928,0.01601,0.05717
0.3401,0.002777,0.002737,0.039,0.01551,0.03843,0.01692,0.04574
0.3601,0.003094,0.003067,0.027,0.01627,0.03759,0.01705,0.00629
0.3801,0.003427,0.003408,0.019,0.01702,0.03675,0.01756,0.02576
0.4001,0.003775,0.003748,0.027,0.01774,0.03590,0.01874,0.05904
0.4201,0.004137,0.004106,0.031,0.01845,0.03506,0.01957,0.04117
0.4401,0.004513,0.004481,0.033,0.01915,0.03421,0.02027,0.03542
0.4601,0.004902,0.004874,0.028,0.01982,0.03337,0.02072,0.02239
0.4801,0.005305,0.005284,0.022,0.02048,0.03252,0.02114,0.02111
0.5001,0.005722,0.005702,0.020,0.02112,0.03168,0.02178,0.03191
0.5201,0.006151,0.006129,0.022,0.02175,0.03083,0.02252,0.03676
0.5401,0.006591,0.006568,0.024,0.02236,0.02999,0.02319,0.03352
0.5601,0.007045,0.007023,0.022,0.02295,0.02914,0.02368,0.02447
0.5801,0.007509,0.007489,0.020,0.02352,0.02830,0.02416,0.02395
0.6001,0.007986,0.007965,0.020,0.02408,0.02745,0.02478,0.03142
0.6201,0.008472,0.008452,0.020,0.02462,0.02661,0.02529,0.02551
0.6401,0.008970,0.008951,0.019,0.02514,0.02576,0.02579,0.02471
0.6601,0.009478,0.009461,0.017,0.02565,0.02492,0.02621,0.02117
0.6801,0.009996,0.009981,0.015,0.02614,0.02407,0.02664,0.02116
0.7001,0.010524,0.010506,0.017,0.02661,0.02323,0.02722,0.02942
0.7201,0.011060,0.011043,0.017,0.02707,0.02238,0.02762,0.01999
0.7401,0.011605,0.011589,0.017,0.02751,0.02154,0.02808,0.02263
0.7601,0.012160,0.012146,0.014,0.02793,0.02069,0.02836,0.01415
0.7801,0.012723,0.012706,0.017,0.02834,0.01985,0.02895,0.02955
0.8001,0.013293,0.013276,0.018,0.02872,0.01901,0.02934,0.01931
0.8201,0.013872,0.013859,0.013,0.02910,0.01816,0.02946,0.00620
0.8401,0.014457,0.014445,0.013,0.02945,0.01732,0.02988,0.02104
0.8601,0.015050,0.015039,0.011,0.02979,0.01647,0.03014,0.01275
0.8801,0.015649,0.015636,0.013,0.03011,0.01563,0.03057,0.02181
0.9001,0.016255,0.016242,0.013,0.03041,0.01478,0.03086,0.01430
0.9201,0.016865,0.016853,0.012,0.03070,0.01394,0.03110,0.01214
0.9401,0.017482,0.017470,0.011,0.03097,0.01309,0.03135,0.01248
0.9601,0.018104,0.018098,0.006,0.03122,0.01225,0.03134,-0.00058
0.9801,0.018732,0.018722,0.010,0.03146,0.01140,0.03185,0.02546
1.0001,0.019362,0.019352,0.010,0.03168,0.01056,0.03204,0.00940
1.0201,0.019998,0.019992,0.006,0.03188,0.00971,0.03205,0.00052
1.0401,0.020639,0.020630,0.008,0.03207,0.00887,0.03239,0.01696
1.0601,0.021281,0.021273,0.009,0.03224,0.00802,0.03254,0.00786
1.0801,0.021928,0.021921,0.007,0.03239,0.00718,0.03261,0.00315
1.1001,0.022576,0.022571,0.005,0.03253,0.00633,0.03268,0.00365
1.1202,0.023232,0.023226,0.007,0.03264,0.00548,0.03289,0.01046
1.1401,0.023882,0.023880,0.002,0.03274,0.00464,0.03276,-0.00616
1.1601,0.024537,0.024535,0.002,0.03283,0.00380,0.03292,0.00756
1.1801,0.025196,0.025194,0.002,0.03290,0.00295,0.03294,0.00131
1.2001,0.025853,0.025851,0.002,0.03295,0.00211,0.03302,0.00385
1.2201,0.026515,0.026510,0.005,0.03298,0.00126,0.03321,0.00951
1.2401,0.027172,0.027172,-0.000,0.03300,0.00042,0.03290,-0.01526
1.2601,0.027832,0.027834,-0.002,0.03300,-0.00042,0.03292,0.00054
1.2801,0.028492,0.028490,0.002,0.03298,-0.00127,0.03311,0.00966
1.3001,0.029152,0.029149,0.003,0.03295,-0.00212,0.03307,-0.00188
1.3201,0.029810,0.029812,-0.003,0.03290,-0.00296,0.03272,-0.01753
1.3401,0.030468,0.030469,-0.002,0.03283,-0.00381,0.03278,0.00313
1.3601,0.031123,0.031124,-0.001,0.03274,-0.00465,0.03273,-0.00279
1.3801,0.031776,0.031781,-0.005,0.03264,-0.00549,0.03243,-0.01506
1.4001,0.032428,0.032431,-0.003,0.03252,-0.00634,0.03245,0.00134
1.4201,0.033078,0.033084,-0.005,0.03239,-0.00718,0.03217,-0.01394
1.4401,0.033724,0.033731,-0.008,0.03224,-0.00803,0.03194,-0.01178
1.4601,0.034367,0.034373,-0.006,0.03207,-0.00887,0.03188,-0.00271
1.4801,0.035006,0.035013,-0.007,0.03188,-0.00972,0.03165,-0.01164
1.5001,0.035642,0.035648,-0.005,0.03168,-0.01056,0.03152,-0.00673
1.5201,0.036273,0.036280,-0.007,0.03146,-0.01141,0.03121,-0.01536
1.5401,0.036901,0.036907,-0.006,0.03122,-0.01225,0.03101,-0.00984
1.5601,0.037523,0.037531,-0.008,0.03097,-0.01310,0.03067,-0.01706
1.5801,0.038139,0.038151,-0.012,0.03070,-0.01394,0.03023,-0.02186
1.6001,0.038750,0.038760,-0.010,0.03041,-0.01479,0.03011,-0.00635
1.6201,0.039358,0.039362,-0.005,0.03011,-0.01563,0.03002,-0.00437
1.6401,0.039954,0.039966,-0.012,0.02979,-0.01648,0.02929,-0.03646
1.6601,0.040547,0.040563,-0.016,0.02945,-0.01732,0.02884,-0.02262
1.6801,0.041132,0.041147,-0.015,0.02909,-0.01817,0.02858,-0.01277
1.7001,0.041710,0.041723,-0.013,0.02872,-0.01901,0.02832,-0.01302
1.7201,0.042281,0.042290,-0.010,0.02833,-0.01986,0.02805,-0.01382
1.7401,0.042844,0.042854,-0.010,0.02793,-0.02070,0.02758,-0.02331
1.7601,0.043399,0.043413,-0.014,0.02750,-0.02155,0.02697,-0.03065
1.7801,0.043944,0.043960,-0.016,0.02707,-0.02239,0.02648,-0.02454
