t_s,x_tgt_m,x_meas_m,err_mm,v_ff_m_s,a_ff,v_cmd_m_s,a_cmd
0.0000,0.000000,0.000266,-0.266,0.00000,0.05280,-0.00009,0.00000
0.0201,0.000011,0.000265,-0.255,0.00105,0.05195,-0.00006,0.00000
0.0401,0.000042,0.000264,-0.222,0.00208,0.05111,-0.00004,0.00000
0.0601,0.000094,0.000264,-0.171,0.00310,0.05026,-0.00002,0.00000
0.0801,0.000166,0.000264,-0.099,0.00409,0.04942,0.00152,0.07690
0.1001,0.000257,0.000268,-0.011,0.00507,0.04857,0.00568,0.20776
0.1201,0.000368,0.000287,0.081,0.00603,0.04773,0.00981,0.20658
0.1401,0.000499,0.000397,0.101,0.00698,0.04688,0.01065,0.04192
0.1601,0.000647,0.000591,0.057,0.00791,0.04604,0.00935,-0.06484
0.1801,0.000815,0.000795,0.020,0.00882,0.04519,0.00911,-0.01199
0.2001,0.001000,0.000980,0.020,0.00972,0.04435,0.01041,0.06520
0.2201,0.001203,0.001162,0.041,0.01060,0.04350,0.01224,0.09105
0.2401,0.001424,0.001373,0.051,0.01146,0.04266,0.01328,0.05215
0.2601,0.001662,0.001620,0.042,0.01230,0.04182,0.01362,0.01685
0.2801,0.001916,0.001887,0.029,0.01313,0.04097,0.01396,0.01738
0.3001,0.002187,0.002166,0.021,0.01394,0.04013,0.01455,0.02936
0.3201,0.002473,0.002444,0.029,0.01474,0.03928,0.01583,0.06381
0.3401,0.002776,0.002736,0.040,0.01551,0.03844,0.01701,0.05934
0.3601,0.003094,0.003061,0.033,0.01627,0.03759,0.01729,0.01403
0.3801,0.003427,0.003403,0.023,0.01702,0.03675,0.01771,0.02089
0.4001,0.003774,0.003751,0.023,0.01774,0.03590,0.01853,0.04102
0.4201,0.004136,0.004111,0.025,0.01845,0.03506,0.01932,0.03944
0.4401,0.004512,0.004482,0.030,0.01915,0.03421,0.02022,0.04507
0.4601,0.004902,0.004872,0.030,0.01982,0.03337,0.02084,0.03084
0.4801,0.005305,0.005280,0.026,0.02048,0.03252,0.02130,0.02299
0.5001,0.005721,0.005702,0.020,0.02112,0.03168,0.02173,0.02137
0.5201,0.006150,0.006131,0.019,0.02175,0.03083,0.02240,0.03347
0.5401,0.006591,0.006565,0.026,0.02236,0.02999,0.02331,0.04585
0.5601,0.007046,0.007018,0.028,0.02295,0.02914,0.02393,0.03074
0.5801,0.007509,0.007489,0.020,0.02352,0.02830,0.02410,0.00864
0.6001,0.007985,0.007971,0.014,0.02408,0.02745,0.02449,0.01954
0.6201,0.008472,0.008456,0.016,0.02462,0.02661,0.02517,0.03400
0.6401,0.008969,0.008948,0.021,0.02514,0.02576,0.02592,0.03762
0.6601,0.009477,0.009456,0.021,0.02565,0.02492,0.02638,0.02298
0.6801,0.009996,0.009980,0.016,0.02614,0.02407,0.02661,0.01150
0.7001,0.010523,0.010508,0.015,0.02661,0.02323,0.02710,0.02457
0.7201,0.011060,0.011045,0.015,0.02707,0.02238,0.02757,0.02351
0.7401,0.011606,0.011589,0.016,0.02751,0.02154,0.02807,0.02492
0.7601,0.012160,0.012144,0.016,0.02793,0.02070,0.02848,0.02029
0.7801,0.012723,0.012705,0.018,0.02834,0.01985,0.02896,0.02406
0.8001,0.013293,0.013277,0.016,0.02872,0.01901,0.02924,0.01410
0.8201,0.013871,0.013860,0.011,0.02910,0.01816,0.02943,0.00925
0.8401,0.014457,0.014443,0.014,0.02945,0.01732,0.02996,0.02641
0.8601,0.015049,0.015038,0.011,0.02979,0.01647,0.03014,0.00938
0.8801,0.015649,0.015638,0.011,0.03011,0.01563,0.03048,0.01686
0.9001,0.016253,0.016243,0.010,0.03041,0.01478,0.03075,0.01339
0.9201,0.016865,0.016854,0.011,0.03070,0.01394,0.03107,0.01613
0.9401,0.017482,0.017468,0.013,0.03097,0.01309,0.03146,0.01934
0.9601,0.018104,0.018093,0.010,0.03122,0.01225,0.03155,0.00460
0.9801,0.018732,0.018721,0.011,0.03146,0.01140,0.03183,0.01412
1.0001,0.019362,0.019353,0.009,0.03168,0.01056,0.03197,0.00685
1.0202,0.020002,0.019993,0.009,0.03188,0.00971,0.03221,0.01207
1.0401,0.020638,0.020632,0.006,0.03207,0.00887,0.03223,0.00078
1.0601,0.021281,0.021276,0.004,0.03224,0.00802,0.03238,0.00752
1.0801,0.021927,0.021921,0.006,0.03239,0.00718,0.03260,0.01125
1.1001,0.022576,0.022569,0.007,0.03253,0.00633,0.03278,0.00894
1.1201,0.023227,0.023224,0.003,0.03264,0.00549,0.03271,-0.00337
1.1401,0.023881,0.023880,0.001,0.03274,0.00464,0.03276,0.00220
1.1601,0.024537,0.024533,0.004,0.03283,0.00380,0.03302,0.01301
1.1801,0.025195,0.025193,0.002,0.03290,0.00295,0.03293,-0.00407
1.2001,0.025854,0.025852,0.002,0.03295,0.00211,0.03302,0.00406
1.2202,0.026515,0.026511,0.004,0.03298,0.00126,0.03316,0.00707
1.2401,0.027172,0.027174,-0.001,0.03300,0.00042,0.03289,-0.01341
1.2601,0.027832,0.027835,-0.002,0.03300,-0.00043,0.03291,0.00109
1.2802,0.028497,0.028491,0.006,0.03298,-0.00128,0.03329,0.01904
1.3001,0.029152,0.029151,0.001,0.03295,-0.00212,0.03292,-0.01852
1.3201,0.029810,0.029817,-0.007,0.03290,-0.00296,0.03259,-0.01677
1.3401,0.030468,0.030474,-0.007,0.03283,-0.00381,0.03261,0.00099
1.3601,0.031123,0.031128,-0.005,0.03274,-0.00465,0.03258,-0.00136
1.3801,0.031777,0.031781,-0.004,0.03264,-0.00549,0.03251,-0.00343
1.4002,0.032433,0.032429,0.005,0.03252,-0.00635,0.03278,0.01332
1.4201,0.033078,0.033083,-0.005,0.03239,-0.00718,0.03210,-0.03365
1.4401,0.033725,0.033736,-0.011,0.03224,-0.00803,0.03178,-0.01604
1.4601,0.034368,0.034377,-0.009,0.03207,-0.00887,0.03179,0.00018
1.4802,0.035012,0.035015,-0.003,0.03188,-0.00972,0.03184,0.00280
1.5002,0.035648,0.035650,-0.002,0.03168,-0.01057,0.03163,-0.01070
1.5201,0.036274,0.036286,-0.012,0.03146,-0.01141,0.03095,-0.03412
1.5401,0.036900,0.036916,-0.015,0.03122,-0.01225,0.03066,-0.01424
1.5601,0.037522,0.037535,-0.013,0.03097,-0.01310,0.03057,-0.00450
1.5801,0.038139,0.038148,-0.009,0.03070,-0.01394,0.03045,-0.00628
1.6002,0.038756,0.038756,-0.000,0.03041,-0.01479,0.03048,0.00187
1.6201,0.039357,0.039366,-0.009,0.03011,-0.01563,0.02972,-0.03836
1.6401,0.039955,0.039974,-0.019,0.02979,-0.01648,0.02903,-0.03418
1.6601,0.040547,0.040563,-0.016,0.02945,-0.01732,0.02894,-0.00462
1.6802,0.041137,0.041143,-0.006,0.02909,-0.01817,0.02902,0.00392
1.7002,0.041714,0.041723,-0.009,0.02872,-0.01902,0.02836,-0.03281
1.7201,0.042281,0.042299,-0.018,0.02833,-0.01986,0.02762,-0.03687
1.7401,0.042844,0.042861,-0.018,0.02793,-0.02070,0.02733,-0.01446
1.7601,0.043398,0.043414,-0.016,0.02751,-0.02155,0.02699,-0.01716
1.7801,0.043944,0.043958,-0.014,0.02707,-0.02239,0.02660,-0.01937
1.8001,0.044481,0.044496,-0.015,0.02661,-0.02324,0.02609,-0.02561
1.8201,0.045008,0.045028,-0.020,0.02614,-0.02408,0.02540,-0.03467
1.8401,0.045526,0.045548,-0.022,0.02565,-0.02492,0.02489,-0.02566
1.8601,0.046034,0.046052,-0.018,0.02514,-0.02577,0.02458,-0.01538
1.8801,0.046531,0.046544,-0.013,0.02462,-0.02661,0.02423,-0.01727
1.9001,0.047018,0.047033,-0.015,0.02407,-0.02746,0.02356,-0.03351
1.9201,0.047494,0.047515,-0.020,0.02352,-0.02830,0.02277,-0.03978
1.9401,0.047959,0.047980,-0.022,0.02294,-0.02915,0.02220,-0.02852
1.9601,0.048412,0.048434,-0.022,0.02235,-0.02999,0.02160,-0.02962
1.9801,0.048853,0.048873,-0.020,0.02174,-0.03084,0.02109,-0.02561
2.0001,0.049282,0.049304,-0.023,0.02112,-0.03168,0.02031,-0.03915
2.0201,0.049698,0.049725,-0.027,0.02048,-0.03253,0.01952,-0.03946
2.0401,0.050100,0.050129,-0.029,0.01982,-0.03337,0.01881,-0.03564
2.0601,0.050490,0.050514,-0.024,0.01914,-0.03422,0.01838,-0.02137
2.0801,0.050866,0.050886,-0.020,0.01845,-0.03506,0.01781,-0.02858
2.1001,0.051228,0.051250,-0.023,0.01774,-0.03591,0.01694,-0.04325
2.1201,0.051575,0.051604,-0.028,0.01701,-0.03675,0.01599,-0.04786
2.1401,0.051908,0.051937,-0.029,0.01627,-0.03760,0.01527,-0.03578
2.1601,0.052226,0.052255,-0.029,0.01551,-0.03844,0.01451,-0.03822
2.1801,0.052528,0.052558,-0.030,0.01473,-0.03929,0.01373,-0.03901
2.2001,0.052815,0.052840,-0.025,0.01394,-0.04013,0.01314,-0.02937
2.2201,0.053086,0.053114,-0.028,0.01313,-0.04098,0.01212,-0.05070
2.2401,0.053340,0.053372,-0.032,0.01230,-0.04182,0.01117,-0.04766
2.2601,0.053578,0.053608,-0.030,0.01145,-0.04267,0.01044,-0.03633
2.2801,0.053798,0.053828,-0.030,0.01059,-0.04351,0.00959,-0.04269
2.3001,0.054001,0.054037,-0.036,0.00971,-0.04436,0.00844,-0.05764
2.3201,0.054186,0.054223,-0.036,0.00882,-0.04520,0.00757,-0.04329
2.3401,0.054354,0.054385,-0.031,0.00790,-0.04604,0.00690,-0.03378
2.3601,0.054502,0.054532,-0.029,0.00697,-0.04689,0.00600,-0.04472
2.3801,0.054633,0.054663,-0.030,0.00603,-0.04773,0.00498,-0.05120
2.4001,0.054743,0.054776,-0.032,0.00507,-0.04858,0.00395,-0.05134
2.4201,0.054835,0.054873,-0.038,0.00408,-0.04942,0.00273,-0.06097
2.4401,0.054907,0.054950,-0.043,0.00309,-0.05027,0.00155,-0.05896
2.4601,0.054958,0.055001,-0.042,0.00207,-0.05111,0.00064,-0.04560
2.4801,0.054990,0.055024,-0.035,0.00104,-0.05196,-0.00006,-0.03487
2.5001,0.055000,0.055032,-0.032,0.00000,0.00000,-0.00107,-0.05061
2.5201,0.055000,0.055030,-0.030,0.00000,0.00000,-0.00099,0.00408
2.5402,0.055000,0.055024,-0.024,0.00000,0.00000,-0.00077,0.01067
2.5601,0.055000,0.055017,-0.017,0.00000,0.00000,0.00000,0.03870
2.5801,0.055000,0.055012,-0.012,0.00000,0.00000,0.00000,0.00000
2.6001,0.055000,0.055013,-0.013,0.00000,0.00000,0.00000,0.00000
2.6202,0.055000,0.055013,-0.013,0.00000,0.00000,0.00000,0.00000
2.6402,0.055000,0.055013,-0.013,0.00000,0.00000,0.00000,0.00000
2.6603,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.6801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.7001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.7203,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.7402,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.7601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.7801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.8001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.8201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.8401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.8601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.8801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.9001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.9201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.9401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.9601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
2.9801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.0001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.0201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.0401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.0601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.0801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.1001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.1201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.1401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.1601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.1801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.2001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.2201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.2401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.2601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.2801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.3001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.3201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.3401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.3601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.3801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.4001,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.4201,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.4401,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.4601,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.4801,0.055000,0.055014,-0.014,0.00000,0.00000,0.00000,0.00000
3.5001,0.055000,0.055014,-0.014,-0.00000,-0.01579,0.00000,0.00000
3.5201,0.054997,0.055014,-0.016,-0.00026,-0.00994,0.00000,0.00000
3.5401,0.054990,0.055014,-0.023,-0.00041,-0.00510,-0.00127,-0.06350
3.5601,0.054982,0.055011,-0.029,-0.00047,-0.00143,-0.00152,-0.01268
3.5801,0.054972,0.054995,-0.023,-0.00047,0.00090,-0.00117,0.01763
3.6001,0.054963,0.054975,-0.012,-0.00044,0.00179,0.00000,0.05856
3.6201,0.054954,0.054963,-0.009,-0.00041,0.00123,0.00000,0.00000
3.6401,0.054946,0.054964,-0.018,-0.00040,-0.00075,0.00000,0.00000
3.6601,0.054938,0.054964,-0.026,-0.00045,-0.00405,-0.00144,-0.07213
3.6801,0.054928,0.054962,-0.034,-0.00057,-0.00850,-0.00180,-0.01795
3.7001,0.054914,0.054937,-0.022,-0.00079,-0.01388,-0.00142,0.01890
3.7201,0.054895,0.054900,-0.005,-0.00113,-0.01993,-0.00109,0.01644
3.7402,0.054868,0.054869,-0.001,-0.00160,-0.02638,-0.00161,-0.02560
3.7601,0.054831,0.054845,-0.014,-0.00219,-0.03285,-0.00281,-0.06025
3.7801,0.054780,0.054810,-0.030,-0.00291,-0.03907,-0.00410,-0.06417
3.8001,0.054714,0.054748,-0.035,-0.00375,-0.04472,-0.00497,-0.04378
3.8201,0.054629,0.054655,-0.025,-0.00469,-0.04950,-0.00545,-0.02416
3.8401,0.054525,0.054553,-0.028,-0.00572,-0.05311,-0.00668,-0.06123
3.8601,0.054400,0.054440,-0.039,-0.00680,-0.05534,-0.00827,-0.07949
