frac_lt_0p1,hz_med,ka,kd,ki,kp,max_mm,median_mm,n,p95_mm,panic,rmse_mm,score,settle_mm,tag,v_cmd_max,vib_jerk_rms
0.35694050991501414,50.000000000001066,0.0,0.18,0.0,32.0,1.089,0.175,6001,0.528,,0.2694693440426391,0.8844725379064443,0.2730921052631579,kp32_kd0.18_ki0_ka0,0.11696,2692.021292425368
0.3527745375770705,50.000000000001066,0.0,0.22,0.0,32.0,1.059,0.176,6001,0.527,,0.26945667558378267,0.8959077624666277,0.2729078947368421,kp32_kd0.22_ki0_ka0,0.11131,2771.007245885634
0.35760706548908516,50.000000000001066,0.0,0.26,0.0,32.0,1.082,0.177,6001,0.526,,0.26833222095603704,0.8777000854295265,0.27726666666666666,kp32_kd0.26_ki0_ka0,0.1113,2659.785763156596
0.3677720379936677,50.000000000001066,0.0,0.18,0.0,34.0,1.063,0.166,6001,0.498,,0.25395698712206227,0.8665094397479667,0.2659999999999999,kp34_kd0.18_ki0_ka0,0.11408,2755.683017506029
0.36977170471588067,50.000000000001066,0.0,0.22,0.0,34.0,1.062,0.165,6001,0.495,,0.252812062298313,0.8405796964941157,0.2662105263157894,kp34_kd0.22_ki0_ka0,0.11188,2598.4508946386845
0.36927178803532745,50.000000000001066,0.0,0.26,0.0,34.0,1.06,0.164,6001,0.495,,0.25261494799003614,0.8583825505557237,0.26913157894736844,kp34_kd0.26_ki0_ka0,0.11332,2718.4506837712506
0.37943676053991,50.000000000001066,0.0,0.18,0.0,36.0,1.085,0.157,6001,0.472,,0.24133493028411254,0.8665700000479069,0.26300000000000007,kp36_kd0.18_ki0_ka0,0.11469,2909.567131758629
0.37943676053991,50.000000000001066,0.0,0.22,0.0,36.0,1.058,0.158,6001,0.471,,0.24128304522976216,0.9192411620076233,0.2587368421052631,kp36_kd0.22_ki0_ka0,0.11793,3263.7207785190744
0.3789368438593568,50.000000000001066,0.0,0.26,0.0,36.0,1.051,0.157,6001,0.471,,0.23991338699856485,0.8612336562248899,0.25968421052631585,kp36_kd0.26_ki0_ka0,0.11157,2886.1351281755
