frame,image_time_s,effective_time_s,left,center,right,valid,force_n,torque_y_nm,aligned_covered,window_version,registration_version
0,0.0,-0.15196365053143768,1.773156719901956e-05,1.179317825435631e-05,1.0138929126694375e-05,True,,,False,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
1,0.03191518783569336,-0.12004846269574432,2.248807253657966e-05,1.4672740002589016e-05,9.927852069093113e-06,True,,,False,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
2,0.0638885498046875,-0.08807510072675018,4.841281257636164e-05,3.0792644250556704e-05,2.0792193790609682e-05,True,,,False,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
3,0.0999457836151123,-0.05201786691632537,1.714900012597542e-05,1.1100160468766034e-05,8.780346187536193e-06,True,,,False,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
4,0.13190889358520508,-0.0200547569462326,1.5770162556626058e-05,9.937310437287555e-06,7.660826334711282e-06,True,,,False,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
5,0.16402721405029297,0.012063563518855291,1.673384602090656e-05,1.0451549488313744e-05,8.083143485856647e-06,True,4.127122217074476,-0.007017189605858209,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
6,0.19985485076904297,0.04789120023760529,6.753380051981499e-05,4.6357586891071884e-05,3.2475819345016046e-05,True,3.9539417288377225,0.008124306884636083,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
7,0.23194146156311035,0.07997781103167267,0.0003223115823551998,0.00021891644677067776,0.00015383180266581058,True,4.054382458902883,0.011326498605167712,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
8,0.26389360427856445,0.11192995374712678,0.0007442626664223513,0.0005288730316998447,0.0003763187857544209,True,3.883602221605556,0.007929190087776334,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
9,0.29996800422668457,0.1480043536952469,0.0005205335665656274,0.0003690008411237018,0.0002594367042270778,True,3.9181234176675286,-0.0017021520715254641,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
10,0.331958532333374,0.17999488180193635,0.09977776499540666,0.054997995881549605,0.04173732091545578,True,3.9259303238168237,0.014158654056216444,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
11,0.36390161514282227,0.2119379646113846,0.074221986526295,0.04381350108324904,0.03533354324866546,True,3.940151236765666,-0.0016013075720616565,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
12,0.3999497890472412,0.24798613851580353,0.07154728938406738,0.05027993744663852,0.04157202078252226,True,4.074250156520652,-0.009214210032525882,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
13,0.4318878650665283,0.27992421453509064,0.04668937536187595,0.03389198942834947,0.02942250321881804,True,4.155740564839544,0.00478892747673593,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
14,0.46407556533813477,0.3121119148066971,0.04305401371651182,0.02588767887380869,0.023442195300522065,True,4.347374808353735,-0.018957697996804173,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
15,0.4998793601989746,0.34791570966753693,0.01960406466706619,0.015052982514316072,0.014281872788353299,True,3.96259629552684,0.005889248356123921,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
16,0.5319068431854248,0.3799431926539871,0.014749299488959358,0.0113382232582762,0.010884688403229972,True,4.061394426634843,0.0010767776259454295,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
17,0.5639424324035645,0.4119787818721268,0.011445056847451382,0.008070204846581223,0.006760989608328344,True,3.8420729996545364,-0.012330425715642431,True,fecfe5c107ef36f7ce31,b31ab2e79accf9430eb4
