scan,mode,moving_samples,acceptance_mask_differences,deferral_count_before,deferral_count_after,max_component_abs_difference,max_z_abs_difference_m_s,max_omega_abs_difference_rad_s,max_reconstructed_alpha_abs_difference,max_tank_trace_abs_difference_j,tank_end_abs_difference_j,omega_error_max_before,omega_error_max_after,pairing_error_max_before,pairing_error_max_after,energy_margin_min_before,energy_margin_min_after,mean_cost_before_s,mean_cost_after_s,p95_cost_before_s,p95_cost_after_s,max_cost_before_s,max_cost_after_s,before_velocity_violation,before_angle_violation_rad,before_consecutive_moving_slew_violation,before_aperture_violation_m_s,after_velocity_violation,after_angle_violation_rad,after_consecutive_moving_slew_violation,after_aperture_violation_m_s
003/LH_Per_C_DtP,confidence_cop_v1,4126,0,0,0,1.2751923620778899e-09,1.392959115024614e-11,1.2751923620778899e-09,5.82284942485245e-09,7.442213512121043e-12,0.0,1.2835040777599283e-10,2.168404344971009e-19,1.958732034596471e-12,6.434803421172513e-19,1.1505763498836687,1.1505763498423842,0.0024089401815214923,0.0018131691338754987,0.002483770504113636,0.0018338642512389924,0.0028821519954362884,0.002517337998142466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_C_PtD,confidence_angular_v1,4582,0,0,0,1.0373611024003249e-09,2.3362134709409288e-12,1.0373611024003249e-09,3.60998859694206e-08,8.501852000186716e-12,8.323744471461225e-12,1.227943649539931e-10,8.673617379884035e-19,2.3362134709409288e-12,8.673617379884035e-19,1.0987299065884348,1.0987299064702276,0.002407650867964139,0.0018069440597775356,0.002491979447950143,0.001827909104031278,0.003183758999512065,0.0024666710014571436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_C_PtD,confidence_cop_v1,4582,0,0,0,1.0373611024003249e-09,9.724343292411008e-12,1.0373611024003249e-09,3.60998859694206e-08,1.1770057151139213e-11,1.1515205455836508e-11,1.227943649539931e-10,8.673617379884035e-19,2.336391513609476e-12,6.369687763352339e-19,1.0987299046769157,1.0987299045577124,0.002407611051897858,0.001808036417904852,0.0024907935519877357,0.0018280758980836254,0.003463180997641757,0.0025528639962431043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_L_DtP,confidence_angular_v1,4044,0,0,0,1.2789097984436783e-09,1.8990041734966177e-12,1.2789097984436783e-09,9.429554281847885e-08,1.0991152432637818e-11,1.0726558530294028e-11,1.0577765214538277e-10,2.168404344971009e-19,1.8990041734966177e-12,4.336808689942018e-19,1.1229914077056142,1.1229914077024024,0.0023921006706675084,0.0018031653715578255,0.0024770619500486648,0.0018250887555041118,0.0034055180003633723,0.002350249997107312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_L_DtP,confidence_cop_v1,4044,0,0,0,1.2789097984436783e-09,5.594273525325044e-12,1.2789097984436783e-09,9.429554281847885e-08,1.1677381284158628e-11,1.1604162075684599e-11,1.0577765214538277e-10,2.168404344971009e-19,1.8971211893537656e-12,8.918397700726493e-19,1.1229931488364027,1.1229931488334766,0.002389907654005772,0.001805548825325253,0.002475749847872066,0.0018268913489009719,0.0032177400062209927,0.002539136999985203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_L_PtD,confidence_angular_v1,3918,0,0,0,1.463154768106279e-09,1.857055877373564e-12,1.463154768106279e-09,7.863174000810602e-09,4.743885839708639e-12,1.958974649163281e-12,1.8719475215799378e-10,2.168404344971009e-19,1.857055877373564e-12,4.336808689942018e-19,1.100802849364471,1.1008028492762352,0.0023774838499078933,0.0018078604321194556,0.0024636850466777105,0.0018300759034900692,0.0032584529981249943,0.002358058001846075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_L_PtD,confidence_cop_v1,3918,0,0,0,1.463154768106279e-09,1.3160690178843021e-11,1.463154768106279e-09,7.863174000810602e-09,8.74070260614701e-12,3.0319496913122634e-12,1.8719475215799378e-10,2.168404344971009e-19,1.8428055293834435e-12,6.232489519002762e-19,1.1007989398466111,1.1007989396889177,0.002377622008095682,0.0018090562176878756,0.0024611707453004784,0.001829461298257229,0.010035061000962742,0.0025932749995263293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_S_DtP,confidence_angular_v1,4801,0,0,0,1.0395769487015296e-09,1.908229263985259e-12,1.0395769487015296e-09,4.2491526963672754e-09,1.6054657603348232e-11,1.539263161376425e-11,1.3774975691355218e-10,4.336808689942018e-19,1.908229263985259e-12,4.336808689942018e-19,1.0162223694507118,1.0162223694589354,0.0023575283121938986,0.0018028245353367458,0.002443445999233518,0.0018252440058859065,0.0032613319999654777,0.0025275669977418147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_S_DtP,confidence_cop_v1,4801,0,0,0,1.0395769487015296e-09,8.708676575014396e-12,1.0395769487015296e-09,4.2491526963672754e-09,7.332939810922312e-12,7.211176100696548e-12,1.3774975691355218e-10,4.336808689942018e-19,1.9123915647132964e-12,5.512205457009962e-19,1.016217931127486,1.0162179311298591,0.0023556595317438234,0.0018051858012535576,0.0024418539978796616,0.0018271090011694469,0.002964674997201655,0.0029596430031233467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003/LH_Per_S_PtD,confidence_angular_v1,4294,0,0,0,1.3241451198324136e-09,2.206086008316177e-12,1.3241451198324136e-09,8.59605031600097e-09,7.445419281104648e-12,7.335534957242373e-12,1.3021675881672024e-10,4.336808689942018e-19,2.206086008316177e-12,4.336808689942018e-19,1.0890271096104935,1.0890271095685753,0.0023584608702805587,0.0018017187093670153,0.002456118402915308,0.0018249182005092735,0.0025763630037545227,0.002050777999102138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
