local_snap_seq,recv_t_mono_ns,recv_wall_ns,robot_t_ns,robot_packet_seq,snap_ok,q_deg_1,q_deg_2,q_deg_3,q_deg_4,q_deg_5,q_deg_6,q_deg_7,qdot_sdk_deg_s_1,qdot_sdk_deg_s_2,qdot_sdk_deg_s_3,qdot_sdk_deg_s_4,qdot_sdk_deg_s_5,qdot_sdk_deg_s_6,qdot_sdk_deg_s_7,force_raw_fx,force_raw_fy,force_raw_fz,force_raw_mx,force_raw_my,force_raw_mz,cmd_seq,cmd_t_mono_ns,cmd_age_s,phase_id,record_enable,rail_pos_m,rail_vel_m_s,rail_hold_ref_m,vel_clamped,acc_clamped,qp_slack_norm,feedback_age_s,v_cmd_x,v_cmd_y,v_cmd_z,w_cmd_x,w_cmd_y,w_cmd_z
289,642716777677641,1788504160340363390,,,1,-48.19499969482422,-88.177001953125,28.06999969482422,100.01200103759766,41.82600021362305,91.48799896240234,93.37000274658203,5.159999847412109,3.7200000286102295,9.84000015258789,-3.7200000286102295,-4.670000076293945,-4.079999923706055,8.399999618530273,-1.430999994277954,0.3140000104904175,4.640999794006348,0.39399999380111694,0.02199999988079071,-0.12600000202655792,,642716779879062,,movej_mid,0,0.3781627655029297,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
290,642716783149645,1788504160345822129,,,1,-48.15700149536133,-88.14600372314453,28.10700035095215,100.0009994506836,41.79399871826172,91.4540023803711,93.43499755859375,5.639999866485596,3.7200000286102295,9.239999771118164,-3.7200000286102295,-4.670000076293945,-4.559999942779541,9.350000381469727,-1.0750000476837158,0.29100000858306885,4.315000057220459,0.3970000147819519,0.06400000303983688,-0.12600000202655792,,642716785110593,,movej_mid,0,0.3781627655029297,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
291,642716787996798,1788504160350699571,,,1,-48.15700149536133,-88.14600372314453,28.10700035095215,100.0009994506836,41.79399871826172,91.4540023803711,93.43499755859375,5.639999866485596,3.7200000286102295,9.239999771118164,-3.7200000286102295,-4.670000076293945,-4.559999942779541,9.350000381469727,-1.055999994277954,0.7630000114440918,4.309000015258789,0.3409999907016754,0.06800000369548798,-0.1289999932050705,,642716790208886,,movej_mid,0,0.37785293579101564,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
292,642716792456085,1788504160355113465,,,1,-48.10900115966797,-88.11499786376953,28.2189998626709,99.9530029296875,41.74599838256836,91.41699981689453,93.5250015258789,6.119999885559082,3.7200000286102295,9.960000038146973,-3.5999999046325684,-4.559999942779541,-4.440000057220459,9.119999885559082,-1.1419999599456787,0.414000004529953,4.508999824523926,0.38100001215934753,0.041999999433755875,-0.13600000739097595,,642716795286263,,movej_mid,0,0.37785293579101564,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
293,642716797933242,1788504160360585636,,,1,-48.10900115966797,-88.11499786376953,28.2189998626709,99.9530029296875,41.74599838256836,91.41699981689453,93.5250015258789,6.119999885559082,3.7200000286102295,9.960000038146973,-3.5999999046325684,-4.559999942779541,-4.440000057220459,9.119999885559082,-1.2869999408721924,0.2919999957084656,4.383999824523926,0.40299999713897705,0.04899999871850014,-0.12600000202655792,,642716800399481,,movej_mid,0,0.37785293579101564,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
294,642716803371291,1788504160366077414,,,1,-48.073001861572266,-88.09200286865234,28.28499984741211,99.9260025024414,41.73099899291992,91.38600158691406,93.59500122070312,4.800000190734863,3.359999895095825,10.4399995803833,-3.8399999141693115,-4.320000171661377,-4.559999942779541,10.4399995803833,-1.2330000400543213,0.6389999985694885,4.74399995803833,0.3840000033378601,0.03099999949336052,-0.11400000005960464,,642716805515163,,movej_mid,0,0.3775193786621094,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
295,642716809053779,1788504160371823183,,,1,-48.04600143432617,-88.06999969482422,28.334999084472656,99.90499877929688,41.70800018310547,91.35900115966797,93.65499877929688,5.880000114440918,3.240000009536743,9.600000381469727,-4.199999809265137,-4.320000171661377,-4.670000076293945,9.84000015258789,-1.496000051498413,0.7049999833106995,4.520999908447266,0.37400001287460327,0.03099999949336052,-0.11599999666213989,,642716810693165,,movej_mid,0,0.3775193786621094,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
296,642716813763285,1788504160376456688,,,1,-48.0099983215332,-88.0510025024414,28.40999984741211,99.86900329589844,41.683998107910156,91.3270034790039,93.73899841308594,0.47999998927116394,-0.11999999731779099,3.9600000381469727,-2.1600000858306885,-0.36000001430511475,-0.8399999737739563,7.920000076293945,-1.0640000104904175,0.45500001311302185,4.375999927520752,0.3700000047683716,0.06599999964237213,-0.14499999582767487,,642716815774722,,movej_mid,0,0.3775193786621094,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
297,642716819192187,1788504160381860611,,,1,-48.0099983215332,-88.0510025024414,28.40999984741211,99.86900329589844,41.683998107910156,91.3270034790039,93.73899841308594,0.47999998927116394,-0.11999999731779099,3.9600000381469727,-2.1600000858306885,-0.36000001430511475,-0.8399999737739563,7.920000076293945,-1.3830000162124634,1.3839999437332153,5.116000175476074,0.3269999921321869,0.004000000189989805,-0.12300000339746475,,642716820854809,,movej_mid,0,0.3775193786621094,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
298,642716823600221,1788504160386260449,,,1,-48.00299835205078,-88.05000305175781,28.420000076293945,99.86900329589844,41.6870002746582,91.322998046875,93.76599884033203,-1.0800000429153442,0.0,1.2000000476837158,0.0,0.0,0.0,5.159999847412109,0.34599998593330383,-0.30300000309944153,4.614999771118164,0.4950000047683716,0.11500000208616257,-0.14399999380111694,,642716825936405,,movej_mid,0,0.37710784912109374,,0.4,,,,,0.0,0.0,0.0,0.0,0.0,0.0
