sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916413.254226084,916413.251189151,37775,1788822079.198724,0.08896718177617739,0.5698300985657768,-0.17493502706086272,0.07161321639894974,0.011870562485218191,0.03911778523885863,4.0,approach,0,0.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+0.0
916413.264223158,916413.26035615,37777,1788822079.2219126,0.2215647346546337,0.7385767646982843,-0.059939008223998655,0.08742121537584907,-0.0013398003824785865,0.033715806733340424,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.27422844,916413.270172807,37779,1788822079.2317302,-0.11054393985338407,0.8944245919973113,-0.2448351313800616,0.09536180734807219,0.018038501404339748,0.0680445064273369,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.284232116,916413.280530843,37781,1788822079.242086,-0.03892835149267959,0.46911304568924705,-0.3483993446709782,0.06513154943899771,0.018535300867468612,0.04795870962505059,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.294221157,916413.290148729,37783,1788822079.2517066,0.034188530972732584,0.6600459860581732,-0.08264236665611664,0.07757557728974712,0.0035085154485015456,0.05734810203780177,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.304220945,916413.299988994,37785,1788822079.261547,0.07457943497130126,0.5500561036350669,0.40399783485924434,0.07405871425244911,-0.009746423751394987,0.05850296808955162,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.314237338,916413.310167898,37787,1788822079.2717211,0.19736748288067035,0.6225244034323256,0.25431699697421195,0.07756834715574422,-0.008594217463929065,0.05434926142132894,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.324223174,916413.319982729,37789,1788822079.2815404,-0.0748129654382591,0.7082450017086379,-0.5226833611107125,0.08181101629446075,0.019506940542809024,0.05349949178604976,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.334219211,916413.329892061,37791,1788822079.2914493,0.1449919684502201,0.7580073850819259,-0.2965921947739382,0.07964793050131497,-0.003317356721736007,0.05199903349299694,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.344233669,916413.340086446,37793,1788822079.3016384,0.0704070895169564,0.4425784476044457,0.07110769590515222,0.06687772639791192,-0.00024440496492522266,0.04410646340105127,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.354251084,916413.349916252,37795,1788822079.3114734,0.14104100596564062,0.7203688711269137,-0.17008435486449153,0.0812273136636813,-0.0008787308134534054,0.0552685440114936,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.364220223,916413.359834702,37797,1788822079.3213925,-0.06261173588008914,0.5738100010310279,-0.3546165714072244,0.07064729666747359,0.020386927224338183,0.043379160882001735,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.37422158,916413.369856263,37799,1788822079.331409,0.0388452393276453,0.7663987220408817,-0.029963689769342303,0.08739969150794977,0.00506384655681861,0.05649805009995242,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.384231425,916413.379946097,37801,1788822079.3415034,-0.20834745716518727,0.6301943257829797,-0.1902574555142484,0.07751378511025858,0.02707319950145121,0.04988318002816697,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.394223436,916413.390078055,37803,1788822079.3516335,-0.07829072958569144,0.673830585259101,-0.15121296914086002,0.07802112238401047,0.013978472791089892,0.04930274286420287,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916413.404318567,916413.400077612,37805,1788822079.3616316,-0.14700591308418376,0.7922728087941342,-0.09836502382701956,0.09069535945830141,0.02002095853395103,0.051535141555764635,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
