scenario,comparator,recorded_pairs,expected_pairs,failed_pairs,interpretation,delta_rmse,delta_absolute_mean_bias,delta_peak_absolute_error,delta_bad_path_m,delta_valid_coverage_rate_m_s,delta_valid_coverage_fraction,delta_registered_image_coverage_m,delta_acoustic_coverage_fraction,delta_angular_travel_rad,delta_measured_forward_m,delta_elapsed_s,delta_force_active_fraction,delta_aperture_active_fraction,delta_omega_width_mechanical_mean,delta_omega_width_force_mean,delta_omega_width_complete_mean,delta_controller_p50_ms,delta_controller_p99_ms,delta_controller_max_ms,delta_simulated_deadline_overruns
nonmonotonic,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.000478169644519133,-0.00017811872385663612,-2.1148858805464245e-05,-1.2149277092664974e-05,3.626613405108975e-06,0.00020248795154441667,-9.012780533088766e-05,-0.0008703100796002006,0.0020963452286129783,0.0,0.0,0.7070267068952244,0.00028490028490028494,,,,0.39687446551397443,1.1851462118793272,1.4182117767632008,0.0
nonmonotonic,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0016806004879958065,0.0011285579111966486,0.0041321277450149015,-0.0004095346527772818,-0.0002939307385188668,0.006825577546288019,0.0010779543115750606,0.010830467935662858,0.004778210227941301,0.0,0.0814999999999999,0.7070267068952244,0.00028490028490028494,,,,0.47235002275556326,0.7793276794254768,0.9560827165842056,0.0
curvature,baseline,8,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0005130213798998674,-0.0014302144629020637,-0.00220695148194755,0.0,-0.00016741535460625383,0.0,1.7374440545166007e-05,0.0,0.0001772632575269536,0.0,0.02999999999999986,0.6523780084233921,0.0,,,,0.31997983751352876,1.0810778618906625,1.6449269314762205,0.5
curvature,matched_scan_speed,8,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.00014135978131993993,-0.0015552832102555972,-0.00015350598590369025,0.0,0.0,0.0,-8.289722428569957e-07,0.0,0.0001772632575269536,0.0,0.0,0.6523780084233921,0.0,,,,0.31918326567392796,1.2680093292146923,1.9203831325285137,0.5
curvature,matched_rocking,8,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.0005130213798998674,-0.0014302144629020637,-0.00220695148194755,0.0,-0.00016741535460625383,0.0,1.7374440545166007e-05,0.0,0.0001772632575269536,0.0,0.02999999999999986,0.6523780084233921,0.0,,,,0.30521284497808665,1.1353191835223697,1.7403241654392332,0.5
moving_surface,baseline,9,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00010892029336858251,0.0018594618973076411,-0.0004148309945856256,0.0,-0.00011487782113774163,0.0,0.00022218781625689255,0.0,0.00024851114417389963,0.0,0.020555555555555414,0.3701057770976163,0.0,,,,0.5022112099039886,1.728203017782008,2.0862906239926815,0.3333333333333333
moving_surface,matched_scan_speed,9,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00012803140240089415,0.001627681682784431,1.615271156780235e-05,0.0,0.0,0.0,1.6204938625542632e-13,0.0,0.00024851114417389963,0.0,0.0,0.3701057770976163,0.0,,,,0.6253283548479279,1.7231953933110684,2.0654330857925944,0.3333333333333333
moving_surface,matched_rocking,9,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00010892029336858251,0.0018594618973076411,-0.0004148309945856256,0.0,-0.00011487782113774163,0.0,0.00022218781625689255,0.0,0.00024851114417389963,0.0,0.020555555555555414,0.3701057770976163,0.0,,,,0.6165730430641108,2.029736491385849,2.30376440514293,0.3333333333333333
delayed_execution,baseline,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00018095129093383399,-0.0009824885044138146,0.027931618093089174,-7.32468919794664e-05,-0.000233012457400859,0.0012207815329910998,0.0004014593417838629,0.0012207815329910998,0.0028354342120076184,0.0,0.04899999999999984,0.5630286099611876,0.00015105740181268882,,,,0.6084166816435754,1.0996824232861397,1.5300965635105968,0.1
delayed_execution,matched_scan_speed,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.00043944550822934414,0.0026021144477285174,-0.002526749368437953,-6.094868424676159e-06,1.74812214063097e-06,0.00010158114041126653,8.008610578278189e-05,0.00010158114041126653,0.001865521578559901,0.0,0.0,0.5630286099611876,0.00015105740181268882,,,,0.6049121031537652,1.0920366456266493,1.4777871081605554,0.1
delayed_execution,matched_rocking,10,10,0,descriptive recorded-pair differences; no inferential acceptance,0.0001643305162650738,-0.0008562925648749366,0.027821903815269923,-0.0005432484423513101,-8.884020268556947e-05,0.00905414070585515,0.0008014673178287676,0.00905414070585515,0.004907569599976977,0.0,0.04899999999999984,0.5630286099611876,0.00015105740181268882,,,,0.5890556261874735,1.3747790567576885,1.8499179277569056,0.1
hard_contact,baseline,6,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.18436410515681181,-0.010611012032399857,-0.07690258372447738,0.006457216331401335,-0.0036805711720086652,-0.10762027219002228,-0.005283436311818677,-0.10762027219002228,0.1435097222789223,0.0,2.0574999999999997,0.4387030336722472,0.027565321596436498,,,,0.6949039331326882,1.0528904680783546,1.6052835465719302,0.0
hard_contact,matched_scan_speed,6,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.009264739521924517,-0.037426309868424025,-0.07458529078032838,0.006968597883552692,-0.0013096369867570468,-0.11614329805921153,-0.0064813691770157665,-0.11614329805921153,0.06451443056218277,0.0,0.0,0.4387030336722472,0.027565321596436498,,,,0.7341465291877588,1.3773120974656192,1.50108205464979,0.0
hard_contact,matched_rocking,6,10,0,descriptive recorded-pair differences; no inferential acceptance,-0.19476233858816946,-0.017371014106661264,-0.07690258372447738,0.01200721633140117,-0.005383025159738674,-0.2001202721900195,-0.009683436311818535,-0.2001202721900195,0.17540205080107132,0.0,2.0574999999999997,0.4387030336722472,0.027565321596436498,,,,0.7405136323844393,1.425456745394816,1.874376554042101,0.0
