scenario,seed,comparator,full_valid,comparator_valid,angular_travel_rad_ratio_to_full,angular_travel_rad_difference_from_full,scan_angular_travel_rad_ratio_to_full,scan_angular_travel_rad_difference_from_full,measured_positive_travel_m_ratio_to_full,measured_positive_travel_m_difference_from_full,measured_forward_m_ratio_to_full,measured_forward_m_difference_from_full,elapsed_s_ratio_to_full,elapsed_s_difference_from_full
healthy,0,matched_scan_speed,True,True,0.0,-0.00018297075571408202,0.0,-0.00018297075571408196,0.9999999999973335,-1.620509282318494e-13,1.0,0.0,1.0,0.0
healthy,1,matched_scan_speed,True,True,0.0,-0.0005452001158258851,0.0,-0.0005452001158258853,0.9996328342671522,-2.2339530118493933e-05,1.0,0.0,1.0,0.0
healthy,2,matched_scan_speed,True,True,0.0,-0.0002999683484594579,0.0,-0.00029994733230891444,0.9999999999973357,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,3,matched_scan_speed,True,True,0.0,-0.0002990612626239644,0.0,-0.00029906126262396434,0.9999999999973326,-1.620509282318494e-13,1.0,0.0,1.0,0.0
healthy,4,matched_scan_speed,True,True,0.0,-0.000330520475114762,0.0,-0.00033052047511449045,0.9999999999973356,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,5,matched_scan_speed,True,True,0.0,-0.0007740141586732355,0.0,-0.0007740141586730759,1.000107233069373,6.520066361856425e-06,1.0,0.0,1.0,0.0
healthy,6,matched_scan_speed,True,True,0.0,-0.00038021159096510686,0.0,-0.00036952666442898244,0.9999999999973337,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,7,matched_scan_speed,True,True,0.0,-0.00044396598818221346,0.0,-0.0004439659881822136,0.9999999999973366,-1.620370504440416e-13,1.0,0.0,1.0,0.0
healthy,8,matched_scan_speed,True,True,0.0,-0.00031494489275598535,0.0,-0.00030781211006758794,0.9999999999973341,-1.620439893379455e-13,1.0,0.0,1.0,0.0
healthy,9,matched_scan_speed,True,True,0.0,-9.652526926138636e-05,0.0,-9.243015619889175e-05,0.9999999999973336,-1.620370504440416e-13,1.0,0.0,1.0,0.0
healthy,0,matched_rocking,True,True,0.0,-0.00018297075571408202,0.0,-0.00018297075571408196,1.0001663995928247,1.0112328593686604e-05,1.0,0.0,0.9969418960244649,-0.009999999999999787
healthy,1,matched_rocking,True,True,0.0,-0.0005452001158258851,0.0,-0.0005452001158258853,0.9989857253857168,-6.171169111687802e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
healthy,2,matched_rocking,True,True,0.0,-0.0002999683484594579,0.0,-0.00029994733230891444,0.9993810113528299,-3.764634039461756e-05,1.0,0.0,0.9939024390243902,-0.020000000000000018
healthy,3,matched_rocking,True,True,0.0,-0.0002990612626239644,0.0,-0.00029906126262396434,1.000502694735262,3.053917134295675e-05,1.0,0.0,0.9954198473282444,-0.01499999999999968
healthy,4,matched_rocking,True,True,0.0,-0.000330520475114762,0.0,-0.00033052047511449045,0.9994089508277552,-3.594608137905131e-05,1.0,0.0,0.9923896499238966,-0.02499999999999991
healthy,5,matched_rocking,True,True,0.0,-0.0007740141586732355,0.0,-0.0007740141586730759,0.9996498278903682,-2.1291430024536484e-05,1.0,0.0,0.9908814589665654,-0.029999999999999805
