scenario,seed,variant,status,reason,valid,elapsed_s,reference_s,measured_forward_m,bad_path_m,valid_coverage_fraction,valid_coverage_rate_m_s,acoustic_bad_path_m,acoustic_coverage_fraction,registered_image_coverage_m,invalid_forward_travel_m,qp_failure,mechanical_violations,angular_travel_rad,force_active_fraction,aperture_active_fraction,controller_p50_ms,controller_p99_ms,controller_max_ms,simulated_deadline_overruns,wall_s,rmse,absolute_mean_bias,peak_absolute_error,omega_width_mechanical_mean,omega_width_force_mean,omega_width_complete_mean,source_metrics,trace_available,trace_samples,scan_samples,stop_tail_samples,measured_positive_travel_m,measured_reverse_travel_m,scan_angular_travel_rad,scan_max_abs_angle_rad,scan_end_s,scan_controller_p95_ms,scan_force_active_fraction,scan_aperture_active_fraction,scan_required_acoustic_bad_fraction,recovery_events,recovered_events,unconfirmed_events,no_acoustic_deficit,recovery_confirmed_during_scan,recovery_confirmed_during_stop_tail,scan_omega_width_mechanical_mean,scan_omega_width_mechanical_samples,scan_omega_width_force_mean,scan_omega_width_force_samples,scan_omega_width_complete_mean,scan_omega_width_complete_samples
both_edges,0,full,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.059320821807313705,0.0,,[],3.521743289917038e-05,0.6768759571209801,0.0,1.641143811866641,2.407146543264389,2.5724521838128567,0,2.2569461890961975,0.19155280853850853,0.0013174927743969777,0.29708512692807343,0.029999999999999995,0.029999999999999995,0.029999999984586606,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,653,603,50,0.06076428403692452,0.0,3.5217432899154056e-05,3.521714000202941e-05,3.009999999999926,2.143873088061809,0.7330016583747927,0.0,0.0,0,0,0,True,0,0,0.029999999999999995,75,0.029999999999999995,75,0.029999999984586606,75
both_edges,0,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,1.2358095264062285,1.4849753095768392,1.9058110192418098,0,1.9540866590104997,0.19180417479891482,0.0014566767264813784,0.2970359509381346,,,,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.388893742114305,0.0,0.0,0.0,0,0,0,True,0,0,,0,,0,,0
both_edges,0,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.059438003643837646,0.0,,[],0.014536034084332197,0.0,0.0,1.6632599290460348,2.1294589014723897,2.7403179556131363,0,2.224914802936837,0.7886757208889298,0.4113585602051693,1.4790998471690981,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,652,602,50,0.060781465859128754,0.0,0.013503167144695793,0.006471446944981627,3.004999999999926,2.001516881864518,0.0,0.0,0.0,0,0,0,True,0,0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,0,no_aperture,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.05932082185561804,0.0,,[],4.879100635580282e-05,0.6768759571209801,0.0,1.6700269188731909,3.9193080365657824,4.506796132773161,0,2.4940739390440285,0.19155194175004406,0.0013160325249051536,0.2970851474843421,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,653,603,50,0.06076428408236151,0.0,4.879100635564072e-05,4.879100385909006e-05,3.009999999999926,3.5632259910926223,0.7330016583747927,0.0,0.0,0,0,0,True,0,0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
both_edges,0,full_consistency,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.059320821807312865,0.0,,[],3.5217438020998025e-05,0.6768759571209801,0.0,1.6466600354760885,2.938783708959819,4.7025419771671295,0,2.465179485967383,0.19155280453900692,0.0013174956215839064,0.2970851456986754,0.029999999999999995,0.029999999999999995,0.02999999998463473,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,653,603,50,0.06076428403692368,0.0,3.521743802098159e-05,3.521714192175355e-05,3.009999999999926,2.2778679383918643,0.7330016583747927,0.0,0.0,0,0,0,True,0,0,0.029999999999999995,75,0.029999999999999995,75,0.02999999998463473,75
both_edges,0,matched_scan_speed,complete_with_gaps,,True,3.265,3.0,0.06,0.0,1.0,0.018376722817764164,0.0,1.0,0.05932082180715166,0.0,,[],0.0,0.0,0.0,1.2230200227349997,1.3713574036955833,1.4330949634313583,0,1.910986138973385,0.19167173663201154,0.001501897235530156,0.2970850429775247,,,,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,653,603,50,0.06076428403676248,0.0,0.0,0.0,3.009999999999926,1.325575984083116,0.0,0.0,0.0,0,0,0,True,0,0,,0,,0,,0
both_edges,0,matched_rocking,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,1.2470375513657928,2.3287040926516056,2.6424271054565907,0,1.9560967180877924,0.19180417479891482,0.0014566767264813784,0.2970359509381346,,,,MD/contact_qp/design_v1/both_edges/0/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,1.368098414968699,0.0,0.0,0.0,0,0,0,True,0,0,,0,,0,,0
both_edges,1,full,complete,,True,3.275,3.0,0.06,0.0,1.0,0.0183206106870229,0.0,1.0,0.05993091578064723,0.0,,[],0.00016456308383133394,0.6763358778625954,0.0,1.723992871120572,2.621618257835508,4.030460957437754,0,2.339550495846197,0.19208808260676005,0.0005103015703298839,0.29964178923629703,0.030000000000000002,0.030000000000000002,0.02999999972988124,MD/contact_qp/design_v1/both_edges/1/metrics.json,True,655,605,50,0.060774370043981785,0.0,0.00016456308383133402,0.0001645621647245217,3.019999999999926,2.2961904760450125,0.7322314049586777,0.0,0.0,0,0,0,True,0,0,0.029999999999999992,76,0.029999999999999992,76,0.029999999552171527,76
both_edges,1,baseline,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800431024018,0.0,,[],0.0,0.0,0.0,1.2604095973074436,2.463240663055331,2.5584569666534662,0,2.1781910189893097,0.192093110011298,0.0011608603203382398,0.2969690501295359,,,,MD/contact_qp/design_v1/both_edges/1/metrics.json,True,652,602,50,0.06078146652496788,0.0,0.0,0.0,3.004999999999926,2.253154735080898,0.0,0.0,0.0,0,0,0,True,0,0,,0,,0,,0
both_edges,1,image_only,complete_with_gaps,,True,3.2600000000000002,3.0,0.06,0.0,1.0,0.01840490797546012,0.0,1.0,0.05943800306994843,0.0,,[],0.0202131262094591,0.0,0.0,1.7537830863147974,2.3399578663520524,3.849028144031763,0,2.2661667079664767,0.7891927526850893,0.41887008652725277,1.4784508553731524,0.029999999999999995,0.029999999999999995,0.029999999999999995,MD/contact_qp/design_v1/both_edges/1/metrics.json,True,652,602,50,0.06078146528476672,0.0,0.01953071208653691,0.009885465186688912,3.004999999999926,2.087447838857769,0.0,0.0,0.0,0,0,0,True,0,0,0.029999999999999995,75,0.029999999999999995,75,0.029999999999999995,75
