t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0449,,0.024926,0.024926,-0.000000,0.000000,0.150000,0.032183,193.096242,1,1,0,1,21.455138,193,0,0,0
0.0697,,0.049665,0.049665,0.000001,0.120000,0.150000,0.075731,454.388769,1,1,0,1,29.032503,454,0,0,0
0.1001,,0.074216,0.074216,0.000225,0.144000,0.150000,0.112840,677.039094,1,1,0,1,24.738925,677,0,0,0
0.1201,,0.098579,0.098579,0.001121,0.148800,0.150000,0.150000,900.000000,1,1,0,1,30.451432,900,0,0,0
0.1315,,0.127568,0.127568,0.002042,0.149760,0.150000,0.150000,900.000000,1,1,0,1,20.317539,900,0,0,0
0.1624,,0.146744,0.146744,0.003646,0.149952,0.150000,0.150000,900.000000,1,1,0,1,24.790210,900,0,0,0
0.1811,,0.165800,0.165800,0.005527,0.149990,0.150000,0.150000,900.000000,1,1,0,1,20.802141,900,0,0,0
0.1959,,0.180013,0.180013,0.007490,0.149998,0.150000,0.150000,900.000000,1,1,0,1,24.987458,900,0,0,0
0.2358,,0.217585,0.217585,0.011291,0.150000,0.150000,0.150000,900.000000,1,1,0,1,30.208575,900,0,0,0
0.2510,,0.231551,0.231551,0.013889,0.150000,0.150000,0.150000,900.000000,1,1,0,1,24.600332,900,0,0,0
0.2766,,0.254677,0.254677,0.016752,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.071459,900,0,0,0
0.2926,,0.268463,0.268463,0.019917,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.183753,900,0,0,0
0.3263,,0.300367,0.300367,0.023680,0.150000,0.150000,0.150000,900.000000,1,1,0,1,25.181627,900,0,0,0
0.3411,,0.313927,0.313927,0.027288,0.150000,0.150000,0.150000,900.000000,1,1,0,1,23.938615,900,0,0,0
0.3661,,0.336379,0.336379,0.030293,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.465415,900,0,0,0
0.3809,,0.349759,0.349759,0.033447,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.194084,900,0,0,0
0.4056,,0.371910,0.371910,0.037201,0.150000,0.150000,0.150000,900.000000,1,1,0,1,25.213562,900,0,0,0
0.4356,,0.398244,0.398244,0.041103,0.150000,0.150000,0.150000,900.000000,1,1,0,1,25.788998,900,0,0,0
0.4565,,0.415650,0.415650,0.044554,0.150000,0.150000,0.150000,900.000000,1,1,0,1,23.691106,900,0,0,0
0.4821,,0.432936,0.432936,0.047856,0.150000,0.150000,0.150000,900.000000,1,1,0,1,21.490197,900,0,0,0
0.5110,,0.462898,0.462898,0.052057,0.150000,0.150000,0.150000,900.000000,1,1,0,1,23.874139,900,0,0,0
0.5206,,0.471391,0.471391,0.054457,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.065350,900,0,0,0
0.5506,,0.496689,0.496689,0.058207,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.083560,900,0,0,0
0.5654,,0.509238,0.509238,0.060458,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.068333,900,0,0,0
0.5859,,0.525864,0.525864,0.064209,0.150000,0.150000,0.150000,900.000000,1,1,0,1,24.066259,900,0,0,0
0.6055,,0.542370,0.542370,0.067059,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.248563,900,0,0,0
0.6309,,0.562833,0.562833,0.070209,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.528487,900,0,0,0
0.6505,,0.579069,0.579069,0.073809,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.582719,900,0,0,0
0.6704,,0.595185,0.595185,0.076808,0.150000,0.150000,0.150000,900.000000,1,1,0,1,23.911165,900,0,0,0
0.6907,,0.611181,0.611181,0.079809,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.071550,900,0,0,0
0.7106,,0.627057,0.627057,0.082808,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.068249,900,0,0,0
