t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0049,,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.284168,0,0,0,0
0.0303,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.617549,0,0,0,0
0.0497,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.063517,0,0,0,0
0.0715,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.100908,0,0,0,0
0.0897,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.418039,0,0,0,0
0.1146,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,23.913183,0,0,0,0
0.1297,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.209924,0,0,0,0
0.1546,,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,1,1,0,1,20.454239,0,0,0,0
0.1748,,0.000000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,1,1,0,1,21.654155,0,0,0,0
0.1950,,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1,1,0,1,22.721493,0,0,0,0
0.2147,,0.000000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,1,1,0,1,20.108767,0,0,0,0
0.2347,,0.000001,0.000001,0.000000,0.000011,0.000000,0.000000,0.000000,1,1,0,1,20.514785,0,0,0,0
0.2549,,0.000001,0.000001,0.000000,0.000017,0.000000,0.000000,0.000000,1,1,0,1,20.073468,0,0,0,0
0.2748,,0.000002,0.000002,0.000000,0.000026,0.000000,0.000000,0.000000,1,1,0,1,20.071571,0,0,0,0
0.2953,,0.000002,0.000002,0.000000,0.000038,0.000000,0.000000,0.000000,1,1,0,1,20.068812,0,0,0,0
0.3202,,0.000004,0.000004,0.000000,0.000057,0.000000,0.000000,0.000000,1,1,0,1,24.359321,0,0,0,0
0.3453,,0.000006,0.000006,0.000000,0.000092,0.000000,0.000000,0.000000,1,1,0,1,20.076109,0,0,0,0
0.3596,,0.000007,0.000007,0.000000,0.000078,0.000000,0.000000,0.000000,1,1,0,1,20.256695,0,0,0,0
0.3819,,0.000010,0.000010,0.000000,0.000109,0.000000,0.000000,0.000000,1,1,0,1,20.240072,0,0,0,0
0.4066,,0.000013,0.000013,0.000000,0.000166,0.000000,0.000000,0.000000,1,1,0,1,20.064859,0,0,0,0
0.4250,,0.000017,0.000017,0.000000,0.000147,0.000000,0.000000,0.000000,1,1,0,1,24.354558,0,0,0,0
0.4599,,0.000021,0.000021,0.000000,0.000183,0.000595,0.000595,3.571665,1,1,0,1,20.834026,4,0,0,0
0.4704,,0.000027,0.000027,0.000003,0.000227,0.000687,0.000687,4.120520,1,1,0,1,24.368256,4,0,0,0
0.4899,,0.000032,0.000032,0.000007,0.000258,0.000730,0.000730,4.378348,1,1,0,1,20.155642,4,0,0,0
