t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0102,,0.474197,0.474197,0.473644,-0.005892,0.000000,0.000000,0.000000,0,1,0,1,20.407594,0,0,0,0
0.0486,,0.473644,0.473644,0.473644,-0.024082,-0.024086,-0.016166,-96.993542,1,1,0,1,20.206988,-97,0,0,0
0.0847,,0.473644,0.473644,0.473594,-0.004816,-0.003545,-0.003545,-21.272969,1,1,0,1,28.623701,-21,0,0,0
0.1156,,0.473644,0.473644,0.473088,-0.000964,0.012120,0.012120,72.720194,1,1,0,1,36.139455,73,0,0,0
0.1525,,0.473644,0.473644,0.472988,-0.000198,0.012325,0.012325,73.950279,1,1,0,1,30.903035,74,0,0,0
0.1768,,0.473643,0.473643,0.473309,-0.000055,0.004029,0.004029,24.174528,1,1,0,1,36.876852,24,0,0,0
0.2015,,0.473641,0.473641,0.473588,-0.000058,-0.001629,-0.001629,-9.776448,1,1,0,1,24.286560,-10,0,0,0
0.2254,,0.473639,0.473639,0.473689,-0.000076,-0.001891,-0.001891,-11.343085,1,1,0,1,24.664739,-11,0,0,0
0.2514,,0.473635,0.473635,0.473664,-0.000169,-0.000508,-0.000508,-3.046217,1,1,0,1,23.974956,-3,0,0,0
0.2863,,0.473627,0.473627,0.473636,-0.000289,0.000000,0.000000,0.000000,1,1,0,1,25.921384,0,0,0,0
0.3121,,0.473613,0.473613,0.473633,-0.000371,-0.000810,-0.000810,-4.858306,1,1,0,1,34.978456,-5,0,0,0
0.3473,,0.473584,0.473584,0.473631,-0.000966,-0.002035,-0.002035,-12.210505,1,1,0,1,25.777948,-12,0,0,0
0.3847,,0.473530,0.473530,0.473587,-0.001424,-0.002502,-0.002502,-15.013553,1,1,0,1,35.171854,-15,0,0,0
0.4164,,0.473452,0.473452,0.473506,-0.001959,-0.002917,-0.002917,-17.499229,1,1,0,1,37.446842,-17,0,0,0
0.4456,,0.473365,0.473365,0.473428,-0.002577,-0.003771,-0.003771,-22.624544,1,1,0,1,31.666839,-23,0,0,0
0.4707,,0.473281,0.473281,0.473356,-0.002829,-0.004278,-0.004278,-25.670940,1,1,0,1,29.238264,-26,0,0,0
0.5136,,0.473126,0.473126,0.473212,-0.005505,-0.007152,-0.007152,-42.910840,1,1,0,1,25.039656,-43,0,0,0
0.5572,,0.472935,0.472935,0.473020,-0.004650,-0.006157,-0.006157,-36.944497,1,1,0,1,42.950032,-37,0,0,0
0.5941,,0.472664,0.472664,0.472706,-0.005914,-0.006451,-0.006451,-38.706232,1,1,0,1,43.530122,-39,0,0,0
0.6318,,0.472387,0.472387,0.472472,-0.007190,-0.008982,-0.008982,-53.894719,1,1,0,1,36.897752,-54,0,0,0
0.6629,,0.472123,0.472123,0.472204,-0.007025,-0.008450,-0.008450,-50.698344,1,1,0,1,37.781632,-51,0,0,0
0.6905,,0.471890,0.471890,0.471985,-0.007411,-0.009237,-0.009237,-55.423900,1,1,0,1,31.094716,-55,0,0,0
0.7222,,0.471501,0.471501,0.471688,-0.012767,-0.016865,-0.016865,-101.188779,1,1,0,1,27.543217,-101,0,0,0
0.7477,,0.471216,0.471216,0.471429,-0.009732,-0.013751,-0.013751,-82.504346,1,1,0,1,31.775298,-83,0,0,0
0.7786,,0.470830,0.470830,0.470951,-0.014095,-0.015473,-0.015473,-92.838425,1,1,0,1,25.446051,-93,0,0,0
0.8163,,0.470410,0.470410,0.470496,-0.013701,-0.015021,-0.015021,-90.128517,1,1,0,1,30.895315,-90,0,0,0
0.8425,,0.470049,0.470049,0.470015,-0.010398,-0.009095,-0.009095,-54.569052,1,1,0,1,37.698129,-55,0,0,0
0.8741,,0.469666,0.469666,0.469626,-0.013748,-0.012985,-0.012985,-77.909672,1,1,0,1,26.255823,-78,0,0,0
0.9033,,0.469156,0.469156,0.469257,-0.015694,-0.018491,-0.018491,-110.947040,1,1,0,1,31.517315,-111,0,0,0
0.9250,,0.468833,0.468833,0.468957,-0.011963,-0.014369,-0.014369,-86.216204,1,1,0,1,29.255599,-86,0,0,0
0.9522,,0.468611,0.468611,0.468558,-0.010583,-0.007846,-0.007846,-47.074140,1,1,0,1,21.696285,-47,0,0,0
0.9887,,0.468031,0.468031,0.468100,-0.019152,-0.021379,-0.021379,-128.271451,1,1,0,1,27.223775,-128,0,0,0
1.0273,,0.467290,0.467290,0.467794,-0.020108,-0.031813,-0.031813,-190.875717,1,1,0,1,36.447762,-191,0,0,0
1.0554,,0.466633,0.466633,0.467075,-0.017599,-0.025191,-0.025191,-151.147341,1,1,0,1,38.660036,-151,0,0,0
1.0923,,0.465943,0.465943,0.466069,-0.023213,-0.022999,-0.022999,-137.993924,1,1,0,1,28.046611,-138,0,0,0
1.1228,,0.465219,0.465219,0.465164,-0.020339,-0.018275,-0.018275,-109.649176,1,1,0,1,36.920395,-110,0,0,0
1.1505,,0.464461,0.464461,0.464617,-0.023933,-0.028255,-0.028255,-169.529423,1,1,0,1,30.520191,-170,0,0,0
1.1585,,0.463831,0.463831,0.464084,-0.022999,-0.028327,-0.028327,-169.961663,1,1,0,1,27.675529,-170,0,0,0
1.1968,,0.463345,0.463345,0.463416,-0.021645,-0.021186,-0.021186,-127.116028,1,1,0,1,22.817895,-127,0,0,0
1.2333,,0.462847,0.462847,0.462792,-0.021258,-0.019074,-0.019074,-114.442422,1,1,0,1,23.520789,-114,0,0,0
1.2661,,0.462166,0.462166,0.461992,-0.019189,-0.015348,-0.015348,-92.085768,1,1,0,1,36.486309,-92,0,0,0
1.2988,,0.461464,0.461464,0.461392,-0.020946,-0.020310,-0.020310,-121.857136,1,1,0,1,32.785729,-122,0,0,0
1.3281,,0.460744,0.460744,0.460770,-0.021844,-0.022972,-0.022972,-137.830904,1,1,0,1,32.647956,-138,0,0,0
1.3610,,0.460004,0.460004,0.460294,-0.024560,-0.031742,-0.031742,-190.450012,1,1,0,1,29.297341,-190,0,0,0
1.3878,,0.459247,0.459247,0.459531,-0.023338,-0.028424,-0.028424,-170.546725,1,1,0,1,32.906253,-171,0,0,0
1.4122,,0.458274,0.458274,0.458696,-0.033660,-0.042382,-0.042382,-254.293660,1,1,0,1,26.836056,-254,0,0,0
1.4403,,0.457477,0.457477,0.457976,-0.032831,-0.042529,-0.042529,-255.172727,1,1,0,1,24.445680,-255,0,0,0
1.4644,,0.456662,0.456662,0.456905,-0.029779,-0.032122,-0.032122,-192.731851,1,1,0,1,28.060247,-193,0,0,0
1.5018,,0.455411,0.455411,0.455842,-0.047474,-0.056953,-0.051411,-308.463739,1,1,0,1,24.110810,-308,0,0,0
1.5387,,0.454342,0.454342,0.454388,-0.032349,-0.030902,-0.030902,-185.409798,1,1,0,1,37.416137,-185,0,0,0
1.5695,,0.453030,0.453030,0.452617,-0.034920,-0.024748,-0.024748,-148.490232,1,1,0,1,36.896940,-148,0,0,0
1.5940,,0.452138,0.452138,0.451737,-0.030204,-0.023052,-0.023052,-138.312124,1,1,0,1,30.718350,-138,0,0,0
1.6256,,0.451234,0.451234,0.451156,-0.035538,-0.037031,-0.037031,-222.188547,1,1,0,1,24.524615,-222,0,0,0
1.6581,,0.450087,0.450087,0.450415,-0.036079,-0.044801,-0.044801,-268.808720,1,1,0,1,31.672021,-269,0,0,0
1.6884,,0.448688,0.448688,0.449252,-0.041699,-0.053437,-0.053437,-320.621588,1,1,0,1,32.456396,-321,0,0,0
