t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0138,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.655010,0,0,0,0
0.0387,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,29.718419,0,0,0,0
0.0698,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,25.052155,0,0,0,0
0.0898,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.444688,0,0,0,0
0.1073,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.273920,0,0,0,0
0.1340,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.980550,0,0,0,0
0.1517,,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,0.000000,1,1,0,1,24.715596,0,0,0,0
0.1774,,0.000002,0.000002,0.000001,0.000001,0.000000,0.000000,0.000000,1,1,0,1,20.587713,0,0,0,0
0.1974,,0.000002,0.000002,0.000002,0.000001,0.000000,0.000000,0.000000,1,1,0,1,23.296358,0,0,0,0
0.2174,,0.000002,0.000002,0.000002,0.000002,0.000000,0.000000,0.000000,1,1,0,1,21.300602,0,0,0,0
0.2481,,0.000002,0.000002,0.000002,0.000003,0.000000,0.000000,0.000000,1,1,0,1,30.669101,0,0,0,0
0.2742,,0.000002,0.000002,0.000002,0.000006,0.000000,0.000000,0.000000,1,1,0,1,25.060821,0,0,0,0
0.2959,,0.000002,0.000002,0.000002,0.000008,0.000000,0.000000,0.000000,1,1,0,1,21.900371,0,0,0,0
0.3210,,0.000003,0.000003,0.000002,0.000014,0.000000,0.000000,0.000000,1,1,0,1,26.133550,0,0,0,0
0.3526,,0.000003,0.000003,0.000002,0.000025,0.000000,0.000000,0.000000,1,1,0,1,25.492962,0,0,0,0
0.3731,,0.000004,0.000004,0.000002,0.000026,0.000000,0.000000,0.000000,1,1,0,1,21.170284,0,0,0,0
0.3910,,0.000004,0.000004,0.000002,0.000028,0.000000,0.000000,0.000000,1,1,0,1,23.597610,0,0,0,0
0.4165,,0.000006,0.000006,0.000002,0.000040,0.000000,0.000000,0.000000,1,1,0,1,24.831650,0,0,0,0
0.4413,,0.000007,0.000007,0.000002,0.000050,0.000000,0.000000,0.000000,1,1,0,1,24.772360,0,0,0,0
0.4612,,0.000008,0.000008,0.000002,0.000055,0.000000,0.000000,0.000000,1,1,0,1,20.359084,0,0,0,0
0.4863,,0.000010,0.000010,0.000002,0.000068,0.000000,0.000000,0.000000,1,1,0,1,24.587974,0,0,0,0
0.5165,,0.000012,0.000012,0.000002,0.000098,0.000000,0.000000,0.000000,1,1,0,1,24.996035,0,0,0,0
0.5404,,0.000015,0.000015,0.000002,0.000099,0.000000,0.000000,0.000000,1,1,0,1,24.694196,0,0,0,0
0.5596,,0.000017,0.000017,0.000002,0.000090,0.000000,0.000000,0.000000,1,1,0,1,23.607277,0,0,0,0
0.5897,,0.000020,0.000020,0.000002,0.000114,0.000000,0.000000,0.000000,1,1,0,1,25.537459,0,0,0,0
0.6404,,0.000024,0.000024,0.000002,0.000164,0.000614,0.000614,3.683143,1,1,0,1,24.919409,4,0,0,0
0.6525,,0.000029,0.000029,0.000005,0.000140,0.000597,0.000597,3.580383,1,1,0,1,37.507204,4,0,0,0
0.6910,,0.000034,0.000034,0.000017,0.000169,0.000000,0.000000,0.000000,1,1,0,1,25.678906,0,0,0,0
0.6981,,0.000039,0.000039,0.000026,0.000193,0.000000,0.000000,0.000000,1,1,0,1,24.990110,0,0,0,0
0.7296,,0.000046,0.000046,0.000026,0.000264,0.000000,0.000000,0.000000,1,1,0,1,24.491897,0,0,0,0
