t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0296,,0.014978,0.014978,-0.000000,0.000000,0.150000,0.034407,206.444790,1,1,0,1,22.938310,206,0,0,0
0.0496,,0.034844,0.034844,0.000001,0.120000,0.150000,0.071402,428.410206,1,1,0,1,24.662824,428,0,0,0
0.0695,,0.054590,0.054590,0.000144,0.144000,0.150000,0.101425,608.548806,1,1,0,1,20.015400,609,0,0,0
0.0895,,0.069320,0.069320,0.000575,0.148800,0.150000,0.131696,790.175619,1,1,0,1,20.180757,790,0,0,0
0.1095,,0.093722,0.093722,0.001281,0.149760,0.150000,0.150000,900.000000,1,1,0,1,20.119358,900,0,0,0
0.1143,,0.108272,0.108272,0.002256,0.149952,0.150000,0.150000,900.000000,1,1,0,1,20.082395,900,0,0,0
0.1345,,0.132373,0.132373,0.003498,0.149990,0.150000,0.150000,900.000000,1,1,0,1,20.062688,900,0,0,0
0.1600,,0.156287,0.156287,0.005430,0.149998,0.150000,0.150000,900.000000,1,1,0,1,24.379243,900,0,0,0
0.1796,,0.175283,0.175283,0.007277,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.147613,900,0,0,0
0.1996,,0.194159,0.194159,0.009391,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.122654,900,0,0,0
0.2195,,0.212915,0.212915,0.011773,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.066037,900,0,0,0
0.2395,,0.231551,0.231551,0.014422,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.067936,900,0,0,0
0.2598,,0.250067,0.250067,0.017338,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.075718,900,0,0,0
0.2798,,0.268463,0.268463,0.020350,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.069065,900,0,0,0
0.3047,,0.291289,0.291289,0.023963,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.104497,900,0,0,0
0.3245,,0.309415,0.309415,0.027120,0.150000,0.150000,0.150000,900.000000,1,1,0,1,24.503032,900,0,0,0
0.3445,,0.327421,0.327421,0.030126,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.142326,900,0,0,0
0.3647,,0.345306,0.345306,0.033130,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.071747,900,0,0,0
0.3847,,0.363072,0.363072,0.036133,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.269355,900,0,0,0
