t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0250,,0.000998,0.000998,-0.000002,0.000000,0.044564,0.031259,187.551684,1,1,0,1,20.839076,188,0,0,0
0.0448,,0.002998,0.002998,-0.000002,0.077004,0.150000,0.062426,374.555268,1,1,0,1,20.778176,375,0,0,0
0.0651,,0.004998,0.004998,0.000142,0.095135,0.150000,0.092526,555.154632,1,1,0,1,20.066596,555,0,0,0
0.0848,,0.006953,0.006953,0.000576,0.096966,0.150000,0.122626,735.757614,1,1,0,1,20.066998,736,0,0,0
0.1050,,0.008788,0.008788,0.001284,0.092552,0.150000,0.150000,900.000000,1,1,0,1,20.065952,900,0,0,0
0.1094,,0.010085,0.010085,0.002259,0.070218,0.150000,0.150000,900.000000,1,1,0,1,20.074312,900,0,0,0
0.1303,,0.012098,0.012098,0.003505,0.093864,0.150000,0.150000,900.000000,1,1,0,1,20.170258,900,0,0,0
0.1547,,0.013923,0.013923,0.005437,0.078896,0.150000,0.150000,900.000000,1,1,0,1,24.283351,900,0,0,0
0.1745,,0.015248,0.015248,0.007285,0.068243,0.150000,0.150000,900.000000,1,1,0,1,20.204307,900,0,0,0
0.1944,,0.016453,0.016453,0.009400,0.061672,0.150000,0.150000,900.000000,1,1,0,1,20.073719,900,0,0,0
0.2144,,0.017538,0.017538,0.011783,0.055501,0.150000,0.150000,900.000000,1,1,0,1,20.108200,900,0,0,0
0.2346,,0.018503,0.018503,0.014432,0.049489,0.150000,0.150000,900.000000,1,1,0,1,20.110085,900,0,0,0
0.2743,,0.019540,0.019540,0.017950,0.050949,0.078008,0.119672,718.032546,1,1,0,1,20.218606,718,0,0,0
0.2945,,0.020235,0.020235,0.020962,0.033526,-0.012569,0.083933,503.597286,1,1,0,1,23.826140,504,0,0,0
0.3144,,0.020816,0.020816,0.023804,0.029766,-0.096496,0.053687,322.120548,1,1,0,1,20.164082,322,0,0,0
0.3348,,0.021317,0.021317,0.026370,0.025902,-0.150000,0.023592,141.554169,1,1,0,1,20.062931,142,0,0,0
0.3543,,0.021755,0.021755,0.028772,0.022508,-0.150000,-0.006743,-40.456890,1,1,0,1,20.223451,-40,0,0,0
0.3741,,0.022135,0.022135,0.030784,0.019672,-0.150000,-0.036846,-221.073975,1,1,0,1,20.068565,-221,0,0,0
0.3943,,0.022466,0.022466,0.032527,0.017084,-0.150000,-0.066980,-401.877333,1,1,0,1,20.089262,-402,0,0,0
0.4143,,0.022752,0.022752,0.034004,0.014826,-0.150000,-0.097072,-582.432750,1,1,0,1,20.061713,-582,0,0,0
0.4393,,0.023000,0.023000,0.035212,0.012839,-0.150000,-0.127199,-763.195365,1,1,0,1,20.084735,-763,0,0,0
0.4593,,0.023269,0.023269,0.036308,0.011475,-0.150000,-0.150000,-900.000000,1,1,0,1,24.212023,-900,0,0,0
0.4643,,0.023456,0.023456,0.036926,0.009697,-0.150000,-0.150000,-900.000000,1,1,0,1,20.173505,-900,0,0,0
0.4849,,0.023624,0.023624,0.037280,0.008631,-0.150000,-0.150000,-900.000000,1,1,0,1,20.063384,-900,0,0,0
0.5042,,0.023740,0.023740,0.037367,0.006382,-0.150000,-0.150000,-900.000000,1,1,0,1,20.085765,-900,0,0,0
0.5241,,0.023891,0.023891,0.037215,0.007264,-0.150000,-0.150000,-900.000000,1,1,0,1,20.077095,-900,0,0,0
0.5445,,0.024038,0.024038,0.036754,0.007345,-0.150000,-0.150000,-900.000000,1,1,0,1,20.035479,-900,0,0,0
0.5651,,0.024228,0.024228,0.036033,0.008931,-0.150000,-0.150000,-900.000000,1,1,0,1,20.305970,-900,0,0,0
0.5953,,0.024473,0.024473,0.034755,0.011425,-0.150000,-0.150000,-900.000000,1,1,0,1,20.347203,-900,0,0,0
0.6102,,0.024566,0.024566,0.033573,0.005643,-0.150000,-0.150000,-900.000000,1,1,0,1,22.161630,-900,0,0,0
0.6307,,0.024826,0.024826,0.031748,0.010018,-0.150000,-0.150000,-900.000000,1,1,0,1,23.445992,-900,0,0,0
0.6748,,0.025189,0.025189,0.028944,0.013752,-0.085673,-0.112982,-677.891421,1,1,0,1,24.678731,-678,0,0,0
0.6949,,0.025481,0.025481,0.026683,0.012402,-0.005278,-0.076701,-460.203975,1,1,0,1,24.187494,-460,0,0,0
0.7150,,0.025821,0.025821,0.024411,0.016038,0.092584,-0.046556,-279.336294,1,1,0,1,20.096409,-279,0,0,0
0.7346,,0.026208,0.026208,0.022325,0.018676,0.150000,-0.016517,-99.103779,1,1,0,1,20.025835,-99,0,0,0
0.7548,,0.026640,0.026640,0.020514,0.020928,0.150000,0.013582,81.490986,1,1,0,1,20.066085,81,0,0,0
0.7748,,0.027110,0.027110,0.018971,0.022933,0.150000,0.043678,262.066338,1,1,0,1,20.063928,262,0,0,0
0.7942,,0.027613,0.027613,0.017696,0.024637,0.150000,0.073809,442.855368,1,1,0,1,20.087670,443,0,0,0
14.3216,,0.028144,0.028144,0.016693,0.026090,0.150000,0.103909,623.451051,1,1,0,1,20.066187,623,0,0,0
14.3223,reject_unarmed,0.028387,0.028144,0.016693,,,,,0,0,0,1,,0,0,0,0
14.3228,PANIC,0.028269,0.028144,0.016693,,,,,0,0,1,1,,0,0,0,0
14.3813,STOP,0.016693,0.016693,0.016693,,,,,0,0,1,1,,0,0,0,0
