t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0299,,0.009990,0.009990,0.000003,0.000000,0.150000,0.033321,199.927494,1,1,0,1,22.214166,200,0,0,0
0.0546,,0.034825,0.034825,0.000012,0.120000,0.150000,0.070013,420.080562,1,1,0,1,24.461452,420,0,0,0
0.0746,,0.059472,0.059472,0.000306,0.144000,0.150000,0.106998,641.987424,1,1,0,1,24.656318,642,0,0,0
0.1047,,0.079055,0.079055,0.000865,0.148800,0.150000,0.137052,822.314637,1,1,0,1,20.036357,822,0,0,0
0.1246,,0.108205,0.108205,0.002208,0.149760,0.150000,0.150000,900.000000,1,1,0,1,30.067422,900,0,0,0
0.1297,,0.127488,0.127488,0.003440,0.149952,0.150000,0.150000,900.000000,1,1,0,1,20.255047,900,0,0,0
0.1500,,0.146651,0.146651,0.005021,0.149990,0.150000,0.150000,900.000000,1,1,0,1,20.169080,900,0,0,0
0.1697,,0.160945,0.160945,0.006803,0.149998,0.150000,0.150000,900.000000,1,1,0,1,20.065291,900,0,0,0
0.1947,,0.189329,0.189329,0.009295,0.150000,0.150000,0.150000,900.000000,1,1,0,1,24.490821,900,0,0,0
0.2146,,0.208103,0.208103,0.011664,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.125642,900,0,0,0
0.2346,,0.226756,0.226756,0.014302,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.067320,900,0,0,0
0.2546,,0.245289,0.245289,0.017206,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.095705,900,0,0,0
0.2746,,0.263702,0.263702,0.020371,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.237524,900,0,0,0
0.2993,,0.281995,0.281995,0.023982,0.150000,0.150000,0.150000,900.000000,1,1,0,1,24.120326,900,0,0,0
0.3196,,0.304693,0.304693,0.026987,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.212193,900,0,0,0
0.3393,,0.318221,0.318221,0.029994,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.237689,900,0,0,0
0.3595,,0.340619,0.340619,0.032998,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.096210,900,0,0,0
0.3796,,0.358402,0.358402,0.036001,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.111358,900,0,0,0
0.3999,,0.376065,0.376065,0.039154,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.190853,900,0,0,0
0.4245,,0.397975,0.397975,0.042755,0.150000,0.150000,0.150000,900.000000,1,1,0,1,24.166628,900,0,0,0
0.4444,,0.415368,0.415368,0.045907,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.678729,900,0,0,0
0.4648,,0.432641,0.432641,0.048908,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.086227,900,0,0,0
0.4849,,0.449794,0.449794,0.051908,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.094900,900,0,0,0
0.5092,,0.466827,0.466827,0.055510,0.150000,0.150000,0.150000,900.000000,1,1,0,1,21.331219,900,0,0,0
0.5292,,0.483741,0.483741,0.058510,0.150000,0.150000,0.150000,900.000000,1,1,0,1,22.624964,900,0,0,0
0.5494,,0.504713,0.504713,0.061510,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.093177,900,0,0,0
0.5692,,0.517207,0.517207,0.064510,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.166911,900,0,0,0
0.5892,,0.533760,0.533760,0.067510,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.105482,900,0,0,0
0.6095,,0.554282,0.554282,0.070511,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.244550,900,0,0,0
0.6295,,0.570566,0.570566,0.073510,0.150000,0.150000,0.150000,900.000000,1,1,0,1,20.078090,900,0,0,0
3.2347,reject_unarmed,0.634498,0.570566,0.073510,,,,,0,0,1,1,,0,0,0,0
3.2398,PANIC,0.630558,0.570566,0.073510,,,,,0,0,1,1,,0,0,0,0
31.0893,reject_unarmed,0.646272,0.570566,0.073510,,,,,0,0,1,1,,0,0,0,0
31.0899,latch_kill,0.630558,0.570566,0.073510,,,,,0,0,1,1,,0,0,0,0
31.1484,STOP,0.073510,0.073510,0.073510,,,,,0,0,1,1,,0,0,0,0
