t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0239,,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,1,1,0,1,22.520076,0,0,0,0
0.0441,,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.691318,0,0,0,0
0.0653,,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.495228,0,0,0,0
0.0881,,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.916488,0,0,0,0
0.1202,,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,1,1,0,1,22.212335,0,0,0,0
0.1381,,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,1,1,0,1,22.676433,0,0,0,0
0.1598,,0.000003,0.000003,0.000003,0.000001,0.000000,0.000000,0.000000,1,1,0,1,22.277686,0,0,0,0
0.1839,,0.000003,0.000003,0.000003,0.000002,0.000000,0.000000,0.000000,1,1,0,1,22.862925,0,0,0,0
0.2011,,0.000003,0.000003,0.000003,0.000003,0.000000,0.000000,0.000000,1,1,0,1,23.342088,0,0,0,0
0.2232,,0.000003,0.000003,0.000003,0.000007,0.000000,0.000000,0.000000,1,1,0,1,22.662831,0,0,0,0
0.2443,,0.000003,0.000003,0.000003,0.000013,0.000000,0.000000,0.000000,1,1,0,1,21.173446,0,0,0,0
0.2647,,0.000004,0.000004,0.000003,0.000015,0.000000,0.000000,0.000000,1,1,0,1,20.878352,0,0,0,0
0.2862,,0.000005,0.000005,0.000003,0.000036,0.000000,0.000000,0.000000,1,1,0,1,20.890969,0,0,0,0
0.3068,,0.000006,0.000006,0.000003,0.000048,0.000000,0.000000,0.000000,1,1,0,1,20.864332,0,0,0,0
0.3278,,0.000007,0.000007,0.000003,0.000065,0.000000,0.000000,0.000000,1,1,0,1,21.409729,0,0,0,0
0.3494,,0.000009,0.000009,0.000003,0.000064,0.000000,0.000000,0.000000,1,1,0,1,21.673484,0,0,0,0
0.3861,,0.000014,0.000014,0.000003,0.000208,0.000000,0.000000,0.000000,1,1,0,1,20.742762,0,0,0,0
0.4014,,0.000016,0.000016,0.000003,0.000134,0.000000,0.000000,0.000000,1,1,0,1,21.147077,0,0,0,0
0.4223,,0.000020,0.000020,0.000003,0.000174,0.000000,0.000000,0.000000,1,1,0,1,20.694196,0,0,0,0
0.4377,,0.000022,0.000022,0.000003,0.000119,0.000000,0.000000,0.000000,1,1,0,1,20.323824,0,0,0,0
0.4691,,0.000026,0.000026,0.000003,0.000162,0.000612,0.000612,3.674230,1,1,0,1,20.602549,4,0,0,0
0.4902,,0.000032,0.000032,0.000004,0.000288,0.000869,0.000869,5.213739,1,1,0,1,21.370389,5,0,0,0
0.4956,,0.000039,0.000039,0.000009,0.000298,0.000848,0.000848,5.087200,1,1,0,1,21.084576,5,0,0,0
0.5320,,0.000046,0.000046,0.000025,0.000340,0.000611,0.000611,3.665274,1,1,0,1,20.443113,4,0,0,0
0.5528,,0.000052,0.000052,0.000041,0.000291,0.000000,0.000000,0.000000,1,1,0,1,21.377537,0,0,0,0
0.5583,,0.000063,0.000063,0.000050,0.000484,0.000000,0.000000,0.000000,1,1,0,1,20.771130,0,0,0,0
0.6005,,0.000073,0.000073,0.000050,0.000475,0.000986,0.000986,5.914118,1,1,0,1,21.026804,6,0,0,0
0.6219,,0.000087,0.000087,0.000052,0.000511,0.001227,0.001227,7.364553,1,1,0,1,26.699543,7,0,0,0
0.6492,,0.000102,0.000102,0.000070,0.000686,0.001262,0.001262,7.571088,1,1,0,1,21.350858,8,0,0,0
0.6747,,0.000120,0.000120,0.000095,0.000644,0.001019,0.001019,6.111822,1,1,0,1,27.373118,6,0,0,0
0.6959,,0.000131,0.000131,0.000126,0.000484,0.000000,0.000000,0.000000,1,1,0,1,25.472913,0,0,0,0
0.7223,,0.000156,0.000156,0.000143,0.001028,0.001325,0.001325,7.947845,1,1,0,1,21.221870,8,0,0,0
0.7488,,0.000174,0.000174,0.000145,0.000755,0.001426,0.001426,8.555431,1,1,0,1,26.333180,9,0,0,0
0.7711,,0.000193,0.000193,0.000180,0.000738,0.000000,0.000000,0.000000,1,1,0,1,26.503847,0,0,0,0
0.7925,,0.000220,0.000220,0.000209,0.001088,0.001255,0.001255,7.527286,1,1,0,1,22.331183,8,0,0,0
0.8204,,0.000248,0.000248,0.000210,0.001282,0.002250,0.002250,13.497917,1,1,0,1,21.429707,13,0,0,0
0.8464,,0.000279,0.000279,0.000252,0.001142,0.001526,0.001526,9.157723,1,1,0,1,27.875843,9,0,0,0
0.8676,,0.000305,0.000305,0.000298,0.001043,0.001025,0.001025,6.148986,1,1,0,1,25.960219,6,0,0,0
0.8940,,0.000333,0.000333,0.000332,0.001265,0.001224,0.001224,7.345819,1,1,0,1,21.211483,7,0,0,0
0.9157,,0.000371,0.000371,0.000360,0.001382,0.001650,0.001650,9.902479,1,1,0,1,26.460369,10,0,0,0
0.9425,,0.000411,0.000411,0.000386,0.001750,0.002336,0.002336,14.018630,1,1,0,1,21.696649,14,0,0,0
0.9793,,0.000453,0.000453,0.000431,0.001626,0.002015,0.002015,12.090814,1,1,0,1,26.759734,12,0,0,0
1.0012,,0.000508,0.000508,0.000520,0.001519,0.001097,0.001097,6.579943,1,1,0,1,36.787077,7,0,0,0
1.0229,,0.000547,0.000547,0.000559,0.001726,0.001504,0.001504,9.021985,1,1,0,1,21.890179,9,0,0,0
1.0492,,0.000588,0.000588,0.000580,0.001845,0.002184,0.002184,13.102898,1,1,0,1,21.768193,13,0,0,0
1.0705,,0.000631,0.000631,0.000617,0.001669,0.001954,0.001954,11.726567,1,1,0,1,26.284431,12,0,0,0
1.0973,,0.000687,0.000687,0.000666,0.002447,0.002906,0.002906,17.438010,1,1,0,1,21.271691,17,0,0,0
1.1298,,0.000758,0.000758,0.000716,0.002628,0.003565,0.003565,21.391300,1,1,0,1,26.772569,21,0,0,0
1.1565,,0.000835,0.000835,0.000824,0.002398,0.002388,0.002388,14.330343,1,1,0,1,32.562513,14,0,0,0
1.1887,,0.000888,0.000888,0.000900,0.002082,0.001675,0.001675,10.052939,1,1,0,1,26.699901,10,0,0,0
1.2105,,0.000958,0.000958,0.000964,0.002154,0.002081,0.002081,12.483832,1,1,0,1,32.165647,12,0,0,0
1.2382,,0.001031,0.001031,0.001013,0.003120,0.003701,0.003701,22.207876,1,1,0,1,21.816835,22,0,0,0
1.2643,,0.001124,0.001124,0.001060,0.003298,0.004814,0.004814,28.884493,1,1,0,1,27.716062,29,0,0,0
1.3067,,0.001222,0.001222,0.001181,0.003663,0.004196,0.004196,25.176201,1,1,0,1,26.054848,25,0,0,0
1.3340,,0.001325,0.001325,0.001358,0.002675,0.001697,0.001697,10.184620,1,1,0,1,42.465368,10,0,0,0
1.3560,,0.001415,0.001415,0.001470,0.003177,0.001997,0.001997,11.984502,1,1,0,1,27.272085,12,0,0,0
