t_wall_s,event,target_m,commanded_m,measured_m,v_ff,v_des,v_cmd,rpm,follow,armed,panic,poll_ok,dt_wall_ms,last_rpm_cmd,mb_fail_n,freeze_flag,arm_good
0.0070,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,0,1,21.256262,0,0,0,0
0.0345,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.045040,0,0,0,0
0.0499,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.166740,0,0,0,0
0.0847,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,20.865100,0,0,0,0
0.0915,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,22.616396,0,0,0,0
0.1178,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,21.154030,0,0,0,0
0.1366,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0,1,24.294274,0,0,0,0
0.1637,,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,1,1,0,1,25.952591,0,0,0,0
0.1888,,0.000000,0.000000,-0.000000,0.000001,0.000000,0.000000,0.000000,1,1,0,1,26.262422,0,0,0,0
0.2254,,0.000000,0.000000,0.000000,0.000005,0.000000,0.000000,0.000000,1,1,0,1,26.118499,0,0,0,0
0.2389,,0.000000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,1,1,0,1,22.713570,0,0,0,0
0.2579,,0.000001,0.000001,0.000000,0.000009,0.000000,0.000000,0.000000,1,1,0,1,20.162061,0,0,0,0
0.2841,,0.000001,0.000001,0.000000,0.000014,0.000000,0.000000,0.000000,1,1,0,1,20.438913,0,0,0,0
0.3002,,0.000001,0.000001,-0.000000,0.000014,0.000000,0.000000,0.000000,1,1,0,1,20.080063,0,0,0,0
0.3256,,0.000002,0.000002,0.000000,0.000028,0.000000,0.000000,0.000000,1,1,0,1,26.129161,0,0,0,0
0.3516,,0.000003,0.000003,0.000000,0.000041,0.000000,0.000000,0.000000,1,1,0,1,26.015997,0,0,0,0
0.3734,,0.000004,0.000004,0.000000,0.000051,0.000000,0.000000,0.000000,1,1,0,1,20.882746,0,0,0,0
0.3943,,0.000006,0.000006,0.000000,0.000061,0.000000,0.000000,0.000000,1,1,0,1,21.322770,0,0,0,0
0.4208,,0.000008,0.000008,0.000000,0.000094,0.000000,0.000000,0.000000,1,1,0,1,21.438198,0,0,0,0
0.4347,,0.000008,0.000008,0.000000,0.000044,0.000000,0.000000,0.000000,1,1,0,1,20.099730,0,0,0,0
0.4609,,0.000012,0.000012,0.000000,0.000151,0.000000,0.000000,0.000000,1,1,0,1,20.568229,0,0,0,0
0.4935,,0.000016,0.000016,0.000000,0.000139,0.000000,0.000000,0.000000,1,1,0,1,26.191738,0,0,0,0
0.5072,,0.000019,0.000019,0.000000,0.000150,0.000000,0.000000,0.000000,1,1,0,1,20.213064,0,0,0,0
0.5468,,0.000022,0.000022,0.000000,0.000166,0.000601,0.000601,3.604140,1,1,0,1,20.501633,4,0,0,0
0.5537,,0.000027,0.000027,0.000002,0.000167,0.000639,0.000639,3.832211,1,1,0,1,31.512748,4,0,0,0
0.5736,,0.000032,0.000032,0.000007,0.000210,0.000653,0.000653,3.919372,1,1,0,1,20.097891,4,0,0,0
0.6247,,0.000039,0.000039,0.000021,0.000253,0.000000,0.000000,0.000000,1,1,0,1,25.164638,0,0,0,0
0.6371,,0.000050,0.000050,0.000038,0.000334,0.000000,0.000000,0.000000,1,1,0,1,32.642131,0,0,0,0
0.6559,,0.000057,0.000057,0.000038,0.000278,0.000000,0.000000,0.000000,1,1,0,1,24.823788,0,0,0,0
0.7074,,0.000069,0.000069,0.000038,0.000430,0.001089,0.001089,6.531501,1,1,0,1,25.902433,7,0,0,0
0.7390,,0.000077,0.000077,0.000043,0.000287,0.000922,0.000922,5.531811,1,1,0,1,32.015623,6,0,0,0
0.7804,,0.000098,0.000098,0.000084,0.000591,0.000000,0.000000,0.000000,1,1,0,1,31.595758,0,0,0,0
0.7894,,0.000115,0.000115,0.000102,0.000450,0.000000,0.000000,0.000000,1,1,0,1,41.419452,0,0,0,0
0.8406,,0.000126,0.000126,0.000102,0.000502,0.001049,0.001049,6.291076,1,1,0,1,21.714957,6,0,0,0
0.8797,,0.000151,0.000151,0.000113,0.000609,0.001365,0.001365,8.191415,1,1,0,1,38.454291,8,0,0,0
0.9069,,0.000173,0.000173,0.000143,0.000585,0.001095,0.001095,6.569437,1,1,0,1,39.082698,7,0,0,0
0.9401,,0.000193,0.000193,0.000172,0.000692,0.000990,0.000990,5.938168,1,1,0,1,27.243475,6,0,0,0
0.9797,,0.000231,0.000231,0.000208,0.001047,0.001471,0.001471,8.826777,1,1,0,1,33.181776,9,0,0,0
1.0184,,0.000260,0.000260,0.000259,0.000809,0.000000,0.000000,0.000000,1,1,0,1,39.598528,0,0,0,0
1.0317,,0.000299,0.000299,0.000295,0.000963,0.000000,0.000000,0.000000,1,1,0,1,38.689006,0,0,0,0
1.0900,,0.000334,0.000334,0.000294,0.001271,0.002281,0.002281,13.685269,1,1,0,1,25.973833,14,0,0,0
1.1284,,0.000371,0.000371,0.000305,0.000913,0.002230,0.002230,13.378952,1,1,0,1,45.596540,13,0,0,0
1.1736,,0.000429,0.000429,0.000400,0.001371,0.001665,0.001665,9.988875,1,1,0,1,38.410878,10,0,0,0
1.2189,,0.000500,0.000500,0.000481,0.001546,0.001861,0.001861,11.167455,1,1,0,1,45.187802,11,0,0,0
1.2512,,0.000549,0.000549,0.000558,0.001167,0.000874,0.000874,5.241487,1,1,0,1,45.362671,5,0,0,0
1.2585,,0.000590,0.000590,0.000612,0.001252,0.000769,0.000769,4.612056,1,1,0,1,32.211982,5,0,0,0
1.3061,,0.000633,0.000633,0.000628,0.001953,0.002349,0.002349,14.094433,1,1,0,1,20.184795,14,0,0,0
1.3228,,0.000701,0.000701,0.000681,0.001958,0.002407,0.002407,14.441914,1,1,0,1,34.786112,14,0,0,0
1.3714,,0.000725,0.000725,0.000725,0.001184,0.001005,0.001005,6.028329,1,1,0,1,23.944523,6,0,0,0
1.4111,,0.000812,0.000812,0.000814,0.001921,0.001867,0.001867,11.203287,1,1,0,1,41.357407,11,0,0,0
1.4497,,0.000892,0.000892,0.000863,0.001991,0.002683,0.002683,16.099903,1,1,0,1,39.729006,16,0,0,0
1.4761,,0.000962,0.000962,0.000933,0.001855,0.002365,0.002365,14.188068,1,1,0,1,38.537535,14,0,0,0
1.5210,,0.001021,0.001021,0.001001,0.002149,0.002417,0.002417,14.502166,1,1,0,1,26.385948,15,0,0,0
1.5659,,0.001161,0.001161,0.001135,0.002924,0.003421,0.003421,20.524863,1,1,0,1,44.969642,21,0,0,0
1.5922,,0.001244,0.001244,0.001236,0.002064,0.002117,0.002117,12.699382,1,1,0,1,44.861896,13,0,0,0
1.6267,,0.001330,0.001330,0.001318,0.003052,0.003307,0.003307,19.841347,1,1,0,1,26.267089,20,0,0,0
1.6646,,0.001439,0.001439,0.001401,0.003133,0.003985,0.003985,23.912865,1,1,0,1,34.559944,24,0,0,0
1.6968,,0.001515,0.001515,0.001534,0.002227,0.001545,0.001545,9.271202,1,1,0,1,37.832456,9,0,0,0
1.7303,,0.001613,0.001613,0.001663,0.002878,0.001770,0.001770,10.618253,1,1,0,1,32.278492,11,0,0,0
1.7583,,0.001715,0.001715,0.001708,0.003015,0.003531,0.003531,21.187653,1,1,0,1,33.485913,21,0,0,0
1.7864,,0.001800,0.001800,0.001767,0.003019,0.003803,0.003803,22.816393,1,1,0,1,28.006030,23,0,0,0
1.8186,,0.001887,0.001887,0.001869,0.003085,0.003303,0.003303,19.819042,1,1,0,1,28.111268,20,0,0,0
1.8450,,0.002000,0.002000,0.001993,0.003423,0.003471,0.003471,20.826353,1,1,0,1,32.121864,21,0,0,0
1.8788,,0.002093,0.002093,0.002086,0.003503,0.003623,0.003623,21.736509,1,1,0,1,26.439131,22,0,0,0
1.9163,,0.002238,0.002238,0.002222,0.004129,0.004478,0.004478,26.868738,1,1,0,1,33.794901,27,0,0,0
1.9508,,0.002363,0.002363,0.002334,0.003501,0.004108,0.004108,24.648769,1,1,0,1,37.492254,25,0,0,0
1.9816,,0.002466,0.002466,0.002484,0.003096,0.002487,0.002487,14.922120,1,1,0,1,34.536463,15,0,0,0
2.0167,,0.002600,0.002600,0.002625,0.004085,0.003573,0.003573,21.436543,1,1,0,1,30.765029,21,0,0,0
2.0415,,0.002682,0.002682,0.002697,0.002688,0.002469,0.002469,14.816996,1,1,0,1,35.109031,15,0,0,0
2.0807,,0.002851,0.002851,0.002781,0.006002,0.008022,0.008022,48.131875,1,1,0,1,24.747903,48,0,0,0
2.1143,,0.002967,0.002967,0.002940,0.003569,0.003822,0.003822,22.929925,1,1,0,1,39.297460,23,0,0,0
2.1402,,0.003117,0.003117,0.003154,0.004238,0.003162,0.003162,18.969265,1,1,0,1,33.946348,19,0,0,0
2.1791,,0.003271,0.003271,0.003269,0.005683,0.006052,0.006052,36.312177,1,1,0,1,25.510031,36,0,0,0
2.2124,,0.003430,0.003430,0.003372,0.004404,0.005750,0.005750,34.500541,1,1,0,1,38.909909,35,0,0,0
2.2577,,0.003660,0.003660,0.003622,0.006418,0.006982,0.006982,41.893714,1,1,0,1,33.295022,42,0,0,0
2.2848,,0.003831,0.003831,0.003853,0.004297,0.003607,0.003607,21.644305,1,1,0,1,45.238013,22,0,0,0
2.2919,,0.003971,0.003971,0.004029,0.004980,0.003629,0.003629,21.773577,1,1,0,1,27.143012,22,0,0,0
2.3377,,0.004077,0.004077,0.004108,0.005052,0.004792,0.004792,28.753920,1,1,0,1,21.086758,29,0,0,0
2.3700,,0.004297,0.004297,0.004257,0.006530,0.007739,0.007739,46.434419,1,1,0,1,31.763950,46,0,0,0
2.4036,,0.004485,0.004485,0.004442,0.005960,0.006739,0.006739,40.436146,1,1,0,1,32.340265,40,0,0,0
2.4301,,0.004639,0.004639,0.004644,0.004863,0.004458,0.004458,26.745404,1,1,0,1,33.586496,27,0,0,0
2.4626,,0.004796,0.004796,0.004805,0.005720,0.005525,0.005525,33.150820,1,1,0,1,26.519095,33,0,0,0
2.4906,,0.004957,0.004957,0.004956,0.005100,0.005180,0.005180,31.082428,1,1,0,1,32.480063,31,0,0,0
2.5182,,0.005162,0.005162,0.005112,0.006887,0.008178,0.008178,49.069535,1,1,0,1,28.008279,49,0,0,0
2.5468,,0.005288,0.005288,0.005268,0.005010,0.005141,0.005141,30.847593,1,1,0,1,27.688690,31,0,0,0
2.5788,,0.005502,0.005502,0.005481,0.006987,0.007363,0.007363,44.178835,1,1,0,1,28.568658,44,0,0,0
2.6171,,0.005765,0.005765,0.005703,0.007985,0.009383,0.009383,56.296025,1,1,0,1,31.988418,56,0,0,0
2.6613,,0.006082,0.006082,0.006015,0.008214,0.009458,0.009458,56.748381,1,1,0,1,38.320339,57,0,0,0
2.6945,,0.006315,0.006315,0.006367,0.005855,0.004317,0.004317,25.900563,1,1,0,1,44.217721,26,0,0,0
2.7206,,0.006553,0.006553,0.006637,0.006926,0.005196,0.005196,31.176944,1,1,0,1,33.114109,31,0,0,0
2.7473,,0.006699,0.006699,0.006746,0.005843,0.005292,0.005292,31.752497,1,1,0,1,26.117240,32,0,0,0
2.7690,,0.006896,0.006896,0.006884,0.007084,0.007786,0.007786,46.716466,1,1,0,1,26.655223,47,0,0,0
2.8023,,0.007147,0.007147,0.007046,0.010673,0.013384,0.013384,80.305060,1,1,0,1,21.720273,80,0,0,0
2.8287,,0.007300,0.007300,0.007286,0.005820,0.005504,0.005504,33.022680,1,1,0,1,33.309559,33,0,0,0
2.8543,,0.007561,0.007561,0.007628,0.009032,0.007137,0.007137,42.819064,1,1,0,1,26.450969,43,0,0,0
2.8937,,0.007826,0.007826,0.007817,0.010128,0.010946,0.010946,65.678410,1,1,0,1,25.545219,66,0,0,0
2.9263,,0.008153,0.008153,0.008077,0.008649,0.010391,0.010391,62.348911,1,1,0,1,39.408039,62,0,0,0
2.9541,,0.008375,0.008375,0.008438,0.007179,0.005102,0.005102,30.609037,1,1,0,1,32.593100,31,0,0,0
2.9928,,0.008657,0.008657,0.008755,0.009551,0.007521,0.007521,45.124215,1,1,0,1,27.864013,45,0,0,0
3.0312,,0.009004,0.009004,0.008924,0.009078,0.011518,0.011518,69.110810,1,1,0,1,38.692911,69,0,0,0
3.0645,,0.009299,0.009299,0.009304,0.007971,0.007404,0.007404,44.422479,1,1,0,1,38.368323,44,0,0,0
3.0935,,0.009540,0.009540,0.009617,0.007377,0.005497,0.005497,32.983150,1,1,0,1,33.248637,33,0,0,0
3.1272,,0.009907,0.009907,0.009812,0.011612,0.014642,0.014642,87.853827,1,1,0,1,29.000815,88,0,0,0
3.1746,,0.010283,0.010283,0.010018,0.011232,0.017096,0.017096,102.576463,1,1,0,1,33.745030,103,0,0,0
3.2215,,0.010667,0.010667,0.010717,0.008726,0.006372,0.006372,38.229830,1,1,0,1,47.442492,38,0,0,0
3.2545,,0.011060,0.011060,0.011465,0.008449,-0.000513,-0.000513,-3.077214,1,1,0,1,46.868543,-3,0,0,0
3.3019,,0.011394,0.011394,0.011654,0.009776,0.006044,0.006044,36.266431,1,1,0,1,33.024449,36,0,0,0
3.3286,,0.011871,0.011871,0.011739,0.010009,0.014219,0.014219,85.311267,1,1,0,1,47.410917,85,0,0,0
3.3627,,0.012219,0.012219,0.011914,0.012430,0.019344,0.019344,116.064696,1,1,0,1,26.705206,116,0,0,0
3.3908,,0.012502,0.012502,0.012427,0.009131,0.008996,0.008996,53.976127,1,1,0,1,34.045303,54,0,0,0
3.4210,,0.012717,0.012717,0.012933,0.007945,0.001774,0.001774,10.641501,1,1,0,1,28.062683,11,0,0,0
3.4528,,0.013079,0.013079,0.013195,0.011177,0.009831,0.009831,58.988535,1,1,0,1,30.248979,59,0,0,0
3.4749,,0.013373,0.013373,0.013266,0.009648,0.013135,0.013135,78.811716,1,1,0,1,31.773174,79,0,0,0
3.5072,,0.013672,0.013672,0.013504,0.012706,0.016316,0.016316,97.894315,1,1,0,1,22.141995,98,0,0,0
3.5299,,0.013974,0.013974,0.013931,0.010029,0.009951,0.009951,59.707648,1,1,0,1,32.282159,60,0,0,0
3.5648,,0.014280,0.014280,0.014296,0.012775,0.011911,0.011911,71.468837,1,1,0,1,22.737690,71,0,0,0
3.5955,,0.014590,0.014590,0.014665,0.009668,0.007938,0.007938,47.630957,1,1,0,1,34.866144,48,0,0,0
3.6283,,0.014983,0.014983,0.015051,0.012183,0.011023,0.011023,66.137740,1,1,0,1,30.674923,66,0,0,0
3.6610,,0.015382,0.015382,0.015351,0.012169,0.013384,0.013384,80.302894,1,1,0,1,32.809996,80,0,0,0
3.6940,,0.015787,0.015787,0.015664,0.012349,0.015199,0.015199,91.196947,1,1,0,1,32.700268,91,0,0,0
3.7222,,0.016199,0.016199,0.016137,0.012456,0.013162,0.013162,78.970429,1,1,0,1,32.963148,79,0,0,0
3.7563,,0.016617,0.016617,0.016599,0.014339,0.014313,0.014313,85.879588,1,1,0,1,28.202265,86,0,0,0
3.7957,,0.017040,0.017040,0.017071,0.012802,0.011937,0.011937,71.621439,1,1,0,1,34.135721,72,0,0,0
