scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
003/LH_Per_S_DtP,confidence_cop_v1,4801,4801,1.0,0,0.1,0.14487773811796173,4.6025151989442036e-05,1.6940658945086007e-21,1.0501591918785214e-19,0.9461702554090168,0.0018051858012535576,0.0018271090011694469,0,,
003/LH_Per_S_PtD,recorded_old,4294,4294,,0,0.0970995226191927,0.09885561485437128,0.0016767461101681958,,,0.9209555402931439,0.0026202341521365372,0.0035238505479355804,0,0,0.02884660119687195
003/LH_Per_S_PtD,confidence_angular_v1,4294,4294,1.0,0,0.1,0.10565511000218168,0.001344412357791208,2.710505431213761e-20,0.0,0.9717411944748842,0.0018017187093670153,0.0018249182005092735,0,,
003/LH_Per_S_PtD,confidence_cop_v1,4294,4294,1.0,0,0.1,0.10565393208949324,0.0013532998562364813,2.710505431213761e-20,1.5259277348283022e-19,0.9717411944748842,0.001804813696097939,0.0018278304465638938,0,,
003/RH_Per_C_DtP,recorded_old,3862,3862,,0,0.09994788408371151,0.10252402757336972,0.00015276818595401682,,,0.9414875243789804,0.002665025481134321,0.003574996948736952,0,0,0.017024094667531003
003/RH_Per_C_DtP,confidence_angular_v1,3862,3862,1.0,0,0.1,0.11007229074884273,-0.00016753185839655732,2.710505431213761e-20,0.0,0.973765322675227,0.0018020993008705207,0.001823709995005629,0,,
003/RH_Per_C_DtP,confidence_cop_v1,3862,3862,1.0,0,0.1,0.11007289897429919,-0.0001659765443597527,2.710505431213761e-20,9.059836279691166e-20,0.973765322675227,0.0018043514155607293,0.0018263942019984825,0,,
003/RH_Per_C_PtD,recorded_old,3615,3615,,0,0.1,0.11340669681338382,0.0010731383020503309,,,0.9563682861100292,0.00277243920437345,0.003695978999166982,0,0,0.028012777092936862
003/RH_Per_C_PtD,confidence_angular_v1,3615,3615,1.0,0,0.1,0.11282100674881584,0.0007997981521380403,3.3881317890172014e-21,0.0,0.9828838374249506,0.0018045484771536447,0.001827780398161849,0,,
003/RH_Per_C_PtD,confidence_cop_v1,3615,3615,1.0,0,0.1,0.11282998216259629,0.0008003134306687647,3.3881317890172014e-21,1.065087476095476e-19,0.9828838374249506,0.001808682369242727,0.001828420999663649,0,,
003/RH_Per_L_DtP,recorded_old,3951,3951,,0,0.09646908977394643,0.09804717265983674,1.9568557501335386e-05,,,0.9584656308225811,0.0024528321219426893,0.0032851370015123393,0,0,0.014787768002027777
003/RH_Per_L_DtP,confidence_angular_v1,3951,3951,1.0,0,0.1,0.10993338809766405,-0.00026894892601044646,2.117582368135751e-22,0.0,0.9966606512455356,0.0018039874509935868,0.0018276070004503708,0,,
003/RH_Per_L_DtP,confidence_cop_v1,3951,3951,1.0,0,0.1,0.10994023213835066,-0.00027136940892690133,2.117582368135751e-22,9.016247997312688e-20,0.9966606512455356,0.0018067999091650536,0.0018298835020686965,0,,
003/RH_Per_L_PtD,recorded_old,3682,3681,,0,0.09999926650985985,0.10892402131053545,0.0006588071724700027,,,0.9592070956686753,0.002584315974769619,0.0034795049461536108,0,1,0.004499869497107598
003/RH_Per_L_PtD,confidence_angular_v1,3682,3682,1.0,0,0.1,0.1101138286236921,0.000580246670031157,2.710505431213761e-20,0.0,0.9887459024417207,0.0018026278587121422,0.0018251048990350683,0,,
003/RH_Per_L_PtD,confidence_cop_v1,3682,3682,1.0,0,0.1,0.1100833359761072,0.0005860310203386713,2.710505431213761e-20,8.470329472543003e-20,0.9887459024417207,0.0018049261832670414,0.0018270031992869916,0,,
003/RH_Per_S_DtP,recorded_old,4202,4201,,0,0.09969694477620325,0.10374082671649962,0.00024009615782932044,,,0.87584696664666,0.0027556616392175196,0.003656263254379155,0,0,0.07204617173006796
003/RH_Per_S_DtP,confidence_angular_v1,4202,4202,1.0,0,0.1,0.1096097084184832,-0.00010465759518004817,2.168404344971009e-19,0.0,0.9048734915529822,0.0017950600849508365,0.0018402188496111193,0,,
