t_mono_s,stage,t_ref_s,fz_n,contact,vz_cmd_mm_s,vz_pose_diff_mm_s,surface_gap_mm,slack,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,rail_m,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,q7_rad
937572.162142515,approach,0.0,-0.7247168205210313,0,0.0,nan,40.57717536116657,1.1384242639798648e-08,0.3241093825887649,0.2353231232659862,0.20833393804054479,3.1218714586154555,-0.08399805668460747,-3.1093020324501692,0.5699473571777344,-1.6114625303242975,-1.000510007021555,0.8418071776576619,2.129423926527117,1.3471848048147204,1.3128366846554234,0.5994333529027412
937572.212837031,approach,0.0,-0.003631365456095409,0,12.0,0.7345678184971955,40.53997856631061,1.6724647774456553e-08,0.3241338263035619,0.23530149797068386,0.2082941111547148,3.1219797661784394,-0.0837344485412137,-3.1092054345245943,0.5687078094482422,-1.6099265521655943,-1.0058332665664598,0.8412138253667922,2.1284464132490033,1.3488427557513492,1.3153150223658512,0.604424982312904
937572.263481209,approach,0.0,-0.3665366459054892,0,12.0,7.6020724750841655,40.155274558866374,4.105965146619407e-09,0.3240046469636549,0.23586097557949356,0.20792869866518793,3.1217966773144714,-0.08368929862868568,-3.1089137706200884,0.5680661010742187,-1.608233580660631,-1.0112263009319247,0.8409519700526102,2.128987567582507,1.3510244173163422,1.317514127635984,0.6082123302781329
937572.314121995,approach,0.0,-0.505572134919702,0,12.0,11.376663379355664,39.578635991428385,1.6415326560858555e-08,0.3237845413213755,0.2362296235576378,0.20737519319003983,3.121523932245652,-0.08366702076296484,-3.1086437289092617,0.5675371551513672,-1.6072912211089065,-1.0162528843313947,0.8406378502020354,2.130854976138871,1.3536424378259446,1.319765564021537,0.6099227454882363
937572.364712502,approach,0.0,-0.7630857381206784,0,12.0,10.843972652946107,39.02994947860499,6.49376406352563e-09,0.32365386334581625,0.23588285316807103,0.20682972324697435,3.121281463346738,-0.0836907251835668,-3.108537560364137,0.5665179443359375,-1.6072736442457118,-1.020738379976388,0.8406378502020354,2.132582968212169,1.356365120566387,1.32196466929167,0.6109001256082954
937572.415109204,approach,0.0,-0.48869018343058535,0,12.0,11.685502089191878,38.440854213533605,1.9343648282398106e-08,0.3235776366020049,0.23576866974466454,0.20624297356040167,3.121460350375998,-0.08365109523093062,-3.1095583809048732,0.5657965850830078,-1.606942080689997,-1.026131414341853,0.8408123538324628,2.1341362569179574,1.3588784788451493,1.3234308726298132,0.6134832587076178
937572.465782259,approach,0.0,-0.372299434077463,0,12.0,10.987523482514785,37.88395724165256,9.933432670615594e-09,0.3235312555227936,0.23567304820073495,0.20568628450231768,3.121191616513037,-0.08364601667282123,-3.1099133933145153,0.5646466064453125,-1.6058774820442379,-1.03183863513692,0.8413010438924924,2.1350961933328763,1.3616709364061519,1.3251412878399165,0.6172706066728467
937572.516377672,approach,0.0,-0.4396131707179758,0,12.0,12.006603566869781,37.27439613472831,6.568348109579303e-09,0.3234355628987741,0.23582193757005251,0.2050851925062852,3.1211434320638447,-0.08397468009688547,-3.1098107279665483,0.5639500427246094,-1.6052142217747536,-1.0364637470020606,0.8419817478671165,2.1361956793889156,1.3640446118857394,1.326677132840565,0.619556997047707
937572.567018241,approach,0.0,-0.3582378201450676,0,12.0,14.34065743999452,36.54860356211807,9.395046447521713e-10,0.3233245699837723,0.23575594351237664,0.20436504995008603,3.120838555414258,-0.08453073582638759,-3.109680425259555,0.5629836273193359,-1.6047255317147242,-1.041245985371516,0.8429940153974558,2.137469868812464,1.366697519805622,1.3283701043455285,0.6218782748328473
937572.617789107,approach,0.0,-0.5645458926317508,0,12.0,13.327903471534041,35.872162838724215,5.070613009866216e-09,0.3232831931143497,0.2360297578633997,0.2036942668410722,3.1207364972985343,-0.08496790922394304,-3.1093782839785598,0.5623532104492187,-1.6043415038855346,-1.0459583823413838,0.8441459657269695,2.138464692637663,1.3694550899563445,1.3299582804615973,0.6240773801029802
937572.668555332,approach,0.0,-0.4520209619869474,0,12.0,12.643656901990818,35.2310619964882,1.283851981385205e-08,0.3233314558791317,0.2361852569330334,0.20304917491202903,3.1210920364219144,-0.08498787760231274,-3.1093700489637,0.561611328125,-1.6041496231289945,-1.051683046841591,0.8451233458470285,2.1394595164628623,1.372753814440571,1.3316862725348952,0.6265208304031279
