sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
937572.16132309,937572.161301734,4933,937572.133791479,-0.3906292437340142,1.2397851728853484,-0.7247168205210313,0.18331219472571336,0.04161535009811057,0.08923875657427538,4.0,approach,0,0.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+0.0
937572.171283795,937572.1672067,4934,937572.160717061,-0.38739532163163615,1.2113425361802732,-0.5530787172084218,0.1808130532005465,0.03766600703746866,0.08776878163475067,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.18122646,937572.180907703,4937,937572.173577977,-0.2993362248376207,1.2632156360627071,-0.4927886934345136,0.1886882840713061,0.03505793682125379,0.0917861828029414,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.191182035,937572.185756097,4938,937572.178263094,-0.2694843535105712,1.2773650402788288,-0.5941229754169445,0.1888374431820569,0.03623159395562698,0.08550684829231428,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.201334122,937572.200432239,4941,937572.193436355,-0.37810942552294474,1.5370768106027501,-0.49575583322896993,0.20325253616126865,0.03462997496471867,0.09179104586169146,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.211293725,937572.211191463,4943,937572.203549605,-0.3216960501231202,1.4060505657483033,-0.003631365456095409,0.20839240136636727,0.023021539985924006,0.10204106587529325,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.221174722,937572.215409778,4944,937572.208063414,-0.15550386299085114,1.4973595881782713,0.07253668001601872,0.21452204341727255,0.011389052856589534,0.10248965480695002,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.231188178,937572.230533568,4947,937572.223128961,-0.13778982502083137,1.803267104856835,-0.823897595169988,0.23262109258884844,0.029017372690190526,0.11204736846066142,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.241158251,937572.240911098,4949,937572.233378268,-0.41634795124985335,1.4869386220704586,-0.736422494264844,0.20140033113192346,0.04445170190943516,0.09965539395012957,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.251165376,937572.250514597,4951,937572.243193385,-0.12252158475895626,1.406616027328346,-0.19393781733919493,0.20066497199722988,0.010326402798982764,0.09335051248272498,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.261166477,937572.260860848,4953,937572.253867686,-0.06524946429740827,1.3283388779437695,-0.3665366459054892,0.19390891018341114,0.017888821722212376,0.08290184020868194,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.271162482,937572.270456811,4955,937572.263569551,-0.3256655691937416,1.12008011202755,-0.5317539438678384,0.17597424089615835,0.035915856298327754,0.09626724136945429,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.281159923,937572.280420334,4957,937572.273442202,-0.23834586274584743,1.0081953828177115,-0.6453792328151455,0.16673919156229666,0.038027577818034036,0.07527568216280352,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.291168357,937572.285631394,4959,937572.283145181,-0.4746646286385386,0.9594124854273685,-0.6225302022682414,0.1699275045905676,0.05131874080008247,0.0921451364690431,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.30116374,937572.300452973,4961,937572.293221077,-0.08360912814182808,1.3437094285148077,-0.2496398081551891,0.19166449363447446,0.015458847544877051,0.08638139033087691,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.311167012,937572.310547486,4963,937572.303932603,-0.3420522107883957,1.6496549868855286,-0.505572134919702,0.21534577273897212,0.03891441499123044,0.10741247389445462,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
937572.321157201,937572.321192023,4965,937572.31358065,-0.6261367329943139,1.2320410919538032,-0.6227283056103604,0.19350564553427876,0.060539602692369854,0.08940486875978282,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
