Log file created at: 2023/07/20 09:11:41
Running on machine: passoni
Running duration (h:mm:ss): 0:00:00
Log line format: [IWEF]yyyymmdd hh:mm:ss.uuuuuu threadid file:line] msg
[I20230720 09:11:42.156752  2604 FrameBufferManager.hpp:58] FrameBufferManager created! @N11libobsensor18FrameBufferManagerINS_10ColorFrameEEE, obj addr:94695585936320, frame obj total size:0.293365MB
[I20230720 09:11:42.156797  2604 FrameBufferManager.cpp:123] ColorFrame bufferManager created!
[I20230720 09:11:42.156836  2604 FrameProcessor.cpp:75]  FrameProcessor stoped!
[I20230720 09:11:42.156872  2604 FrameProcessor.cpp:66]  FrameProcessor started, 1 block contained!
[I20230720 09:11:42.156908  2604 VideoSensor.cpp:579] Profile: width=640, height=480, fps=60, format=OB_FORMAT_MJPG
[I20230720 09:11:42.156945  2604 ObUvcDevice.cpp:71] ObUvcDevice::startStream()...
[I20230720 09:11:42.156985  2604 ObUvcDevice.cpp:325] playProfile: infIndex= 0 selected_format.width= 640 height=480.format=5
[I20230720 09:11:42.608036  2604 ObUvcDevice.cpp:76] ObUvcDevice::startStream() done
[I20230720 09:11:42.608863  2604 VideoSensor.cpp:625] Stream starting! SensorType=OB_SENSOR_COLOR
[I20230720 09:11:42.608914  2604 Pipeline.cpp:237] Sensor start, sensorType=OB_SENSOR_COLOR streamType=OB_STREAM_COLOR
[I20230720 09:11:42.608953  2604 Pipeline.cpp:239] Start stream done!
[I20230720 09:11:42.608990  2604 Pipeline.cpp:222] Pipeline start() done!
[W20230720 09:11:42.709501  2604 Pipeline.cpp:316] waitForFrame timeout= 100
[W20230720 09:11:42.709549  2604 ApiImpl.cpp:1398] frameSet is nullptr
[I20230720 09:11:42.738366  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=0.293365MB, max limit=2048MB}
[I20230720 09:11:42.738421  2614 FrameBufferManager.hpp:58] FrameBufferManager created! @N11libobsensor18FrameBufferManagerINS_8FrameSetEEE, obj addr:139668242871104, frame obj total size:0.000159264MB
[I20230720 09:11:42.738430  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=0.293524MB, max limit=2048MB}
[I20230720 09:11:42.758572  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=0.586888MB, max limit=2048MB}
[I20230720 09:11:42.758759  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=0.587048MB, max limit=2048MB}
[I20230720 09:11:42.779243  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=0.880412MB, max limit=2048MB}
[I20230720 09:11:42.779379  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=0.880571MB, max limit=2048MB}
[I20230720 09:11:42.805635  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=1.17394MB, max limit=2048MB}
[I20230720 09:11:42.805788  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=1.1741MB, max limit=2048MB}
[I20230720 09:11:42.837680  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=1.46746MB, max limit=2048MB}
[I20230720 09:11:42.837899  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=1.46762MB, max limit=2048MB}
[I20230720 09:11:42.864706  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=1.76098MB, max limit=2048MB}
[I20230720 09:11:42.864909  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=1.76114MB, max limit=2048MB}
[I20230720 09:11:42.896600  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=2.05451MB, max limit=2048MB}
[I20230720 09:11:42.896771  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=2.05467MB, max limit=2048MB}
[I20230720 09:11:42.931598  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=2.34803MB, max limit=2048MB}
[I20230720 09:11:42.931747  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=2.34819MB, max limit=2048MB}
[I20230720 09:11:42.959579  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=2.64155MB, max limit=2048MB}
[I20230720 09:11:42.959774  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=2.64171MB, max limit=2048MB}
[I20230720 09:11:42.990617  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.293365MB, total usage: {allocated=2.93508MB, max limit=2048MB}
[I20230720 09:11:42.990824  2614 FrameBufferManager.cpp:33] New frame buffer allocated=0.000159264MB, total usage: {allocated=2.93524MB, max limit=2048MB}
[I20230720 09:11:55.620698  2604 Pipeline.cpp:350] Pipeline stop start!
[I20230720 09:11:55.628062  2604 Pipeline.cpp:322] Stop stream ...
[I20230720 09:11:55.628141  2604 VideoSensor.cpp:629] VideoSensor::stop, SensorType=OB_SENSOR_COLOR
[I20230720 09:11:55.628186  2604 ObUvcDevice.cpp:81] ObUvcDevice::stopStream()...
[I20230720 09:11:55.747851  2604 ObUvcDevice.cpp:85] ObUvcDevice::stopStream() done
[I20230720 09:11:55.748006  2604 VideoSensor.cpp:662] stream stoped! SensorType=OB_SENSOR_COLOR
[I20230720 09:11:55.748056  2604 FrameProcessor.cpp:75]  FrameProcessor stoped!
[I20230720 09:11:55.748100  2604 VideoSensor.cpp:671] VideoSensor::stop done, SensorType=OB_SENSOR_COLOR
[I20230720 09:11:55.748140  2604 Pipeline.cpp:335] Sensor stop, sensorType=OB_SENSOR_COLOR
[I20230720 09:11:55.748180  2604 Pipeline.cpp:341] Stop stream done!
[I20230720 09:11:55.748220  2604 FrameProcessingBlockManager.cpp:84]  FrameProcessingBlockManager stoped!
[I20230720 09:11:55.748260  2604 FrameProcessingBlockManager.cpp:20] Processing block list cleared!
[I20230720 09:11:55.748296  2604 Pipeline.cpp:379] Pipeline stop done!
[I20230720 09:11:55.754045  2604 Pipeline.cpp:71] Pipeline deInit start!
[I20230720 09:11:55.754197  2604 Pipeline.cpp:79] Pipeline deInit done!
[I20230720 09:11:55.754254  2604 OpenNIDevice.cpp:33] ~OpenNIDevice done
[I20230720 09:11:55.754297  2604 VideoSensor.cpp:287] VideoSensor::~VideoSensor(), SensorType=OB_SENSOR_COLOR
[I20230720 09:11:55.754345  2604 VendorCommand.cpp:195] destructor 0x562008b62e70
[I20230720 09:11:55.754384  2604 VendorCommand.cpp:439] disableHeartBeat heartBeatHelper_: 0
[I20230720 09:11:55.754421  2604 HostProtocol.cpp:143] ~HostProtocol()
[I20230720 09:11:55.754478  2608 HostProtocol.cpp:171] emitTranDataFutureSignalThread_ finish
[I20230720 09:11:55.754565  2604 ContextLibusb.cpp:56] UsbContext::stopEventHandler()
[I20230720 09:11:55.754778  2604 Context.cpp:55] Context destroying ...
[I20230720 09:11:55.754830  2604 DeviceManager.cpp:103] DeviceManager destroy ...
[I20230720 09:11:55.762425  2604 ContextLibusb.cpp:56] UsbContext::stopEventHandler()
[I20230720 09:11:55.762656  2604 DeviceManager.cpp:131] DeviceManager destroy done
[I20230720 09:11:55.762719  2604 DeviceManager.cpp:137] DeviceManager Destructors  done
[I20230720 09:11:55.762780  2604 FrameBufferManager.hpp:62] FrameBufferManager destroyed! @N11libobsensor18FrameBufferManagerINS_8FrameSetEEE,  obj addr:139668242871104
[I20230720 09:11:55.762845  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93508MB, max limit=2048MB}
[I20230720 09:11:55.762894  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93492MB, max limit=2048MB}
[I20230720 09:11:55.762936  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93476MB, max limit=2048MB}
[I20230720 09:11:55.762976  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.9346MB, max limit=2048MB}
[I20230720 09:11:55.763017  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93444MB, max limit=2048MB}
[I20230720 09:11:55.763058  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93428MB, max limit=2048MB}
[I20230720 09:11:55.766232  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93412MB, max limit=2048MB}
[I20230720 09:11:55.766310  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93396MB, max limit=2048MB}
[I20230720 09:11:55.766363  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.9338MB, max limit=2048MB}
[I20230720 09:11:55.766405  2604 FrameBufferManager.cpp:54] Frame buffer released=0.000159264MB, total usage: {allocated=2.93365MB, max limit=2048MB}
[I20230720 09:11:55.766453  2604 FrameBufferManager.hpp:62] FrameBufferManager destroyed! @N11libobsensor18FrameBufferManagerINS_10ColorFrameEEE,  obj addr:94695585936320
[I20230720 09:11:55.766501  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=2.64028MB, max limit=2048MB}
[I20230720 09:11:55.766558  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=2.34692MB, max limit=2048MB}
[I20230720 09:11:55.766609  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=2.05355MB, max limit=2048MB}
[I20230720 09:11:55.766650  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=1.76019MB, max limit=2048MB}
[I20230720 09:11:55.766691  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=1.46682MB, max limit=2048MB}
[I20230720 09:11:55.766733  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=1.17346MB, max limit=2048MB}
[I20230720 09:11:55.766773  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=0.880094MB, max limit=2048MB}
[I20230720 09:11:55.766849  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=0.586729MB, max limit=2048MB}
[I20230720 09:11:55.766901  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=0.293365MB, max limit=2048MB}
[I20230720 09:11:55.766943  2604 FrameBufferManager.cpp:54] Frame buffer released=0.293365MB, total usage: {allocated=0MB, max limit=2048MB}
