sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916253.699372283,916253.696549694,6111,1788821919.658102,0.014175691132323559,0.00124707199046783,-0.3000529526638095,0.039814050778919904,-0.003905359402862903,-0.005153332366538997,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.709356113,916253.706199296,6113,1788821919.6677573,0.21127262427557691,0.30576958587408204,-0.19397037089846703,0.06574894590635182,-0.022456837801744324,0.010454776908258825,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.719226096,916253.716613309,6115,1788821919.6781693,0.11919718762967249,0.20526632153452296,-0.19797188835342291,0.057352666401096514,-0.016158344038405586,-0.0012079117518541092,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.729348839,916253.726401314,6117,1788821919.6879582,0.1503817813085384,0.3435679668640933,-0.2156973501849307,0.06724616711159664,-0.013874078844744717,0.016082587008016316,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.739232171,916253.736417673,6119,1788821919.6979733,0.15837863535115532,0.22560592302147187,-0.2974832416781463,0.05212122072639415,-0.017546843654064045,-0.0016827115129002534,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.749231867,916253.746367332,6121,1788821919.7079225,0.25007645278254753,0.2715988925125002,-0.2960678089062908,0.05907923682934507,-0.0238351109261756,0.01047773920527427,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.759224423,916253.756188794,6123,1788821919.717745,0.21919760652179032,0.2833589645272728,-0.17045696037986377,0.061784503071937724,-0.022029540332587434,-8.022346378531997e-05,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.769234752,916253.766339534,6125,1788821919.727896,0.2073228242759038,0.3306904612033515,-0.2656317112700262,0.06689350953122511,-0.02027684129996541,0.01126328653402003,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.779230229,916253.776433427,6127,1788821919.737989,0.2418171025356487,0.27622782936481777,-0.26471949165188524,0.06148072732790841,-0.02199410690154055,0.005831775207718878,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.789227233,916253.786890347,6129,1788821919.7484474,0.16007149549519195,0.32417882751434635,-0.22895379179553585,0.06430207281383325,-0.01926116165367746,0.0070336159568430145,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.79925207,916253.796281289,6131,1788821919.7578385,0.13390983272543064,0.31715274503438223,-0.2147522115553272,0.06269026789900156,-0.016840477267957742,0.0033726357144159246,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.809231835,916253.80636094,6133,1788821919.7679174,0.11407423618206176,0.25229877925442806,-0.13636682077518275,0.06067847670625014,-0.0160805992854932,0.008608280177992679,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.819216094,916253.816445517,6135,1788821919.7780013,-0.04508965623044474,0.04934183820888402,-0.17120156927674546,0.04916071033033606,-0.003445535653098221,0.0027382362920891114,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.82921536,916253.826379971,6137,1788821919.7879379,0.08274363452122759,0.3320825123924716,-0.236135631451931,0.06284231760325949,-0.012796934917897853,0.013386680152895774,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916253.839216295,916253.836762604,6139,1788821919.7983153,0.04177630693554697,0.2630994318952722,-0.06620956306337494,0.06298361469675601,-0.012605165113607628,0.0007219514288522647,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
