t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,damping_passivity_z,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,fz_dot,fz_predicted,fz_error_predicted,vz_surface,vz_surface_raw,vz_surface_observed,vz_integral,vz_feedback,vz_unclamped,vz_achieved_tool,surface_confidence,passivity_scale,passivity_energy_j,contact_present,active_reference_reset,sensor_stale,safety_stop,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0013,move->d,none,0.0000,0.000000,0.075677,0.033406,-0.256302,1.696600,0.286827,0.306043,1.362963,0.000000,0.075643,0.033423,-0.256284,1.696600,0.286792,0.306043,1.362928,0.376844,-0.443770,0.295152,3.043302,-0.451419,3.051819,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0020,0.00000,0,0,0,0,0.038,1.269,0.506,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.000723,0.038,1.269,0.506,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,0,0.0002,1.0000,0.12761,0.00000,0.0000,0.00007,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0077,move->d,none,0.0001,0.000000,0.075677,0.033406,-0.256302,1.696599,0.286827,0.306043,1.362963,0.000000,0.075660,0.033388,-0.256284,1.696617,0.286827,0.306043,1.362928,0.376840,-0.443758,0.295160,3.043255,-0.451399,3.051851,0.00001,-0.00002,-0.00001,-0.00008,0.00005,-0.00002,0.00001,-0.00002,-0.00001,-0.00008,0.00005,-0.00002,-0.00062,0.00205,0.00126,0.00684,-0.00412,0.00204,0.014,0.0020,0.00000,0,0,0,0,0.050,1.278,0.512,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006429,0.001432,0.156,1.364,0.566,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000590,nan,nan,nan,0,0,0,0,0.0216,1.0000,0.12761,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0151,move->d,none,0.0003,0.000000,0.075677,0.033406,-0.256302,1.696599,0.286827,0.306043,1.362962,0.000000,0.075677,0.033388,-0.256337,1.696600,0.286792,0.306043,1.362928,0.376841,-0.443776,0.295165,3.043297,-0.451385,3.051803,0.00001,0.00001,-0.00003,-0.00000,0.00007,0.00003,0.00001,0.00001,-0.00003,-0.00000,0.00007,0.00003,0.00011,-0.00231,0.00073,-0.00486,-0.00138,-0.00366,0.015,0.0020,0.00000,0,0,0,0,0.064,1.294,0.519,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.007332,0.000783,0.116,1.367,0.542,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001013,nan,nan,nan,0,0,0,0,0.0461,1.0000,0.12761,0.00008,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0217,move->d,none,0.0007,0.000000,0.075678,0.033407,-0.256302,1.696600,0.286827,0.306044,1.362962,0.000000,0.075643,0.033388,-0.256302,1.696582,0.286827,0.306026,1.362928,0.376848,-0.443774,0.295175,3.043262,-0.451348,3.051808,-0.00001,0.00001,-0.00005,-0.00006,0.00015,0.00006,-0.00001,0.00001,-0.00005,-0.00006,0.00015,0.00006,0.00113,0.00043,0.00155,0.00442,-0.00623,-0.00159,0.024,0.0020,0.00000,0,0,0,0,0.070,1.300,0.522,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006638,0.001033,0.067,1.297,0.521,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001809,nan,nan,nan,0,0,0,0,0.0682,1.0000,0.12761,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0287,move->d,none,0.0011,0.000000,0.075678,0.033407,-0.256301,1.696600,0.286827,0.306044,1.362962,0.000000,0.075643,0.033388,-0.256302,1.696582,0.286827,0.306026,1.362928,0.376848,-0.443774,0.295175,3.043262,-0.451348,3.051808,-0.00001,0.00001,-0.00005,-0.00006,0.00015,0.00006,-0.00001,0.00001,-0.00005,-0.00006,0.00015,0.00006,0.00113,0.00043,0.00155,0.00442,-0.00623,-0.00159,0.024,0.0020,0.00000,0,0,0,0,0.072,1.303,0.523,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.007018,0.007995,0.067,1.297,0.521,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001809,nan,nan,nan,0,0,0,0,0.0916,1.0000,0.12761,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0351,move->d,none,0.0017,0.000000,0.075678,0.033407,-0.256301,1.696600,0.286827,0.306044,1.362962,0.000000,0.075643,0.033388,-0.256284,1.696617,0.286792,0.306026,1.362928,0.376841,-0.443771,0.295162,3.043296,-0.451386,3.051816,0.00001,0.00000,-0.00002,-0.00000,0.00007,0.00001,0.00001,0.00000,-0.00002,-0.00000,0.00007,0.00001,-0.00055,0.00022,-0.00106,-0.00209,0.00313,0.00175,0.010,0.0020,0.00000,0,0,0,0,0.068,1.303,0.525,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006373,0.001452,0.016,1.290,0.535,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001212,nan,nan,nan,0,0,0,0,0.1128,1.0000,0.12761,0.00009,0.0000,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0427,move->d,none,0.0024,0.000000,0.075678,0.033407,-0.256301,1.696599,0.286826,0.306045,1.362962,0.000000,0.075660,0.033475,-0.256302,1.696617,0.286827,0.305991,1.362928,0.376852,-0.443768,0.295135,3.043280,-0.451435,3.051808,-0.00002,-0.00000,0.00003,-0.00004,-0.00003,0.00004,-0.00002,-0.00000,0.00003,-0.00004,-0.00003,0.00004,0.00141,0.00030,-0.00331,0.00242,0.00606,-0.00189,0.019,0.0039,0.00000,0,0,0,0,0.080,1.309,0.533,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.007590,0.001111,0.184,1.347,0.582,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002407,nan,nan,nan,0,0,0,0,0.1381,1.0000,0.12761,0.00017,0.0001,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0499,move->d,none,0.0032,0.000000,0.075678,0.033407,-0.256301,1.696599,0.286826,0.306045,1.362962,0.000000,0.075608,0.033423,-0.256337,1.696600,0.286792,0.306043,1.362980,0.376840,-0.443798,0.295153,3.043251,-0.451419,3.051730,0.00001,0.00006,-0.00000,-0.00009,0.00001,0.00022,0.00001,0.00006,-0.00000,-0.00009,0.00001,0.00022,-0.00166,-0.00422,0.00246,0.00339,-0.00258,-0.01269,0.029,0.0040,0.00000,0,0,0,0,0.090,1.306,0.531,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.007233,0.001233,0.114,1.271,0.487,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002072,nan,nan,nan,0,0,0,0,0.1622,1.0000,0.12761,0.00016,0.0001,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0565,move->d,none,0.0041,0.000000,0.075678,0.033407,-0.256301,1.696599,0.286826,0.306045,1.362962,0.000000,0.075643,0.033406,-0.256284,1.696652,0.286792,0.306043,1.362963,0.376833,-0.443765,0.295140,3.043258,-0.451454,3.051822,0.00002,-0.00001,0.00003,-0.00008,-0.00006,0.00003,0.00002,-0.00001,0.00003,-0.00008,-0.00006,0.00003,-0.00117,0.00504,-0.00200,-0.00048,0.00544,0.01441,0.017,0.0030,0.00000,0,0,0,0,0.103,1.322,0.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006533,0.001202,0.179,1.475,0.571,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002980,nan,nan,nan,0,0,0,0,0.1840,1.0000,0.12761,0.00013,0.0001,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
0.0628,move->d,none,0.0052,0.000000,0.075678,0.033407,-0.256301,1.696599,0.286826,0.306045,1.362961,0.000000,0.075660,0.033406,-0.256284,1.696617,0.286792,0.306026,1.362963,0.376843,-0.443761,0.295155,3.043264,-0.451403,3.051832,0.00000,-0.00002,-0.00001,-0.00006,0.00004,0.00001,0.00000,-0.00002,-0.00001,-0.00006,0.00004,0.00001,0.00151,0.00058,0.00227,-0.00146,-0.00737,0.00189,0.009,0.0019,0.00000,0,0,0,0,0.114,1.332,0.540,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006324,0.000666,0.165,1.345,0.577,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002597,nan,nan,nan,0,0,0,0,0.2051,1.0000,0.12761,0.00010,0.0000,0.00001,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,0.000000,0.000000,1,0.000000
