t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w
0.0010,move->d,0.0050,0.255005,-0.019216,-0.230261,0.934240,1.340099,-0.219824,1.600920,0.885318,0.255005,-0.019234,-0.230314,0.934257,1.340064,-0.219824,1.600921,0.885283,0.243252,0.024765,0.234513,3.124739,0.525471,3.141111,0.00002,-0.00002,-0.00001,-0.00007,-0.00003,-0.00002,0.016,0.0030,0.00000,0,0,0,0,0.757,-0.220,0.045,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00014,0.0001,0.00009,0.0000,0.0000,0.000,0.00000,0.0000
0.0060,move->d,0.0100,0.255005,-0.019216,-0.230261,0.934240,1.340100,-0.219825,1.600920,0.885318,0.255005,-0.019234,-0.230314,0.934257,1.340064,-0.219824,1.600921,0.885283,0.243252,0.024765,0.234513,3.124739,0.525471,3.141111,0.00002,-0.00002,-0.00001,-0.00007,-0.00004,-0.00002,0.016,0.0030,0.00000,0,0,0,0,0.756,-0.219,0.045,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00014,0.0001,0.00009,0.0000,0.0000,0.000,0.00000,0.0000
0.0110,move->d,0.0150,0.255005,-0.019216,-0.230261,0.934240,1.340100,-0.219825,1.600920,0.885318,0.255005,-0.019234,-0.230314,0.934257,1.340064,-0.219824,1.600921,0.885283,0.243252,0.024765,0.234513,3.124739,0.525471,3.141111,0.00002,-0.00002,-0.00001,-0.00007,-0.00004,-0.00002,0.016,0.0030,0.00000,0,0,0,0,0.755,-0.217,0.047,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00015,0.0001,0.00009,0.0000,0.0000,0.000,0.00000,0.0000
0.0160,move->d,0.0200,0.255005,-0.019216,-0.230262,0.934240,1.340100,-0.219826,1.600919,0.885318,0.255005,-0.019216,-0.230261,0.934257,1.340099,-0.219807,1.600886,0.885283,0.243248,0.024775,0.234491,3.124731,0.525406,3.141137,0.00004,-0.00004,0.00003,-0.00007,-0.00017,-0.00008,0.030,0.0020,0.00000,0,0,0,0,0.753,-0.213,0.050,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00017,0.0001,0.00010,0.0000,0.0000,0.000,0.00000,0.0000
0.0210,move->d,0.0250,0.255005,-0.019216,-0.230262,0.934239,1.340101,-0.219826,1.600919,0.885318,0.255005,-0.019216,-0.230261,0.934240,1.340099,-0.219824,1.600886,0.885318,0.243255,0.024767,0.234495,3.124717,0.525419,3.141077,0.00002,-0.00002,0.00003,-0.00009,-0.00015,0.00002,0.019,0.0019,0.00000,0,0,0,0,0.751,-0.208,0.054,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00017,0.0001,0.00012,0.0000,0.0000,0.000,0.00000,0.0000
0.0260,move->d,0.0300,0.255005,-0.019216,-0.230263,0.934239,1.340101,-0.219826,1.600919,0.885317,0.255005,-0.019234,-0.230314,0.934240,1.340099,-0.219807,1.600868,0.885336,0.243257,0.024772,0.234507,3.124684,0.525468,3.141040,0.00003,-0.00002,0.00001,-0.00013,-0.00006,0.00006,0.019,0.0029,0.00000,0,0,0,0,0.751,-0.204,0.056,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00020,0.0001,0.00016,0.0000,0.0000,0.000,0.00000,0.0000
0.0310,move->d,0.0350,0.255005,-0.019217,-0.230263,0.934238,1.340101,-0.219827,1.600919,0.885316,0.255005,-0.019164,-0.230314,0.934257,1.340116,-0.219807,1.600921,0.885318,0.243230,0.024773,0.234494,3.124755,0.525425,3.141155,0.00009,-0.00002,0.00004,0.00000,-0.00016,-0.00010,0.040,0.0030,0.00000,0,0,0,0,0.752,-0.198,0.058,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00027,0.0002,0.00021,0.0000,0.0000,0.000,0.00000,0.0000
0.0360,move->d,0.0400,0.255005,-0.019216,-0.230263,0.934237,1.340101,-0.219827,1.600918,0.885315,0.255005,-0.019234,-0.230261,0.934257,1.340099,-0.219824,1.600886,0.885318,0.243255,0.024767,0.234494,3.124721,0.525419,3.141078,0.00005,-0.00000,0.00004,-0.00004,-0.00019,0.00002,0.019,0.0019,0.00000,0,0,0,0,0.753,-0.193,0.062,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00031,0.0003,0.00027,0.0000,0.0000,0.000,0.00000,0.0000
0.0410,move->d,0.0450,0.255005,-0.019216,-0.230264,0.934236,1.340102,-0.219827,1.600918,0.885314,0.255005,-0.019234,-0.230279,0.934275,1.340064,-0.219807,1.600868,0.885336,0.243256,0.024789,0.234508,3.124661,0.525455,3.141069,0.00006,-0.00004,0.00002,-0.00012,-0.00013,-0.00003,0.036,0.0029,0.00000,0,0,0,0,0.754,-0.188,0.065,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00042,0.0003,0.00034,0.0000,0.0000,0.000,0.00000,0.0000
0.0460,move->d,0.0500,0.255005,-0.019216,-0.230264,0.934234,1.340102,-0.219827,1.600917,0.885312,0.255005,-0.019234,-0.230261,0.934257,1.340116,-0.219807,1.600921,0.885336,0.243241,0.024757,0.234482,3.124743,0.525372,3.141064,0.00010,0.00003,0.00008,0.00004,-0.00031,0.00006,0.033,0.0013,0.00000,0,0,0,0,0.754,-0.184,0.068,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00051,0.0004,0.00042,0.0000,0.0000,0.001,0.00000,0.0000
0.0510,move->d,0.0550,0.255006,-0.019216,-0.230266,0.934233,1.340102,-0.219827,1.600916,0.885311,0.255005,-0.019234,-0.230226,0.934240,1.340116,-0.219824,1.600868,0.885283,0.243259,0.024764,0.234483,3.124738,0.525385,3.141104,0.00007,0.00003,0.00008,0.00006,-0.00031,-0.00003,0.026,0.0028,0.00000,0,0,0,0,0.754,-0.180,0.070,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00051,0.0005,0.00051,0.0000,0.0000,0.001,0.00000,0.0000
0.0560,move->d,0.0600,0.255006,-0.019215,-0.230267,0.934230,1.340102,-0.219827,1.600915,0.885310,0.255006,-0.019216,-0.230261,0.934275,1.340064,-0.219807,1.600886,0.885318,0.243249,0.024789,0.234502,3.124684,0.525426,3.141107,0.00011,-0.00001,0.00005,-0.00001,-0.00024,-0.00009,0.037,0.0024,0.00000,0,0,0,0,0.754,-0.177,0.070,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00069,0.0006,0.00061,0.0000,0.0000,0.001,0.00000,0.0000
0.0610,move->d,0.0650,0.255006,-0.019216,-0.230267,0.934227,1.340102,-0.219827,1.600913,0.885308,0.255006,-0.019234,-0.230314,0.934275,1.340116,-0.219807,1.600921,0.885283,0.243239,0.024762,0.234493,3.124779,0.525425,3.141145,0.00014,0.00005,0.00008,0.00019,-0.00027,-0.00008,0.030,0.0027,0.00000,0,0,0,0,0.755,-0.175,0.070,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00077,0.0008,0.00072,0.0000,0.0000,0.001,0.00000,0.0000
0.0660,move->d,0.0700,0.255007,-0.019215,-0.230268,0.934224,1.340103,-0.219827,1.600912,0.885305,0.255006,-0.019199,-0.230226,0.934275,1.340064,-0.219824,1.600886,0.885318,0.243250,0.024790,0.234496,3.124694,0.525405,3.141123,0.00014,0.00001,0.00008,0.00007,-0.00034,-0.00013,0.039,0.0027,0.00000,0,0,0,0,0.755,-0.173,0.069,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00094,0.0009,0.00084,0.0000,0.0000,0.001,0.00000,0.0000
0.0710,move->d,0.0750,0.255007,-0.019215,-0.230269,0.934220,1.340103,-0.219826,1.600910,0.885302,0.255007,-0.019234,-0.230314,0.934275,1.340099,-0.219807,1.600886,0.885318,0.243248,0.024777,0.234503,3.124716,0.525457,3.141099,0.00016,0.00005,0.00008,0.00015,-0.00026,-0.00006,0.028,0.0029,0.00000,0,0,0,0,0.755,-0.171,0.068,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00105,0.0010,0.00097,0.0000,0.0000,0.001,0.00000,0.0000
0.0760,move->d,0.0800,0.255008,-0.019215,-0.230271,0.934215,1.340103,-0.219825,1.600908,0.885299,0.255007,-0.019234,-0.230226,0.934275,1.340099,-0.219807,1.600886,0.885336,0.243247,0.024778,0.234482,3.124704,0.525370,3.141078,0.00018,0.00006,0.00013,0.00016,-0.00046,-0.00004,0.038,0.0031,0.00000,0,0,0,0,0.756,-0.168,0.068,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.13312,0.00124,0.0012,0.00111,0.0000,0.0000,0.001,0.00000,0.0000
