t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0011,move->d,0.0000,0.348675,-0.005672,-0.501957,-0.041486,1.559574,0.115000,1.050234,1.752974,0.348675,-0.005672,-0.501957,-0.041486,1.559574,0.115000,1.050234,1.752974,0.209484,-0.022186,0.390741,2.820200,-0.529196,-3.056284,0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000,0.0000,0.00000,0,0,0,0,-0.081,0.843,0.588,nan,nan,nan,nan,nan,nan,0,0.0002,1.0000,0.12711,0.00000,0.0000,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348676,0.000000,1,0.000000
0.0077,move->d,0.0001,0.348675,-0.005672,-0.501957,-0.041487,1.559574,0.114999,1.050234,1.752974,0.348676,-0.005620,-0.501957,-0.041486,1.559591,0.115017,1.050269,1.753026,0.209475,-0.022167,0.390732,2.820125,-0.529246,-3.056207,0.00002,-0.00004,0.00002,-0.00012,-0.00011,-0.00008,0.024,0.0030,0.00000,0,0,0,0,-0.081,0.843,0.588,nan,nan,nan,nan,nan,nan,0,0.0225,1.0000,0.12711,0.00014,0.0001,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348676,0.000000,1,0.000000
0.0137,move->d,0.0003,0.348675,-0.005672,-0.501956,-0.041487,1.559573,0.114999,1.050234,1.752973,0.348676,-0.005620,-0.501992,-0.041504,1.559626,0.114965,1.050234,1.753026,0.209474,-0.022183,0.390731,2.820169,-0.529217,-3.056273,0.00002,-0.00001,0.00002,-0.00005,-0.00005,0.00001,0.014,0.0030,0.00000,0,0,0,0,-0.081,0.843,0.587,nan,nan,nan,nan,nan,nan,0,0.0423,1.0000,0.12711,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348676,0.000000,1,0.000000
0.0196,move->d,0.0006,0.348675,-0.005673,-0.501956,-0.041487,1.559573,0.114999,1.050234,1.752973,0.348676,-0.005620,-0.502009,-0.041486,1.559591,0.115000,1.050234,1.752991,0.209473,-0.022174,0.390747,2.820186,-0.529162,-3.056232,0.00002,-0.00003,-0.00001,-0.00003,0.00007,-0.00009,0.017,0.0030,0.00000,0,0,0,0,-0.081,0.846,0.587,nan,nan,nan,nan,nan,nan,0,0.0621,1.0000,0.12711,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348676,0.000000,1,0.000000
0.0254,move->d,0.0010,0.348675,-0.005673,-0.501956,-0.041487,1.559573,0.114999,1.050234,1.752974,0.348676,-0.005620,-0.501992,-0.041504,1.559591,0.115000,1.050217,1.752991,0.209479,-0.022179,0.390746,2.820176,-0.529161,-3.056245,0.00001,-0.00002,-0.00001,-0.00005,0.00007,-0.00005,0.010,0.0030,0.00000,0,0,0,0,-0.080,0.848,0.586,nan,nan,nan,nan,nan,nan,0,0.0813,1.0000,0.12711,0.00011,0.0000,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348676,0.000000,1,0.000000
0.0311,move->d,0.0015,0.348675,-0.005673,-0.501955,-0.041487,1.559573,0.114999,1.050234,1.752974,0.348676,-0.005655,-0.501992,-0.041504,1.559574,0.114965,1.050217,1.752991,0.209482,-0.022194,0.390751,2.820213,-0.529148,-3.056316,0.00000,0.00002,-0.00002,0.00001,0.00010,0.00005,0.012,0.0021,0.00000,0,0,0,0,-0.079,0.850,0.586,nan,nan,nan,nan,nan,nan,0,0.1002,1.0000,0.12711,0.00008,0.0000,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348676,0.000000,1,0.000000
0.0373,move->d,0.0021,0.348675,-0.005673,-0.501955,-0.041487,1.559572,0.114999,1.050234,1.752973,0.348676,-0.005655,-0.501992,-0.041452,1.559626,0.115000,1.050234,1.752991,0.209473,-0.022172,0.390731,2.820198,-0.529215,-3.056242,0.00002,-0.00003,0.00002,-0.00000,-0.00004,-0.00008,0.021,0.0031,0.00000,0,0,0,0,-0.078,0.852,0.585,nan,nan,nan,nan,nan,nan,0,0.1209,1.0000,0.12711,0.00015,0.0001,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348643,0.000000,1,0.000000
0.0439,move->d,0.0029,0.348675,-0.005672,-0.501955,-0.041485,1.559572,0.114998,1.050234,1.752975,0.348643,-0.005672,-0.501957,-0.041521,1.559626,0.115000,1.050217,1.753026,0.209484,-0.022224,0.390728,2.820122,-0.529230,-3.056302,-0.00000,0.00007,0.00003,-0.00013,-0.00008,0.00012,0.039,0.0031,0.00000,0,0,0,0,-0.075,0.856,0.584,nan,nan,nan,nan,nan,nan,0,0.1432,1.0000,0.12711,0.00052,0.0002,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348643,0.000000,1,0.000000
0.0503,move->d,0.0037,0.348675,-0.005672,-0.501955,-0.041484,1.559572,0.114996,1.050234,1.752977,0.348643,-0.005620,-0.501992,-0.041504,1.559591,0.115000,1.050234,1.752991,0.209476,-0.022211,0.390744,2.820174,-0.529178,-3.056242,0.00002,0.00005,-0.00000,-0.00005,0.00003,-0.00006,0.026,0.0030,0.00000,0,0,0,0,-0.071,0.861,0.583,nan,nan,nan,nan,nan,nan,0,0.1642,1.0000,0.12711,0.00057,0.0002,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348643,0.000000,1,0.000000
0.0574,move->d,0.0046,0.348675,-0.005673,-0.501954,-0.041482,1.559571,0.114995,1.050234,1.752978,0.348643,-0.005620,-0.501992,-0.041452,1.559626,0.114965,1.050234,1.753026,0.209473,-0.022202,0.390731,2.820198,-0.529219,-3.056242,0.00002,0.00003,0.00002,0.00000,-0.00005,-0.00008,0.022,0.0031,0.00000,0,0,0,0,-0.068,0.865,0.582,nan,nan,nan,nan,nan,nan,0,0.1880,1.0000,0.12711,0.00043,0.0002,0.00000,0.0000,0.0000,0.000,0.05132,4.0000,0.348675,0.348643,0.000000,1,0.000000
