t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w
0.0012,move->d,0.0050,0.005000,-0.198112,0.098402,0.248744,0.559780,0.021398,1.450613,0.279776,-0.000001,-0.198112,0.098402,0.248744,0.559779,0.021398,1.450613,0.279776,0.479487,-0.373651,0.467689,2.648971,0.954860,2.648362,-0.00000,0.00002,-0.00003,-0.00006,0.00006,0.00007,0.018,0.0000,0.00000,0,0,0,1,0.240,-0.101,0.098,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.04762,0.00010,0.0000,0.00005,0.0000,1.0000,5.001,0.00000,0.0000
0.0061,move->d,0.0100,0.009993,-0.198221,0.098403,0.248670,0.559778,0.021560,1.450619,0.279669,0.005000,-0.198112,0.098384,0.248744,0.559797,0.021398,1.450630,0.279741,0.479479,-0.368649,0.467684,2.649037,0.954864,2.648435,0.00001,-0.00999,-0.00002,0.00001,0.00003,0.00003,4.993,0.0020,0.00000,0,0,1,0,0.240,-0.101,0.098,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.04762,0.04717,0.0500,0.00500,0.0000,0.9167,4.968,0.00000,0.0000
0.0111,move->d,0.0150,0.014979,-0.198439,0.098405,0.248523,0.559772,0.021883,1.450633,0.279456,0.009993,-0.198095,0.098349,0.248744,0.559849,0.021398,1.450613,0.279741,0.479473,-0.363646,0.467682,2.649051,0.954867,2.648464,0.00003,-0.01999,-0.00002,0.00002,0.00003,-0.00000,9.997,0.0093,0.00001,0,0,1,0,0.240,-0.101,0.096,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.04761,0.09428,0.0999,0.01000,0.0000,0.8334,4.936,0.00000,0.0000
0.0161,move->d,0.0200,0.019958,-0.198766,0.098406,0.248301,0.559764,0.022368,1.450653,0.279137,0.014979,-0.198095,0.098437,0.248692,0.559849,0.021380,1.450630,0.279724,0.479491,-0.358694,0.467634,2.649157,0.954784,2.648494,-0.00001,-0.02990,0.00008,0.00005,-0.00017,0.00011,14.948,0.0288,0.00001,0,0,1,0,0.240,-0.100,0.093,nan,nan,nan,nan,nan,nan,0,0.9975,0.9010,0.04761,0.14126,0.1498,0.01500,0.0000,0.7503,4.904,0.00000,0.0000
0.0211,move->d,0.0250,0.024929,-0.199202,0.098409,0.248006,0.559754,0.023014,1.450679,0.278712,0.019958,-0.198060,0.098437,0.248709,0.559779,0.021380,1.450665,0.279724,0.479485,-0.353692,0.467655,2.649124,0.954813,2.648519,0.00000,-0.03990,0.00004,0.00005,-0.00010,0.00001,19.951,0.0566,0.00001,0,0,1,0,0.241,-0.101,0.086,nan,nan,nan,nan,nan,nan,0,0.9926,0.8010,0.04761,0.18821,0.1996,0.02001,0.0000,0.6674,4.871,0.00000,0.0000
0.0261,move->d,0.0299,0.029892,-0.199745,0.098414,0.247638,0.559741,0.023820,1.450713,0.278181,0.024929,-0.198112,0.098402,0.248692,0.559797,0.021415,1.450665,0.279724,0.479478,-0.348739,0.467664,2.649092,0.954822,2.648452,0.00002,-0.04980,0.00002,0.00002,-0.00007,0.00009,24.904,0.0916,0.00002,0,0,1,0,0.242,-0.103,0.077,nan,nan,nan,nan,nan,nan,0,0.9853,0.7019,0.04760,0.23490,0.2493,0.02504,0.0000,0.5845,4.839,0.00000,0.0000
0.0311,move->d,0.0348,0.034848,-0.200397,0.098420,0.247197,0.559724,0.024787,1.450755,0.277545,0.029892,-0.198095,0.098402,0.248744,0.559814,0.021380,1.450630,0.279741,0.479483,-0.343756,0.467667,2.649078,0.954837,2.648472,0.00001,-0.05977,0.00001,0.00002,-0.00003,0.00003,29.886,0.1398,0.00002,0,0,1,0,0.243,-0.105,0.069,nan,nan,nan,nan,nan,nan,0,0.9758,0.6023,0.04759,0.28169,0.2989,0.03009,0.0000,0.5018,4.807,0.00000,0.0000
0.0361,move->d,0.0396,0.039796,-0.201157,0.098428,0.246682,0.559704,0.025913,1.450804,0.276803,0.034848,-0.198060,0.098402,0.248744,0.559814,0.021398,1.450613,0.279724,0.479485,-0.338777,0.467673,2.649068,0.954855,2.648521,0.00000,-0.06973,-0.00000,0.00003,0.00000,-0.00009,34.865,0.1942,0.00003,0,0,1,0,0.244,-0.106,0.062,nan,nan,nan,nan,nan,nan,0,0.9639,0.5027,0.04758,0.32825,0.3484,0.03519,0.0000,0.4192,4.774,0.00000,0.0000
0.0411,move->d,0.0443,0.044737,-0.202024,0.098437,0.246095,0.559679,0.027198,1.450862,0.275956,0.039796,-0.198112,0.098437,0.248709,0.559814,0.021380,1.450630,0.279724,0.479492,-0.333878,0.467651,2.649123,0.954813,2.648466,-0.00001,-0.07952,0.00004,0.00004,-0.00010,0.00011,39.765,0.2597,0.00003,0,0,1,0,0.244,-0.105,0.056,nan,nan,nan,nan,nan,nan,0,0.9500,0.4047,0.04757,0.37463,0.3979,0.04032,0.0000,0.3367,4.742,0.00000,0.0000
0.0461,move->d,0.0490,0.049671,-0.202998,0.098450,0.245434,0.559651,0.028642,1.450928,0.275005,0.044737,-0.198060,0.098437,0.248709,0.559779,0.021398,1.450613,0.279724,0.479495,-0.328905,0.467672,2.649060,0.954853,2.648479,-0.00002,-0.08947,0.00000,0.00002,0.00000,-0.00002,44.737,0.3323,0.00003,0,0,1,0,0.246,-0.104,0.051,nan,nan,nan,nan,nan,nan,0,0.9338,0.3053,0.04755,0.42095,0.4473,0.04551,0.0000,0.2544,4.710,0.00000,0.0000
