t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,force_reference_accel_m_s2,force_reference_reversal_reset,mass_z_eff,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0009,move->d,none,0.0000,0.482570,-0.145648,-0.694432,-0.039305,1.841776,0.166749,0.990544,1.375354,0.482570,-0.145648,-0.694432,-0.039305,1.841776,0.166749,0.990544,1.375354,0.172697,0.072239,0.339491,3.128900,-0.550682,-3.138107,0.00000,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,-0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,0,0.409,1.274,0.223,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005000,0.001589,0.409,1.274,0.223,0.000000,0,0.0002,1.0000,0.14174,0.00000,0.0000,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482570,-0.000000,1,-0.000000
0.0073,move->d,none,0.0001,0.482570,-0.145648,-0.694432,-0.039305,1.841776,0.166749,0.990545,1.375354,0.482570,-0.145665,-0.694432,-0.039322,1.841828,0.166749,0.990492,1.375372,0.172701,0.072233,0.339481,3.128866,-0.550680,-3.138137,-0.00001,0.00001,0.00002,-0.00006,0.00000,0.00010,-0.00001,0.00001,0.00002,-0.00006,0.00000,0.00010,0.00053,-0.00081,-0.00132,0.00397,-0.00018,-0.00643,0.012,0.0030,0.00000,0,0,0,0,0.408,1.273,0.222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.006404,0.000614,0.277,1.167,0.135,0.000840,0,0.0215,1.0000,0.14174,0.00016,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482570,-0.000000,1,-0.000000
0.0134,move->d,none,0.0003,0.482570,-0.145647,-0.694432,-0.039304,1.841775,0.166749,0.990545,1.375354,0.482570,-0.145665,-0.694432,-0.039322,1.841828,0.166749,0.990492,1.375372,0.172701,0.072233,0.339481,3.128866,-0.550680,-3.138137,-0.00001,0.00001,0.00002,-0.00006,0.00000,0.00010,-0.00001,0.00001,0.00002,-0.00006,0.00000,0.00010,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.012,0.0030,0.00000,0,0,0,0,0.404,1.271,0.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.006041,0.001193,0.347,1.286,0.234,0.000000,0,0.0417,1.0000,0.14174,0.00016,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482570,-0.000000,1,-0.000000
0.0191,move->d,none,0.0006,0.482570,-0.145647,-0.694432,-0.039304,1.841775,0.166749,0.990546,1.375354,0.482570,-0.145665,-0.694432,-0.039340,1.841794,0.166749,0.990509,1.375354,0.172701,0.072229,0.339491,3.128875,-0.550661,-3.138144,-0.00001,0.00002,0.00000,-0.00004,0.00004,0.00010,-0.00001,0.00002,0.00000,-0.00004,0.00004,0.00010,-0.00002,-0.00081,0.00155,-0.00134,-0.00313,-0.00035,0.012,0.0021,0.00000,0,0,0,0,0.400,1.270,0.219,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005752,0.000912,0.412,1.394,0.252,-0.001318,0,0.0608,1.0000,0.14174,0.00011,0.0000,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482570,-0.000000,1,-0.000000
0.0247,move->d,none,0.0010,0.482570,-0.145647,-0.694432,-0.039304,1.841775,0.166749,0.990546,1.375354,0.482570,-0.145665,-0.694432,-0.039340,1.841794,0.166749,0.990509,1.375354,0.172701,0.072229,0.339491,3.128875,-0.550661,-3.138144,-0.00001,0.00002,0.00000,-0.00004,0.00004,0.00010,-0.00001,0.00002,0.00000,-0.00004,0.00004,0.00010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.012,0.0021,0.00000,0,0,0,0,0.396,1.271,0.218,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005623,0.000631,0.361,1.310,0.220,0.000000,0,0.0796,1.0000,0.14174,0.00011,0.0000,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482570,-0.000000,1,-0.000000
0.0301,move->d,none,0.0015,0.482570,-0.145647,-0.694432,-0.039303,1.841774,0.166749,0.990546,1.375354,0.482570,-0.145630,-0.694379,-0.039340,1.841828,0.166714,0.990509,1.375354,0.172702,0.072227,0.339469,3.128895,-0.550754,-3.138133,-0.00001,0.00003,0.00004,-0.00001,-0.00014,0.00006,-0.00001,0.00003,0.00004,-0.00001,-0.00014,0.00006,0.00022,-0.00034,-0.00438,-0.00356,0.01865,0.00435,0.026,0.0031,0.00000,0,0,0,0,0.391,1.274,0.217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005395,0.001094,0.231,1.210,0.138,0.003616,0,0.0976,1.0000,0.14174,0.00018,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482567,-0.000000,1,-0.000000
0.0360,move->d,none,0.0021,0.482570,-0.145647,-0.694432,-0.039303,1.841774,0.166749,0.990546,1.375354,0.482567,-0.145665,-0.694432,-0.039322,1.841828,0.166749,0.990544,1.375372,0.172692,0.072233,0.339474,3.128859,-0.550732,-3.138124,0.00001,0.00001,0.00003,-0.00007,-0.00010,0.00008,0.00001,0.00001,0.00003,-0.00007,-0.00010,0.00008,-0.00192,0.00110,0.00088,0.00573,-0.00402,-0.00187,0.019,0.0031,0.00000,0,0,0,0,0.385,1.275,0.215,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005847,0.001521,0.346,1.331,0.217,0.000266,0,0.1171,1.0000,0.14174,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482567,-0.000000,1,-0.000000
0.0418,move->d,none,0.0028,0.482570,-0.145647,-0.694432,-0.039303,1.841774,0.166749,0.990547,1.375354,0.482567,-0.145595,-0.694414,-0.039305,1.841794,0.166766,0.990509,1.375354,0.172705,0.072248,0.339488,3.128880,-0.550679,-3.138043,-0.00001,-0.00002,0.00001,-0.00004,0.00001,-0.00011,-0.00001,-0.00002,0.00001,-0.00004,0.00001,-0.00011,0.00200,0.00237,0.00217,-0.00271,-0.00816,0.01432,0.012,0.0030,0.00000,0,0,0,0,0.378,1.277,0.213,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005788,0.000840,0.381,1.316,0.222,-0.002864,0,0.1364,1.0000,0.14174,0.00016,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482567,-0.000000,1,-0.000000
0.0470,move->d,none,0.0035,0.482570,-0.145647,-0.694432,-0.039303,1.841773,0.166749,0.990547,1.375355,0.482567,-0.145648,-0.694432,-0.039322,1.841794,0.166714,0.990492,1.375320,0.172704,0.072221,0.339492,3.128962,-0.550652,-3.138158,-0.00001,0.00004,-0.00000,0.00010,0.00006,0.00004,-0.00001,0.00004,-0.00000,0.00010,0.00006,0.00004,-0.00019,-0.00529,0.00082,-0.01343,-0.00521,-0.01383,0.020,0.0031,0.00000,0,0,0,0,0.371,1.279,0.212,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005254,0.000882,0.239,1.199,0.219,-0.000654,0,0.1539,1.0000,0.14174,0.00017,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482567,-0.000000,1,-0.000000
0.0530,move->d,none,0.0044,0.482570,-0.145647,-0.694432,-0.039302,1.841773,0.166749,0.990547,1.375355,0.482567,-0.145665,-0.694432,-0.039322,1.841846,0.166749,0.990509,1.375320,0.172696,0.072227,0.339473,3.128912,-0.550715,-3.138130,0.00000,0.00002,0.00004,0.00002,-0.00007,0.00003,0.00000,0.00002,0.00004,0.00002,-0.00007,0.00003,-0.00135,0.00130,-0.00357,0.00789,0.01170,0.00024,0.022,0.0042,0.00000,0,0,0,0,0.364,1.279,0.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005982,0.001526,0.343,1.257,0.128,0.003767,0,0.1738,1.0000,0.14174,0.00019,0.0001,0.00000,0.0000,0.0000,0.000,-0.07866,4.0000,0.482570,0.482348,-0.000000,1,-0.000000
