t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w
0.0009,move->d,0.0050,0.005000,-0.703228,-1.104793,0.224868,1.479656,0.695095,1.680229,0.228865,-0.000000,-0.703228,-1.104793,0.224868,1.479655,0.695095,1.680228,0.228865,0.239895,-0.236477,0.352941,2.644211,0.955759,2.641027,0.00000,-0.00000,-0.00003,0.00011,0.00014,0.00002,0.016,0.0000,0.00000,0,0,0,1,0.061,-0.069,0.106,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.14181,0.00013,0.0001,0.00007,0.0000,1.0000,5.000,0.00000,0.0000
0.0058,move->d,0.0100,0.009993,-0.703198,-1.104780,0.224796,1.479719,0.695061,1.680214,0.228774,0.005000,-0.703228,-1.104793,0.224868,1.479655,0.695095,1.680228,0.228865,0.239895,-0.231477,0.352941,2.644211,0.955759,2.641027,0.00000,-0.01001,-0.00003,0.00011,0.00014,0.00002,5.003,0.0000,0.00000,0,0,1,0,0.062,-0.069,0.106,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.14181,0.02871,0.0500,0.00500,0.0000,0.9167,4.968,0.00000,0.0000
0.0108,move->d,0.0150,0.014978,-0.703136,-1.104756,0.224653,1.479846,0.694993,1.680186,0.228592,0.009993,-0.703228,-1.104741,0.224816,1.479655,0.695147,1.680211,0.228848,0.239902,-0.226478,0.352957,2.644084,0.955733,2.640955,-0.00001,-0.02000,-0.00006,-0.00005,0.00016,-0.00004,10.001,0.0049,0.00000,0,0,1,0,0.065,-0.070,0.104,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.14181,0.05722,0.0999,0.00999,0.0000,0.8335,4.935,0.00000,0.0000
0.0158,move->d,0.0200,0.019955,-0.703045,-1.104719,0.224439,1.480035,0.694891,1.680143,0.228319,0.014978,-0.703228,-1.104741,0.224816,1.479655,0.695147,1.680211,0.228848,0.239902,-0.221493,0.352957,2.644084,0.955733,2.640955,-0.00001,-0.02997,-0.00006,-0.00005,0.00016,-0.00004,14.986,0.0147,0.00001,0,0,1,0,0.070,-0.072,0.101,nan,nan,nan,nan,nan,nan,0,0.9975,0.9003,0.14180,0.08577,0.1498,0.01498,0.0000,0.7504,4.903,0.00000,0.0000
0.0208,move->d,0.0250,0.024926,-0.702922,-1.104669,0.224153,1.480287,0.694755,1.680086,0.227955,0.019955,-0.703211,-1.104811,0.224833,1.479638,0.695077,1.680228,0.228865,0.239891,-0.216527,0.352956,2.644179,0.955802,2.640991,0.00001,-0.03990,-0.00006,0.00012,0.00023,0.00004,19.952,0.0313,0.00001,0,0,1,0,0.077,-0.074,0.098,nan,nan,nan,nan,nan,nan,0,0.9926,0.8010,0.14179,0.11427,0.1995,0.01997,0.0000,0.6674,4.870,0.00000,0.0000
0.0258,move->d,0.0299,0.029888,-0.702770,-1.104606,0.223796,1.480602,0.694586,1.680014,0.227501,0.024926,-0.703176,-1.104811,0.224833,1.479655,0.695095,1.680246,0.228848,0.239882,-0.211543,0.352945,2.644201,0.955776,2.641066,0.00003,-0.04987,-0.00004,0.00011,0.00017,-0.00007,24.936,0.0511,0.00001,0,0,1,0,0.084,-0.077,0.095,nan,nan,nan,nan,nan,nan,0,0.9853,0.7013,0.14177,0.14266,0.2492,0.02496,0.0000,0.5846,4.838,0.00000,0.0000
0.0308,move->d,0.0348,0.034843,-0.702587,-1.104532,0.223368,1.480978,0.694382,1.679928,0.226957,0.029888,-0.703211,-1.104741,0.224833,1.479655,0.695095,1.680228,0.228848,0.239897,-0.206595,0.352946,2.644162,0.955723,2.640998,-0.00000,-0.05977,-0.00004,0.00002,0.00010,0.00000,29.885,0.0771,0.00001,0,0,1,0,0.093,-0.079,0.092,nan,nan,nan,nan,nan,nan,0,0.9757,0.6023,0.14175,0.17106,0.2989,0.02996,0.0000,0.5019,4.806,0.00000,0.0000
0.0358,move->d,0.0396,0.039791,-0.702374,-1.104445,0.222869,1.481416,0.694145,1.679828,0.226323,0.034843,-0.703211,-1.104776,0.224816,1.479708,0.695095,1.680228,0.228848,0.239894,-0.201644,0.352936,2.644138,0.955709,2.640960,0.00001,-0.06967,-0.00002,-0.00001,0.00009,0.00004,34.835,0.1083,0.00001,0,0,1,0,0.101,-0.083,0.088,nan,nan,nan,nan,nan,nan,0,0.9639,0.5033,0.14173,0.19934,0.3484,0.03496,0.0000,0.4193,4.774,0.00000,0.0000
0.0408,move->d,0.0443,0.044731,-0.702130,-1.104345,0.222298,1.481916,0.693874,1.679714,0.225598,0.039791,-0.703211,-1.104741,0.224816,1.479655,0.695130,1.680228,0.228848,0.239896,-0.196682,0.352951,2.644111,0.955721,2.640980,0.00000,-0.07959,-0.00005,-0.00003,0.00012,-0.00005,39.798,0.1447,0.00001,0,0,1,0,0.108,-0.086,0.084,nan,nan,nan,nan,nan,nan,0,0.9499,0.4040,0.14170,0.22767,0.3979,0.03998,0.0000,0.3368,4.741,0.00000,0.0000
0.0458,move->d,0.0490,0.049664,-0.701857,-1.104233,0.221656,1.482478,0.693570,1.679585,0.224783,0.044731,-0.703211,-1.104776,0.224833,1.479638,0.695095,1.680246,0.228865,0.239890,-0.191747,0.352948,2.644171,0.955751,2.641001,0.00001,-0.08946,-0.00004,0.00006,0.00014,0.00001,44.732,0.1872,0.00001,0,0,1,0,0.114,-0.088,0.080,nan,nan,nan,nan,nan,nan,0,0.9338,0.3054,0.14167,0.25595,0.4472,0.04501,0.0000,0.2545,4.709,0.00000,0.0000
