t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w
0.0011,move->d,0.0050,0.005000,-0.000017,-0.523564,0.000000,1.570797,0.000000,1.570779,-0.000000,0.000020,-0.000017,-0.523564,0.000000,1.570796,0.000000,1.570779,0.000000,0.244471,-0.399986,0.237068,-3.141585,0.523581,3.141577,-0.00003,0.00001,-0.00003,-0.00002,0.00010,0.00007,0.021,0.0000,0.00000,0,0,0,1,-0.239,-0.013,0.019,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.12635,0.00009,0.0000,0.00005,0.0000,0.9997,4.981,0.00000,0.0000
0.0060,move->d,0.0100,0.009973,-0.000020,-0.523564,-0.000118,1.570797,0.000002,1.570779,-0.000121,0.005000,-0.000017,-0.523564,0.000000,1.570814,0.000000,1.570831,-0.000017,0.244450,-0.395005,0.237052,-3.141575,0.523512,-3.141588,0.00001,-0.00995,0.00001,0.00000,-0.00004,0.00003,4.976,0.0030,0.00000,0,0,1,0,-0.239,-0.013,0.018,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.12635,0.03406,0.0498,0.00498,0.0000,0.9167,4.948,0.00000,0.0000
0.0110,move->d,0.0150,0.014938,-0.000026,-0.523564,-0.000353,1.570797,0.000004,1.570779,-0.000361,0.009973,0.000017,-0.523581,0.000017,1.570796,0.000000,1.570814,-0.000017,0.244460,-0.390020,0.237066,-3.141565,0.523564,-3.141533,-0.00001,-0.01992,-0.00002,0.00002,0.00007,-0.00007,9.961,0.0077,0.00000,0,0,1,0,-0.239,-0.013,0.016,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.12635,0.06805,0.0995,0.00995,0.0000,0.8338,4.916,0.00000,0.0000
0.0160,move->d,0.0200,0.019896,-0.000035,-0.523563,-0.000706,1.570797,0.000009,1.570779,-0.000721,0.014938,0.000017,-0.523616,0.000000,1.570796,-0.000070,1.570831,-0.000035,0.244454,-0.385085,0.237071,-3.141495,0.523581,-3.141533,0.00000,-0.02979,-0.00003,0.00014,0.00010,0.00000,14.896,0.0202,0.00001,0,0,1,0,-0.240,-0.011,0.014,nan,nan,nan,nan,nan,nan,0,0.9976,0.9021,0.12635,0.10194,0.1492,0.01493,0.0000,0.7510,4.884,0.00000,0.0000
0.0210,move->d,0.0250,0.024847,-0.000046,-0.523563,-0.001177,1.570797,0.000015,1.570779,-0.001201,0.019896,0.000017,-0.523581,0.000017,1.570796,-0.000017,1.570814,-0.000017,0.244460,-0.380103,0.237066,-3.141547,0.523564,-3.141533,-0.00001,-0.03975,-0.00002,0.00005,0.00007,-0.00005,19.878,0.0415,0.00001,0,0,1,0,-0.242,-0.009,0.013,nan,nan,nan,nan,nan,nan,0,0.9927,0.8024,0.12635,0.13587,0.1988,0.01990,0.0000,0.6684,4.851,0.00000,0.0000
0.0260,move->d,0.0299,0.029790,-0.000060,-0.523562,-0.001764,1.570796,0.000022,1.570779,-0.001800,0.024847,0.000000,-0.523581,0.000017,1.570831,-0.000017,1.570779,0.000000,0.244463,-0.375157,0.237060,-3.141557,0.523564,-3.141570,-0.00001,-0.04965,-0.00001,0.00003,0.00007,0.00002,24.824,0.0688,0.00001,0,0,1,0,-0.243,-0.006,0.013,nan,nan,nan,nan,nan,nan,0,0.9854,0.7035,0.12635,0.16975,0.2483,0.02488,0.0000,0.5859,4.819,0.00000,0.0000
0.0310,move->d,0.0348,0.034725,-0.000077,-0.523561,-0.002468,1.570795,0.000031,1.570779,-0.002519,0.029790,0.000017,-0.523564,0.000000,1.570831,-0.000017,1.570814,0.000000,0.244452,-0.370213,0.237049,-3.141567,0.523512,-3.141573,0.00001,-0.05953,0.00001,0.00001,-0.00004,0.00001,29.768,0.1032,0.00001,0,0,1,0,-0.244,-0.004,0.013,nan,nan,nan,nan,nan,nan,0,0.9759,0.6046,0.12635,0.20349,0.2977,0.02987,0.0000,0.5035,4.787,0.00000,0.0000
0.0360,move->d,0.0396,0.039653,-0.000097,-0.523558,-0.003289,1.570793,0.000041,1.570779,-0.003357,0.034725,0.000017,-0.523616,-0.000017,1.570796,-0.000017,1.570831,-0.000017,0.244454,-0.365282,0.237071,-3.141567,0.523581,-3.141573,0.00001,-0.06939,-0.00003,0.00001,0.00010,0.00001,34.700,0.1433,0.00001,0,0,1,0,-0.245,-0.002,0.014,nan,nan,nan,nan,nan,nan,0,0.9642,0.5060,0.12635,0.23718,0.3470,0.03488,0.0000,0.4212,4.755,0.00000,0.0000
0.0410,move->d,0.0443,0.044574,-0.000119,-0.523556,-0.004226,1.570791,0.000052,1.570779,-0.004314,0.039653,-0.000017,-0.523564,-0.000017,1.570796,-0.000017,1.570779,0.000000,0.244471,-0.360362,0.237068,-3.141577,0.523581,3.141557,-0.00003,-0.07923,-0.00002,-0.00000,0.00010,0.00011,39.619,0.1924,0.00002,0,0,1,0,-0.246,0.000,0.014,nan,nan,nan,nan,nan,nan,0,0.9503,0.4076,0.12635,0.27090,0.3963,0.03990,0.0000,0.3391,4.723,0.00000,0.0000
0.0460,move->d,0.0490,0.049487,-0.000145,-0.523552,-0.005280,1.570787,0.000065,1.570780,-0.005390,0.044574,0.000000,-0.523581,-0.000035,1.570796,0.000000,1.570779,-0.000017,0.244471,-0.355434,0.237073,3.141590,0.523599,3.141575,-0.00003,-0.08909,-0.00003,-0.00003,0.00013,0.00006,44.547,0.2462,0.00002,0,0,1,0,-0.248,0.002,0.015,nan,nan,nan,nan,nan,nan,0,0.9342,0.3091,0.12635,0.30449,0.4455,0.04495,0.0000,0.2571,4.690,0.00000,0.0000
