t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0016,move->d,0.0000,0.365644,0.078749,-0.283354,-0.084980,1.154308,0.070546,1.234471,1.792540,0.365644,0.078749,-0.283354,-0.084980,1.154308,0.070546,1.234471,1.792540,0.238740,-0.005765,0.443610,2.829692,-0.531511,-3.053165,-0.00000,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.000,0.0000,0.00000,0,0,0,0,-0.002,0.780,0.555,nan,nan,nan,nan,nan,nan,0,0.0003,1.0000,0.09970,0.00000,0.0000,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0081,move->d,0.0001,0.365644,0.078749,-0.283354,-0.084980,1.154308,0.070546,1.234472,1.792541,0.365644,0.078749,-0.283354,-0.084980,1.154361,0.070581,1.234436,1.792488,0.238743,-0.005760,0.443599,2.829710,-0.531525,-3.053127,-0.00001,-0.00001,0.00002,0.00003,-0.00003,-0.00010,0.012,0.0030,0.00000,0,0,0,0,-0.002,0.781,0.555,nan,nan,nan,nan,nan,nan,0,0.0219,1.0000,0.09970,0.00017,0.0001,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0147,move->d,0.0003,0.365644,0.078749,-0.283355,-0.084980,1.154308,0.070546,1.234472,1.792541,0.365644,0.078732,-0.283319,-0.084980,1.154343,0.070546,1.234436,1.792540,0.238752,-0.005768,0.443596,2.829690,-0.531546,-3.053183,-0.00002,0.00001,0.00003,0.00000,-0.00007,0.00004,0.019,0.0020,0.00000,0,0,0,0,-0.003,0.784,0.555,nan,nan,nan,nan,nan,nan,0,0.0441,1.0000,0.09970,0.00012,0.0000,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0217,move->d,0.0007,0.365644,0.078749,-0.283355,-0.084980,1.154308,0.070546,1.234472,1.792541,0.365644,0.078697,-0.283319,-0.084928,1.154256,0.070599,1.234471,1.792523,0.238748,-0.005751,0.443619,2.829686,-0.531489,-3.053122,-0.00002,-0.00003,-0.00002,-0.00002,0.00004,-0.00008,0.018,0.0030,0.00000,0,0,0,0,-0.004,0.787,0.556,nan,nan,nan,nan,nan,nan,0,0.0674,1.0000,0.09970,0.00014,0.0001,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0277,move->d,0.0011,0.365644,0.078749,-0.283355,-0.084981,1.154308,0.070546,1.234472,1.792541,0.365644,0.078749,-0.283354,-0.084928,1.154361,0.070599,1.234471,1.792523,0.238735,-0.005738,0.443595,2.829675,-0.531559,-3.053062,0.00001,-0.00005,0.00003,-0.00002,-0.00010,-0.00019,0.031,0.0030,0.00000,0,0,0,0,-0.007,0.791,0.556,nan,nan,nan,nan,nan,nan,0,0.0874,1.0000,0.09970,0.00016,0.0001,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0345,move->d,0.0017,0.365644,0.078749,-0.283355,-0.084981,1.154307,0.070545,1.234472,1.792541,0.365644,0.078732,-0.283302,-0.084963,1.154343,0.070599,1.234471,1.792540,0.238748,-0.005750,0.443588,2.829647,-0.531593,-3.053108,-0.00002,-0.00003,0.00004,-0.00006,-0.00017,-0.00007,0.027,0.0030,0.00000,0,0,0,0,-0.010,0.795,0.557,nan,nan,nan,nan,nan,nan,0,0.1100,1.0000,0.09970,0.00015,0.0001,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0405,move->d,0.0023,0.365644,0.078748,-0.283356,-0.084981,1.154307,0.070545,1.234472,1.792541,0.365644,0.078802,-0.283319,-0.084963,1.154343,0.070599,1.234471,1.792523,0.238742,-0.005735,0.443592,2.829665,-0.531576,-3.053039,-0.00000,-0.00006,0.00004,-0.00004,-0.00013,-0.00022,0.034,0.0031,0.00000,0,0,0,0,-0.014,0.798,0.557,nan,nan,nan,nan,nan,nan,0,0.1300,1.0000,0.09970,0.00019,0.0001,0.00000,0.0000,0.0000,0.000,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0470,move->d,0.0031,0.365644,0.078748,-0.283359,-0.084980,1.154313,0.070544,1.234464,1.792541,0.365644,0.078697,-0.283040,-0.085050,1.153715,0.070668,1.235309,1.792540,0.238680,-0.005765,0.443596,2.829577,-0.532058,-3.053096,0.00012,0.00000,0.00003,-0.00010,-0.00111,-0.00002,0.062,0.0480,0.00000,0,0,0,0,-0.012,0.799,0.564,nan,nan,nan,nan,nan,nan,0,0.1517,1.0000,0.09970,0.00216,0.0011,0.00000,0.0000,0.0000,0.001,0.03436,3.7215,0.365644,0.365644,0.000000,1,0.000000
0.0541,move->d,0.0039,0.365644,0.078748,-0.283373,-0.084978,1.154341,0.070543,1.234448,1.792541,0.365644,0.078749,-0.281906,-0.085102,1.151481,0.070668,1.236095,1.792523,0.238865,-0.005764,0.443898,2.829759,-0.531750,-3.053170,-0.00025,-0.00000,-0.00058,0.00016,-0.00047,-0.00006,0.314,0.1623,0.00000,0,0,0,0,0.009,0.799,0.589,nan,nan,nan,nan,nan,nan,0,0.1755,1.0000,0.09970,0.00712,0.0036,0.00000,0.0000,0.0000,0.003,0.03436,3.7215,0.365644,0.365655,0.000000,1,0.000000
0.0616,move->d,0.0049,0.365644,0.078747,-0.283390,-0.084978,1.154388,0.070545,1.234435,1.792540,0.365655,0.078662,-0.281626,-0.085050,1.149596,0.070459,1.235763,1.792523,0.239068,-0.005819,0.444457,2.830174,-0.529840,-3.053622,-0.00066,0.00011,-0.00170,0.00053,0.00340,0.00043,0.910,0.2719,0.00000,0,0,0,0,0.049,0.801,0.622,nan,nan,nan,nan,nan,nan,0,0.2004,1.0000,0.09970,0.01033,0.0060,0.00001,0.0000,0.0000,0.009,0.03436,3.7215,0.365644,0.365655,0.000000,1,0.000000
