t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,force_reference_accel_m_s2,force_reference_reversal_reset,mass_z_eff,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0011,move->d,none,0.0000,0.000000,-0.330775,-0.015324,0.084003,1.407538,0.371336,0.757037,1.333938,-0.000000,-0.330775,-0.015324,0.084003,1.407538,0.371336,0.757037,1.333938,0.347939,-0.427541,0.354906,2.954648,-0.524792,-3.097070,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,1,0.336,1.412,0.203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005000,0.001815,0.336,1.412,0.203,0.000000,0,0.0002,1.0000,0.11018,0.00000,0.0000,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0068,move->d,none,0.0001,0.000000,-0.330775,-0.015324,0.084003,1.407537,0.371336,0.757037,1.333938,-0.000000,-0.330740,-0.015324,0.084003,1.407643,0.371354,0.757037,1.333903,0.347926,-0.427525,0.354870,2.954629,-0.524887,-3.097005,0.00003,-0.00003,0.00007,-0.00002,-0.00019,-0.00011,0.00003,-0.00003,0.00007,-0.00002,-0.00019,-0.00011,-0.00200,0.00255,-0.00557,0.00188,0.01489,0.00859,0.041,0.0060,0.00000,0,0,0,0,0.336,1.412,0.203,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005729,0.001157,0.375,1.442,0.284,0.006151,0,0.0193,1.0000,0.11018,0.00023,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0124,move->d,none,0.0003,0.000000,-0.330775,-0.015324,0.084002,1.407537,0.371336,0.757037,1.333938,-0.000000,-0.330757,-0.015307,0.084003,1.407608,0.371354,0.757037,1.333903,0.347933,-0.427533,0.354876,2.954634,-0.524870,-3.097025,0.00001,-0.00002,0.00006,-0.00002,-0.00016,-0.00008,0.00001,-0.00002,0.00006,-0.00002,-0.00016,-0.00008,0.00113,-0.00145,0.00114,-0.00052,-0.00317,-0.00318,0.032,0.0041,0.00000,0,0,0,0,0.337,1.413,0.205,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005551,0.001255,0.346,1.421,0.239,-0.001773,0,0.0378,1.0000,0.11018,0.00017,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0184,move->d,none,0.0006,0.000000,-0.330775,-0.015324,0.084002,1.407536,0.371336,0.757037,1.333939,-0.000000,-0.330705,-0.015376,0.083985,1.407591,0.371336,0.757037,1.333903,0.347928,-0.427522,0.354905,2.954688,-0.524793,-3.097020,0.00002,-0.00004,0.00000,0.00007,0.00000,-0.00014,0.00002,-0.00004,0.00000,0.00007,0.00000,-0.00014,-0.00079,0.00172,0.00464,-0.00701,-0.01274,0.00514,0.022,0.0040,0.00000,0,0,0,0,0.337,1.412,0.208,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.006008,0.001062,0.224,1.201,0.150,-0.003267,0,0.0578,1.0000,0.11018,0.00018,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0240,move->d,none,0.0010,0.000000,-0.330775,-0.015323,0.084002,1.407536,0.371336,0.757037,1.333939,-0.000000,-0.330757,-0.015359,0.083985,1.407591,0.371336,0.757037,1.333903,0.347928,-0.427541,0.354899,2.954680,-0.524809,-3.097069,0.00002,-0.00000,0.00001,0.00006,-0.00003,-0.00003,0.00002,-0.00000,0.00001,0.00006,-0.00003,-0.00003,0.00008,-0.00341,-0.00107,0.00102,0.00299,-0.00947,0.013,0.0031,0.00000,0,0,0,0,0.336,1.408,0.209,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005647,0.001183,0.343,1.387,0.215,0.000308,0,0.0766,1.0000,0.11018,0.00014,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0298,move->d,none,0.0014,0.000000,-0.330775,-0.015324,0.084002,1.407535,0.371336,0.757037,1.333939,-0.000000,-0.330740,-0.015289,0.084003,1.407591,0.371336,0.757037,1.333938,0.347937,-0.427529,0.354876,2.954616,-0.524874,-3.097019,0.00000,-0.00003,0.00006,-0.00005,-0.00017,-0.00007,0.00000,-0.00003,0.00006,-0.00005,-0.00017,-0.00007,0.00148,0.00211,-0.00396,0.00899,0.01153,0.00298,0.033,0.0032,0.00000,0,0,0,0,0.334,1.403,0.210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005736,0.001074,0.371,1.441,0.258,0.002973,0,0.0958,1.0000,0.11018,0.00013,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0357,move->d,none,0.0020,0.000000,-0.330775,-0.015324,0.084002,1.407534,0.371336,0.757036,1.333940,-0.000000,-0.330757,-0.015324,0.083985,1.407608,0.371336,0.757089,1.333885,0.347920,-0.427539,0.354874,2.954665,-0.524906,-3.097034,0.00004,-0.00001,0.00006,0.00004,-0.00023,-0.00009,0.00004,-0.00001,0.00006,0.00004,-0.00023,-0.00009,-0.00272,-0.00167,-0.00033,-0.00721,0.00497,0.00165,0.037,0.0042,0.00000,0,0,0,0,0.333,1.399,0.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005889,0.000938,0.231,1.244,0.135,0.001371,0,0.1154,1.0000,0.11018,0.00020,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0415,move->d,none,0.0027,0.000000,-0.330776,-0.015324,0.084002,1.407533,0.371336,0.757036,1.333940,-0.000000,-0.330757,-0.015324,0.084020,1.407643,0.371354,0.757037,1.333903,0.347926,-0.427525,0.354870,2.954630,-0.524887,-3.097005,0.00003,-0.00003,0.00007,-0.00002,-0.00019,-0.00011,0.00003,-0.00003,0.00007,-0.00002,-0.00019,-0.00011,0.00104,0.00241,-0.00067,0.00541,-0.00307,0.00184,0.042,0.0062,0.00000,0,0,0,0,0.330,1.394,0.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005845,0.001023,0.322,1.485,0.247,0.000450,0,0.1349,1.0000,0.11018,0.00023,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0471,move->d,none,0.0035,0.000000,-0.330776,-0.015324,0.084002,1.407533,0.371336,0.757036,1.333940,-0.000000,-0.330775,-0.015324,0.084020,1.407608,0.371336,0.757054,1.333955,0.347927,-0.427530,0.354879,2.954604,-0.524875,-3.097033,0.00002,-0.00002,0.00005,-0.00007,-0.00017,-0.00003,0.00002,-0.00002,0.00005,-0.00007,-0.00017,-0.00003,0.00015,-0.00090,0.00166,0.00403,-0.00204,-0.00713,0.031,0.0043,0.00000,0,0,0,0,0.328,1.391,0.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005551,0.000893,0.360,1.417,0.210,-0.001635,0,0.1534,1.0000,0.11018,0.00015,0.0001,0.00000,0.0000,1.0000,0.000,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0526,move->d,none,0.0043,0.000000,-0.330776,-0.015324,0.084002,1.407531,0.371336,0.757035,1.333940,-0.000000,-0.330757,-0.015307,0.084003,1.407643,0.371336,0.757089,1.333903,0.347918,-0.427531,0.354856,2.954629,-0.524956,-3.097007,0.00004,-0.00002,0.00010,-0.00002,-0.00033,-0.00011,0.00004,-0.00002,0.00010,-0.00002,-0.00033,-0.00011,-0.00158,-0.00012,-0.00406,-0.00434,0.01391,0.00669,0.055,0.0063,0.00000,0,0,0,0,0.326,1.389,0.211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0.005510,0.000644,0.278,1.296,0.200,0.004220,0,0.1717,1.0000,0.11018,0.00025,0.0001,0.00000,0.0000,1.0000,0.001,0.40391,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
