t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,damping_passivity_z,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,fz_dot,fz_predicted,fz_error_predicted,vz_surface,vz_surface_raw,vz_surface_observed,vz_integral,vz_feedback,vz_unclamped,vz_achieved_tool,surface_confidence,passivity_scale,passivity_energy_j,contact_present,active_reference_reset,sensor_stale,safety_stop,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0014,move->d,none,0.0000,0.463581,-0.016720,-0.592487,-0.000838,1.690316,0.019094,1.022937,1.562227,0.463581,-0.016720,-0.592487,-0.000838,1.690316,0.019094,1.022937,1.562227,0.190781,0.063916,0.364741,3.129684,-0.549799,-3.139611,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,0,0.107,0.952,0.353,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.002494,0.107,0.952,0.353,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,0,0.0004,1.0000,0.13483,0.00000,0.0000,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0106,move->d,none,0.0002,0.463581,-0.016720,-0.592487,-0.000838,1.690317,0.019094,1.022937,1.562227,0.463581,-0.016720,-0.592522,-0.000803,1.690299,0.019076,1.022972,1.562227,0.190772,0.063920,0.364748,3.129726,-0.549783,-3.139611,0.00002,-0.00001,-0.00001,0.00007,0.00003,-0.00004,0.00002,-0.00001,-0.00001,0.00007,0.00003,-0.00004,-0.00095,0.00042,0.00074,-0.00365,-0.00173,0.00222,0.012,0.0020,0.00000,0,0,0,0,0.098,0.944,0.351,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.009106,0.001858,0.052,0.906,0.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000134,nan,nan,nan,0,0,0,0,0.0307,1.0000,0.13483,0.00013,0.0000,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0168,move->d,none,0.0004,0.463581,-0.016720,-0.592486,-0.000838,1.690317,0.019094,1.022937,1.562227,0.463581,-0.016720,-0.592539,-0.000838,1.690299,0.019094,1.022972,1.562227,0.190770,0.063916,0.364752,3.129685,-0.549765,-3.139611,0.00002,-0.00000,-0.00002,0.00000,0.00007,-0.00000,0.00002,-0.00000,-0.00002,0.00000,0.00007,-0.00000,-0.00031,-0.00056,0.00049,0.00497,-0.00258,-0.00300,0.016,0.0030,0.00000,0,0,0,0,0.094,0.953,0.357,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006228,0.001083,0.084,1.071,0.426,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000266,nan,nan,nan,0,0,0,0,0.0515,1.0000,0.13483,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0228,move->d,none,0.0008,0.463581,-0.016720,-0.592486,-0.000838,1.690317,0.019094,1.022937,1.562227,0.463581,-0.016720,-0.592522,-0.000838,1.690316,0.019076,1.022937,1.562227,0.190777,0.063912,0.364748,3.129703,-0.549765,-3.139629,0.00001,0.00001,-0.00001,0.00003,0.00007,0.00002,0.00001,0.00001,-0.00001,0.00003,0.00007,0.00002,0.00119,-0.00071,-0.00069,-0.00258,0.00005,-0.00145,0.009,0.0021,0.00000,0,0,0,0,0.096,0.967,0.362,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006014,0.001198,0.141,1.061,0.377,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000037,nan,nan,nan,0,0,0,0,0.0715,1.0000,0.13483,0.00008,0.0000,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0287,move->d,none,0.0012,0.463581,-0.016720,-0.592485,-0.000838,1.690317,0.019094,1.022937,1.562227,0.463581,-0.016720,-0.592539,-0.000803,1.690316,0.019094,1.022937,1.562227,0.190775,0.063924,0.364751,3.129708,-0.549747,-3.139595,0.00001,-0.00002,-0.00002,0.00004,0.00010,-0.00006,0.00001,-0.00002,-0.00002,0.00004,0.00010,-0.00006,-0.00035,0.00199,0.00055,-0.00070,-0.00288,0.00612,0.014,0.0031,0.00000,0,0,0,0,0.098,0.973,0.366,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005934,0.001114,0.102,0.956,0.384,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000266,nan,nan,nan,0,0,0,0,0.0913,1.0000,0.13483,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0346,move->d,none,0.0018,0.463581,-0.016720,-0.592485,-0.000838,1.690317,0.019095,1.022937,1.562227,0.463581,-0.016755,-0.592539,-0.000855,1.690316,0.019042,1.022937,1.562209,0.190775,0.063892,0.364751,3.129746,-0.549748,-3.139708,0.00001,0.00005,-0.00002,0.00011,0.00010,0.00013,0.00001,0.00005,-0.00002,0.00011,0.00010,0.00013,-0.00003,-0.00538,-0.00002,-0.00542,0.00005,-0.01564,0.027,0.0031,0.00000,0,0,0,0,0.096,0.973,0.368,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005901,0.001048,0.064,0.945,0.363,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000031,nan,nan,nan,0,0,0,0,0.1110,1.0000,0.13483,0.00018,0.0001,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0401,move->d,none,0.0024,0.463581,-0.016720,-0.592485,-0.000838,1.690317,0.019095,1.022937,1.562227,0.463581,-0.016703,-0.592487,-0.000855,1.690264,0.019042,1.022937,1.562227,0.190786,0.063903,0.364758,3.129729,-0.549748,-3.139655,-0.00001,0.00003,-0.00003,0.00008,0.00010,0.00004,-0.00001,0.00003,-0.00003,0.00008,0.00010,0.00004,0.00187,0.00188,0.00126,0.00250,0.00002,0.00728,0.022,0.0031,0.00000,0,0,0,0,0.098,0.981,0.374,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005502,0.000630,0.138,1.075,0.433,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.002031,nan,nan,nan,0,0,0,0,0.1293,1.0000,0.13483,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0460,move->d,none,0.0032,0.463581,-0.016720,-0.592484,-0.000838,1.690318,0.019095,1.022937,1.562227,0.463581,-0.016703,-0.592522,-0.000838,1.690299,0.019076,1.022937,1.562227,0.190778,0.063915,0.364753,3.129704,-0.549747,-3.139612,0.00001,0.00000,-0.00002,0.00003,0.00010,-0.00002,0.00001,0.00000,-0.00002,0.00003,0.00010,-0.00002,-0.00137,0.00227,-0.00091,0.00398,-0.00008,0.00567,0.013,0.0021,0.00000,0,0,0,0,0.107,0.992,0.383,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005835,0.001097,0.195,1.055,0.440,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001517,nan,nan,nan,0,0,0,0,0.1488,1.0000,0.13483,0.00008,0.0000,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0529,move->d,none,0.0040,0.463581,-0.016720,-0.592484,-0.000838,1.690318,0.019095,1.022936,1.562227,0.463581,-0.016668,-0.592522,-0.000838,1.690316,0.019076,1.022972,1.562227,0.190771,0.063922,0.364742,3.129703,-0.549800,-3.139576,0.00002,-0.00001,-0.00000,0.00003,-0.00000,-0.00009,0.00002,-0.00001,-0.00000,0.00003,-0.00000,-0.00009,-0.00119,0.00102,-0.00163,0.00009,0.00781,0.00530,0.013,0.0030,0.00000,0,0,0,0,0.107,0.991,0.386,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006955,0.001363,0.057,0.936,0.367,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002025,nan,nan,nan,0,0,0,0,0.1720,1.0000,0.13483,0.00013,0.0000,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463581,-0.000000,1,-0.000000
0.0590,move->d,none,0.0050,0.463581,-0.016720,-0.592483,-0.000838,1.690317,0.019095,1.022936,1.562228,0.463581,-0.016668,-0.592539,-0.000855,1.690369,0.019094,1.022937,1.562227,0.190770,0.063922,0.364734,3.129673,-0.549799,-3.139567,0.00002,-0.00001,0.00002,-0.00002,0.00000,-0.00008,0.00002,-0.00001,0.00002,-0.00002,0.00000,-0.00008,-0.00006,0.00000,-0.00148,0.00423,-0.00007,-0.00118,0.015,0.0032,0.00000,0,0,0,0,0.109,1.000,0.360,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006031,0.001358,0.134,1.092,0.086,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001288,nan,nan,nan,0,0,0,0,0.1921,1.0000,0.13483,0.00018,0.0001,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463609,-0.000000,1,-0.000000
0.0648,move->d,none,0.0061,0.463581,-0.016720,-0.592483,-0.000839,1.690316,0.019095,1.022936,1.562226,0.463609,-0.016720,-0.592522,-0.000855,1.690369,0.019076,1.022990,1.562227,0.190763,0.063937,0.364722,3.129690,-0.549869,-3.139636,0.00004,-0.00004,0.00004,0.00001,-0.00014,0.00004,0.00004,-0.00004,0.00004,0.00001,-0.00014,0.00004,-0.00121,0.00236,-0.00179,-0.00239,0.01131,-0.00959,0.034,0.0031,0.00000,0,0,0,0,0.112,1.012,0.325,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005851,0.000987,0.134,1.093,0.086,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.002180,nan,nan,nan,0,0,0,0,0.2116,1.0000,0.13483,0.00044,0.0002,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463609,-0.000001,1,-0.000001
0.0705,move->d,none,0.0072,0.463581,-0.016720,-0.592482,-0.000841,1.690316,0.019096,1.022935,1.562225,0.463609,-0.016703,-0.592592,-0.000785,1.690369,0.019094,1.022990,1.562262,0.190754,0.063963,0.364736,3.129684,-0.549800,-3.139567,0.00005,-0.00009,0.00001,-0.00000,-0.00000,-0.00009,0.00005,-0.00009,0.00001,-0.00000,-0.00000,-0.00009,-0.00154,0.00471,0.00238,0.00092,-0.01246,0.01170,0.055,0.0062,0.00000,0,0,0,0,0.124,1.018,0.281,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005715,0.001152,0.241,1.010,-0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001177,nan,nan,nan,0,0,0,0,0.2306,1.0000,0.13483,0.00059,0.0002,0.00000,0.0000,0.0000,0.001,-0.05967,4.0000,0.463581,0.463609,-0.000001,1,-0.000001
0.0764,move->d,none,0.0085,0.463581,-0.016720,-0.592481,-0.000842,1.690315,0.019097,1.022935,1.562223,0.463609,-0.016720,-0.592539,-0.000855,1.690369,0.019076,1.022972,1.562227,0.190764,0.063937,0.364728,3.129691,-0.549834,-3.139636,0.00004,-0.00004,0.00003,0.00001,-0.00007,0.00004,0.00004,-0.00004,0.00003,0.00001,-0.00007,0.00004,0.00153,-0.00417,-0.00117,-0.00089,0.00548,-0.01041,0.030,0.0033,0.00000,0,0,0,0,0.131,1.014,0.273,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005856,0.000720,0.133,0.939,0.460,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000157,nan,nan,nan,0,0,0,0,0.2501,1.0000,0.13483,0.00045,0.0002,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463609,-0.000001,1,-0.000001
0.0821,move->d,none,0.0098,0.463581,-0.016720,-0.592481,-0.000844,1.690315,0.019098,1.022935,1.562221,0.463609,-0.016773,-0.592539,-0.000873,1.690369,0.019076,1.022972,1.562262,0.190764,0.063925,0.364728,3.129644,-0.549834,-3.139697,0.00004,-0.00002,0.00003,-0.00007,-0.00007,0.00021,0.00004,-0.00002,0.00003,-0.00007,-0.00007,0.00021,0.00000,-0.00205,0.00001,0.00724,-0.00002,-0.01560,0.024,0.0033,0.00000,0,0,0,0,0.130,1.010,0.288,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005763,0.001038,0.075,0.987,0.506,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.000033,nan,nan,nan,0,0,0,0,0.2693,1.0000,0.13483,0.00051,0.0002,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.463609,-0.000002,1,-0.000002
0.0880,move->d,none,0.0112,0.463581,-0.016719,-0.592480,-0.000845,1.690314,0.019098,1.022934,1.562219,0.463609,-0.016773,-0.592539,-0.000873,1.690369,0.019076,1.022972,1.562262,0.190764,0.063925,0.364728,3.129644,-0.549834,-3.139697,0.00004,-0.00002,0.00003,-0.00007,-0.00007,0.00021,0.00004,-0.00002,0.00003,-0.00007,-0.00007,0.00021,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.024,0.0034,0.00000,0,0,0,0,0.140,1.015,0.308,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005895,0.001328,0.255,1.093,0.429,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000,nan,nan,nan,0,0,0,0,0.2890,1.0000,0.13483,0.00051,0.0002,0.00000,0.0000,0.0000,0.000,-0.05967,4.0000,0.463581,0.464079,-0.000003,1,-0.000003
0.0946,move->d,none,0.0128,0.463581,-0.016717,-0.592479,-0.000869,1.690313,0.019109,1.022934,1.562192,0.464079,-0.016720,-0.592592,-0.000803,1.690369,0.019076,1.022972,1.562262,0.190757,0.064422,0.364738,3.129691,-0.549783,-3.139611,0.00005,-0.00102,0.00001,0.00001,0.00003,-0.00001,0.00005,-0.00102,0.00001,0.00001,0.00003,-0.00001,-0.00094,0.07215,0.00143,-0.00579,-0.00751,0.01603,0.507,0.0286,0.00000,0,0,0,0,0.141,1.009,0.318,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006613,0.001028,0.095,0.929,0.301,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000055,nan,nan,nan,0,0,0,0,0.3110,1.0000,0.13483,0.00757,0.0034,0.00001,0.0000,0.0000,0.005,-0.05967,4.0000,0.463581,0.464079,-0.000004,1,-0.000004
0.1003,move->d,none,0.0145,0.463581,-0.016715,-0.592478,-0.000893,1.690313,0.019118,1.022934,1.562166,0.464079,-0.016703,-0.592539,-0.000838,1.690369,0.019094,1.022972,1.562262,0.190764,0.064421,0.364728,3.129649,-0.549834,-3.139593,0.00004,-0.00102,0.00003,-0.00006,-0.00007,0.00000,0.00004,-0.00102,0.00003,-0.00006,-0.00007,0.00000,0.00114,-0.00012,-0.00173,0.00630,0.00907,-0.00062,0.506,0.0286,0.00000,0,0,0,0,0.146,1.010,0.328,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005666,0.000984,0.200,1.050,0.387,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000876,nan,nan,nan,0,0,0,0,0.3299,1.0000,0.13483,0.00749,0.0034,0.00002,0.0000,0.0000,0.005,-0.05967,4.0000,0.463581,0.464079,-0.000006,1,-0.000006
0.1064,move->d,none,0.0162,0.463580,-0.016714,-0.592477,-0.000918,1.690312,0.019128,1.022934,1.562139,0.464079,-0.016720,-0.592539,-0.000855,1.690334,0.019094,1.022972,1.562262,0.190767,0.064414,0.364740,3.129638,-0.549799,-3.139619,0.00003,-0.00100,0.00001,-0.00008,0.00000,0.00006,0.00003,-0.00100,0.00001,-0.00008,0.00000,0.00006,0.00050,-0.00120,0.00191,0.00149,-0.00573,-0.00522,0.498,0.0286,0.00000,0,0,0,0,0.152,1.011,0.345,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006117,0.000997,0.179,1.018,0.459,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001903,nan,nan,nan,0,0,0,0,0.3503,1.0000,0.13483,0.00748,0.0034,0.00003,0.0000,0.0000,0.005,-0.05967,4.0000,0.463580,0.464079,-0.000008,1,-0.000008
0.1126,move->d,none,0.0181,0.463580,-0.016712,-0.592476,-0.000942,1.690311,0.019138,1.022934,1.562113,0.464079,-0.016668,-0.592539,-0.000855,1.690369,0.019076,1.022972,1.562227,0.190764,0.064417,0.364728,3.129691,-0.549834,-3.139584,0.00004,-0.00101,0.00003,0.00001,-0.00007,-0.00006,0.00004,-0.00101,0.00003,0.00001,-0.00007,-0.00006,-0.00051,0.00053,-0.00191,-0.00729,0.00573,0.01023,0.502,0.0286,0.00000,0,0,0,0,0.150,1.014,0.355,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006215,0.001082,0.101,1.044,0.362,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001906,nan,nan,nan,0,0,0,0,0.3710,1.0000,0.13483,0.00739,0.0033,0.00004,0.0000,0.0000,0.005,-0.05967,4.0000,0.463580,0.464079,-0.000010,1,-0.000010
