t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,force_reference_accel_m_s2,force_reference_reversal_reset,force_reference_fast_clear,force_fast_z,retract_guard_armed,retract_fast_hold,retract_fast_stop_count,retract_fast_rearm_count,force_task_latched,physical_contact_state,physical_contact_acquire_event,physical_contact_loss_event,physical_contact_reacquire_event,physical_contact_low_timer_s,physical_contact_high_timer_s,mass_z_eff,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0009,move->d,none,0.0000,0.571785,0.266281,-0.520399,-0.354445,1.587881,0.046110,1.078444,0.109076,0.571785,0.265831,-0.520318,-0.354337,1.587883,0.046496,1.078456,0.108751,0.295855,0.127458,0.397376,-2.211118,-0.218262,-2.363816,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00018,0,0,0,0,0.003,0.007,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005000,0.003597,0.003,0.007,0.015,0.000000,0,0.0002,1.0000,0.12983,0.13786,0.0573,2.96172,0.0000,0.0000,0.001,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0066,move->d,none,0.0001,0.571785,0.266281,-0.520399,-0.354445,1.587880,0.046109,1.078445,0.109076,0.571785,0.265849,-0.520300,-0.354319,1.587901,0.046496,1.078422,0.108751,0.295863,0.127470,0.397373,-2.211107,-0.218270,-2.363790,-0.00002,-0.00002,0.00001,0.00003,0.00000,-0.00006,-0.00002,-0.00002,0.00001,0.00003,0.00000,-0.00006,0.00101,0.00138,-0.00038,-0.00161,-0.00028,0.00349,0.014,0.0248,0.00000,0,0,0,0,0.002,0.005,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005686,0.001289,-0.145,-0.162,0.040,-0.000216,0,0.0191,1.0000,0.12983,0.00011,0.0000,0.00052,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0123,move->d,none,0.0003,0.571785,0.266407,-0.520422,-0.354475,1.587881,0.046001,1.078441,0.109168,0.571785,0.265849,-0.520318,-0.354284,1.587848,0.046461,1.078422,0.108751,0.295864,0.127468,0.397400,-2.211025,-0.218252,-2.363802,-0.00002,-0.00002,-0.00005,0.00012,0.00014,-0.00007,-0.00002,-0.00002,-0.00005,0.00012,0.00014,-0.00007,0.00013,-0.00027,0.00438,-0.00733,-0.01113,0.00089,0.027,0.0248,0.00000,0,0,0,0,-0.002,0.002,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005667,0.000770,-0.071,-0.033,-0.023,-0.002314,0,0.0380,1.0000,0.12983,0.03883,0.0161,0.06076,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0181,move->d,none,0.0006,0.571785,0.266595,-0.520457,-0.354519,1.587881,0.045838,1.078436,0.109306,0.571785,0.265901,-0.520300,-0.354267,1.587848,0.046496,1.078422,0.108751,0.295870,0.127498,0.397398,-2.211045,-0.218247,-2.363714,-0.00003,-0.00008,-0.00004,0.00008,0.00012,-0.00023,-0.00003,-0.00008,-0.00004,0.00008,0.00012,-0.00023,0.00110,0.00586,-0.00045,0.00344,0.00200,0.01598,0.048,0.0290,0.00001,0,0,0,0,-0.007,-0.002,0.014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005826,0.001386,0.049,0.097,-0.039,-0.003103,0,0.0574,1.0000,0.12983,0.05786,0.0239,0.12080,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0238,move->d,none,0.0010,0.571785,0.266879,-0.520509,-0.354586,1.587881,0.045592,1.078428,0.109514,0.571785,0.265831,-0.520283,-0.354284,1.587883,0.046496,1.078422,0.108717,0.295867,0.127475,0.397378,-2.211064,-0.218299,-2.363770,-0.00002,-0.00003,-0.00000,0.00013,0.00002,-0.00011,-0.00002,-0.00003,-0.00000,0.00013,0.00002,-0.00011,-0.00042,-0.00373,-0.00318,-0.00379,0.00802,-0.00959,0.021,0.0437,0.00001,0,0,0,0,-0.010,-0.004,0.012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005672,0.000821,0.025,0.027,-0.032,0.004127,0,0.0763,1.0000,0.12983,0.08777,0.0363,0.18253,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0294,move->d,none,0.0014,0.571785,0.267240,-0.520576,-0.354669,1.587881,0.045279,1.078418,0.109779,0.571785,0.265901,-0.520300,-0.354319,1.587831,0.046461,1.078404,0.108751,0.295872,0.127470,0.397404,-2.211023,-0.218236,-2.363787,-0.00003,-0.00002,-0.00006,0.00009,0.00017,-0.00010,-0.00003,-0.00002,-0.00006,0.00009,0.00017,-0.00010,0.00092,-0.00089,0.00472,0.00298,-0.01306,-0.00146,0.035,0.0561,0.00002,0,0,0,0,-0.011,-0.005,0.010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005599,0.000815,-0.079,-0.087,-0.003,-0.001732,0,0.0950,1.0000,0.12983,0.11124,0.0460,0.24260,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0352,move->d,none,0.0020,0.571785,0.267686,-0.520658,-0.354772,1.587880,0.044893,1.078406,0.110106,0.571785,0.265866,-0.520300,-0.354337,1.587918,0.046496,1.078404,0.108734,0.295866,0.127469,0.397369,-2.211103,-0.218274,-2.363779,-0.00002,-0.00002,0.00001,0.00004,0.00000,-0.00008,-0.00002,-0.00002,0.00001,0.00004,0.00000,-0.00008,-0.00118,-0.00018,-0.00624,0.00504,0.01449,-0.00169,0.017,0.0787,0.00002,0,0,0,0,-0.014,-0.006,0.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005863,0.001010,-0.048,-0.014,0.023,0.003205,0,0.1145,1.0000,0.12984,0.13739,0.0568,0.30190,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571785,-0.000000,1,-0.000000
0.0410,move->d,none,0.0027,0.571785,0.268218,-0.520756,-0.354895,1.587880,0.044433,1.078391,0.110495,0.571785,0.265831,-0.520300,-0.354337,1.587848,0.046461,1.078404,0.108751,0.295868,0.127445,0.397396,-2.211044,-0.218243,-2.363865,-0.00003,0.00003,-0.00004,0.00008,0.00013,0.00007,-0.00003,0.00003,-0.00004,0.00008,0.00013,0.00007,0.00037,-0.00405,0.00458,-0.00328,-0.01057,-0.01216,0.027,0.1063,0.00003,0,0,0,0,-0.016,-0.007,0.005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005756,0.000810,0.033,0.105,-0.025,0.000190,0,0.1337,1.0000,0.12984,0.16385,0.0678,0.36398,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571781,-0.000000,1,-0.000000
0.0467,move->d,none,0.0034,0.571785,0.268833,-0.520869,-0.355037,1.587880,0.043902,1.078374,0.110945,0.571781,0.265901,-0.520318,-0.354319,1.587883,0.046338,1.078422,0.108786,0.295862,0.127441,0.397378,-2.211021,-0.218336,-2.363849,-0.00001,0.00003,-0.00000,0.00024,0.00003,0.00003,-0.00001,0.00003,-0.00000,0.00024,0.00003,0.00003,-0.00116,-0.00078,-0.00344,-0.01558,0.00969,0.00391,0.019,0.1328,0.00003,0,0,0,0,-0.016,-0.006,0.004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005688,0.001298,0.196,-0.005,0.136,0.001975,0,0.1527,1.0000,0.12984,0.18941,0.0783,0.42492,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571781,-0.000000,1,-0.000000
0.0527,move->d,none,0.0043,0.571785,0.269531,-0.520998,-0.355198,1.587879,0.043299,1.078354,0.111457,0.571781,0.265953,-0.520283,-0.354319,1.587883,0.046269,1.078422,0.108751,0.295869,0.127441,0.397366,-2.210976,-0.218433,-2.363819,-0.00003,0.00004,0.00002,0.00044,-0.00005,-0.00006,-0.00003,0.00004,0.00002,0.00044,-0.00005,-0.00006,0.00121,-0.00008,-0.00206,-0.01719,0.00662,0.00690,0.025,0.1650,0.00003,0,0,0,0,-0.011,-0.005,0.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.006063,0.001549,0.196,-0.005,0.136,0.001818,0,0.1729,1.0000,0.12985,0.21488,0.0888,0.48513,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571781,-0.000000,1,-0.000000
0.0592,move->d,none,0.0053,0.571785,0.270319,-0.521143,-0.355380,1.587879,0.042618,1.078333,0.112035,0.571781,0.265971,-0.520318,-0.354319,1.587848,0.046234,1.078422,0.108786,0.295866,0.127433,0.397388,-2.210937,-0.218386,-2.363851,-0.00002,0.00005,-0.00002,0.00043,0.00007,-0.00001,-0.00002,0.00005,-0.00002,0.00043,0.00007,-0.00001,-0.00043,-0.00103,0.00309,0.00080,-0.00842,-0.00328,0.030,0.2040,0.00004,0,0,0,0,0.001,-0.003,0.012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.006483,0.000866,0.248,0.044,0.097,-0.001324,0,0.1945,1.0000,0.12985,0.24290,0.1004,0.54929,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571781,-0.000000,1,-0.000000
0.0652,move->d,none,0.0063,0.571785,0.271203,-0.521307,-0.355584,1.587878,0.041855,1.078309,0.112684,0.571781,0.266023,-0.520300,-0.354337,1.587883,0.046059,1.078422,0.108856,0.295866,0.127404,0.397360,-2.210928,-0.218508,-2.363927,-0.00002,0.00011,0.00003,0.00061,-0.00009,0.00014,-0.00002,0.00011,0.00003,0.00061,-0.00009,0.00014,-0.00006,-0.00520,-0.00491,-0.01597,0.01421,-0.01295,0.058,0.2461,0.00004,0,0,0,0,0.016,-0.001,0.019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005988,0.001150,0.248,0.044,0.097,0.006280,0,0.2145,1.0000,0.12986,0.27223,0.1126,0.61788,0.0000,0.0000,0.000,-0.16778,4.0000,0.571785,0.571781,-0.000000,1,-0.000000
0.0710,move->d,none,0.0075,0.571785,0.272169,-0.521486,-0.355807,1.587878,0.041021,1.078283,0.113392,0.571781,0.266145,-0.520300,-0.354337,1.587883,0.045850,1.078456,0.108943,0.295862,0.127390,0.397343,-2.210895,-0.218635,-2.363947,-0.00001,0.00014,0.00007,0.00083,-0.00023,0.00017,-0.00001,0.00014,0.00007,0.00083,-0.00023,0.00017,-0.00063,-0.00237,-0.00309,-0.01998,0.01206,-0.00231,0.076,0.2898,0.00005,0,0,0,0,0.035,0.003,0.026,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005773,0.001309,0.094,0.093,0.026,0.003073,0,0.2337,1.0000,0.12986,0.29747,0.1231,0.68121,0.0000,0.0000,0.001,-0.16778,4.0000,0.571785,0.571314,-0.000000,1,-0.000000
0.0766,move->d,none,0.0088,0.571785,0.273217,-0.521682,-0.356025,1.587882,0.040104,1.078252,0.114188,0.571314,0.266425,-0.520318,-0.354389,1.587901,0.045623,1.078456,0.109031,0.295866,0.126933,0.397327,-2.210855,-0.218734,-2.363869,-0.00002,0.00105,0.00010,0.00103,-0.00031,-0.00001,-0.00002,0.00105,0.00010,0.00103,-0.00031,-0.00001,0.00072,-0.07989,-0.00274,-0.01710,0.00750,0.01509,0.528,0.3291,0.00005,0,0,0,0,0.050,0.006,0.033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005672,0.001259,-0.080,-0.115,0.090,0.054859,0,0.2526,1.0000,0.12987,0.32623,0.1335,0.74223,0.0000,0.0000,0.005,-0.16778,4.0000,0.571785,0.571314,-0.000000,1,-0.000000
0.0823,move->d,none,0.0101,0.571785,0.274345,-0.521894,-0.356261,1.587886,0.039117,1.078219,0.115042,0.571314,0.266826,-0.520370,-0.354459,1.587883,0.045204,1.078422,0.109380,0.295873,0.126921,0.397332,-2.210823,-0.218753,-2.363927,-0.00004,0.00107,0.00009,0.00110,-0.00030,0.00009,-0.00004,0.00107,0.00009,0.00110,-0.00030,0.00009,0.00117,-0.00189,0.00074,-0.00583,-0.00135,-0.00836,0.539,0.3662,0.00006,0,0,0,0,0.056,0.008,0.036,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005691,0.000867,-0.480,0.109,-0.333,0.001373,0,0.2716,1.0000,0.12988,0.35085,0.1437,0.80218,0.0000,0.0000,0.005,-0.16778,4.0000,0.571785,0.571314,-0.000000,1,-0.000000
0.0880,move->d,none,0.0116,0.571785,0.275554,-0.522122,-0.356516,1.587890,0.038057,1.078184,0.115958,0.571314,0.267367,-0.520422,-0.354529,1.587901,0.045029,1.078422,0.109642,0.295883,0.127015,0.397325,-2.210920,-0.218692,-2.363645,-0.00005,0.00089,0.00010,0.00088,-0.00034,-0.00043,-0.00005,0.00089,0.00010,0.00088,-0.00034,-0.00043,0.00177,0.01791,-0.00136,0.02104,0.00435,0.04956,0.447,0.3998,0.00006,0,0,0,0,0.048,0.011,0.030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005626,0.001229,-0.403,0.055,-0.374,-0.010231,0,0.2903,1.0000,0.12988,0.37636,0.1540,0.86230,0.0000,0.0000,0.004,-0.16778,4.0000,0.571785,0.571314,-0.000000,1,-0.000000
0.0935,move->d,none,0.0131,0.571785,0.276840,-0.522364,-0.356789,1.587894,0.036925,1.078149,0.116931,0.571314,0.268275,-0.520562,-0.354651,1.587848,0.044593,1.078456,0.110270,0.295886,0.127131,0.397344,-2.211072,-0.218516,-2.363355,-0.00006,0.00066,0.00006,0.00042,-0.00030,-0.00094,-0.00006,0.00066,0.00006,0.00042,-0.00030,-0.00094,0.00068,0.02040,0.00350,0.04053,-0.00380,0.04552,0.331,0.4171,0.00007,0,0,0,0,0.027,0.014,0.015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005539,0.001123,-0.366,-0.070,-0.140,-0.015227,0,0.3088,1.0000,0.12989,0.40089,0.1639,0.92171,0.0000,0.0000,0.003,-0.16778,4.0000,0.571785,0.571314,-0.000000,1,-0.000000
0.0991,move->d,none,0.0148,0.571785,0.278202,-0.522623,-0.357080,1.587899,0.035721,1.078112,0.117966,0.571314,0.269357,-0.520562,-0.354791,1.587831,0.044349,1.078404,0.110532,0.295936,0.127341,0.397342,-2.211123,-0.218473,-2.362652,-0.00016,0.00023,0.00007,0.00029,-0.00031,-0.00233,-0.00016,0.00023,0.00007,0.00029,-0.00031,-0.00233,0.00843,0.03593,-0.00036,0.01125,0.00088,0.11809,0.146,0.4288,0.00007,0,0,0,0,0.001,0.016,-0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005601,0.000859,-0.013,0.143,0.112,-0.019593,0,0.3275,1.0000,0.12990,0.42546,0.1734,0.98017,0.0000,0.0000,0.001,-0.16778,4.0000,0.571785,0.571314,-0.000000,1,-0.000000
0.1047,move->d,none,0.0165,0.571785,0.279643,-0.522896,-0.357389,1.587903,0.034451,1.078075,0.119056,0.571314,0.269828,-0.520667,-0.354825,1.587883,0.043476,1.078422,0.111230,0.295918,0.127257,0.397301,-2.211121,-0.218679,-2.362977,-0.00012,0.00040,0.00015,0.00059,-0.00060,-0.00168,-0.00012,0.00040,0.00015,0.00059,-0.00060,-0.00168,-0.00346,-0.01595,-0.00794,-0.02783,0.02740,-0.06172,0.224,0.4798,0.00007,0,0,0,0,-0.021,0.021,-0.013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005584,0.001185,0.014,0.181,0.088,0.013564,0,0.3461,1.0000,0.12991,0.44941,0.1836,1.03926,0.0000,0.0000,0.002,-0.16778,4.0000,0.571785,0.570483,-0.000001,1,-0.000001
0.1104,move->d,none,0.0183,0.571785,0.281157,-0.523189,-0.357674,1.587916,0.033092,1.078030,0.120252,0.570483,0.271050,-0.520754,-0.354983,1.587883,0.042656,1.078404,0.111492,0.295946,0.126530,0.397283,-2.210851,-0.218996,-2.362468,-0.00018,0.00186,0.00019,0.00141,-0.00068,-0.00281,-0.00018,0.00186,0.00019,0.00141,-0.00068,-0.00281,0.00515,-0.13095,-0.00307,-0.07394,0.00730,0.10214,0.937,0.4923,0.00008,0,0,0,0,-0.039,0.027,-0.018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005750,0.001380,-0.075,-0.027,0.024,0.090889,0,0.3653,1.0000,0.12992,0.47930,0.1929,1.09814,0.0000,0.0000,0.009,-0.16778,4.0000,0.571785,0.570483,-0.000001,1,-0.000001
0.1163,move->d,none,0.0202,0.571785,0.282753,-0.523498,-0.357978,1.587929,0.031664,1.077984,0.121505,0.570483,0.271695,-0.520859,-0.355035,1.587883,0.041818,1.078422,0.112434,0.295937,0.126498,0.397261,-2.211001,-0.219013,-2.362729,-0.00016,0.00192,0.00023,0.00122,-0.00091,-0.00223,-0.00016,0.00192,0.00023,0.00122,-0.00091,-0.00223,-0.00151,-0.00542,-0.00377,0.01558,0.01918,-0.04907,0.971,0.5421,0.00008,0,0,0,0,-0.049,0.031,-0.017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005836,0.001248,0.386,-0.137,0.489,0.005074,0,0.3847,1.0000,0.12993,0.50386,0.2033,1.15876,0.0000,0.0000,0.009,-0.16778,4.0000,0.571785,0.570483,-0.000001,1,-0.000001
0.1219,move->d,none,0.0223,0.571785,0.284428,-0.523822,-0.358300,1.587941,0.030160,1.077938,0.122824,0.570483,0.273231,-0.521051,-0.355332,1.587883,0.041137,1.078422,0.112888,0.295959,0.126680,0.397263,-2.210962,-0.219020,-2.362016,-0.00021,0.00156,0.00023,0.00129,-0.00087,-0.00367,-0.00021,0.00156,0.00023,0.00129,-0.00087,-0.00367,0.00382,0.03231,0.00043,-0.00575,-0.00383,0.12805,0.793,0.5456,0.00009,0,0,0,0,-0.047,0.031,-0.007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0,0,0,0,,0,0,0,nan,nan,nan,0,0.005628,0.001236,0.355,0.024,0.173,-0.019824,0,0.4035,1.0000,0.12994,0.52976,0.2133,1.22026,0.0000,0.0000,0.008,-0.16778,4.0000,0.571785,0.570483,-0.000001,1,-0.000001
