t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0013,move->d,none,0.0000,0.372139,-0.038676,-0.446473,0.007156,1.435795,0.035640,1.132021,1.552278,0.372139,-0.038676,-0.446508,0.007208,1.435830,0.035657,1.132021,1.552313,0.211689,-0.027292,0.402913,3.128780,-0.550108,-3.137817,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0030,0.00000,0,0,0,0,0.473,0.972,0.168,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.000771,0.473,0.972,0.168,0.000000,0,0.0002,1.0000,0.11955,0.00000,0.0000,0.00008,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0071,move->d,none,0.0001,0.372139,-0.038676,-0.446473,0.007156,1.435796,0.035639,1.132021,1.552279,0.372139,-0.038659,-0.446438,0.007156,1.435778,0.035657,1.132021,1.552278,0.211703,-0.027305,0.402915,3.128787,-0.550124,-3.137832,-0.00003,0.00003,-0.00000,0.00001,-0.00003,0.00002,-0.00003,0.00003,-0.00000,0.00001,-0.00003,0.00002,0.00241,-0.00216,0.00037,-0.00100,0.00269,-0.00186,0.020,0.0020,0.00000,0,0,0,0,0.472,0.971,0.167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005832,0.000527,0.308,0.875,0.153,-0.001598,0,0.0196,1.0000,0.11955,0.00022,0.0001,0.00000,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0127,move->d,none,0.0003,0.372139,-0.038676,-0.446474,0.007156,1.435796,0.035639,1.132021,1.552279,0.372139,-0.038659,-0.446473,0.007208,1.435778,0.035657,1.132021,1.552313,0.211698,-0.027289,0.402922,3.128780,-0.550090,-3.137800,-0.00002,-0.00001,-0.00002,0.00000,0.00003,-0.00004,-0.00002,-0.00001,-0.00002,0.00000,0.00003,-0.00004,-0.00101,0.00303,0.00131,0.00105,-0.00615,0.00527,0.014,0.0030,0.00000,0,0,0,0,0.467,0.967,0.166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005552,0.000569,0.240,0.710,0.030,-0.000558,0,0.0382,1.0000,0.11955,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0181,move->d,none,0.0006,0.372139,-0.038676,-0.446474,0.007156,1.435797,0.035639,1.132021,1.552279,0.372139,-0.038676,-0.446473,0.007191,1.435778,0.035640,1.132021,1.552331,0.211698,-0.027300,0.402922,3.128771,-0.550090,-3.137847,-0.00002,0.00002,-0.00002,-0.00001,0.00003,0.00007,-0.00002,0.00002,-0.00002,-0.00001,0.00003,0.00007,-0.00002,-0.00229,-0.00000,0.00163,0.00004,-0.01084,0.015,0.0030,0.00000,0,0,0,0,0.457,0.958,0.162,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005404,0.001202,0.331,0.846,0.073,-0.000014,0,0.0562,1.0000,0.11955,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0239,move->d,none,0.0009,0.372139,-0.038676,-0.446474,0.007157,1.435798,0.035639,1.132020,1.552279,0.372139,-0.038624,-0.446473,0.007138,1.435743,0.035657,1.132038,1.552331,0.211697,-0.027298,0.402931,3.128728,-0.550071,-3.137810,-0.00002,0.00001,-0.00004,-0.00009,0.00007,0.00004,-0.00002,0.00001,-0.00004,-0.00009,0.00007,0.00004,-0.00014,0.00026,0.00139,0.00564,-0.00291,0.00238,0.021,0.0031,0.00000,0,0,0,0,0.445,0.947,0.156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005755,0.000518,0.423,0.920,0.122,-0.001112,0,0.0753,1.0000,0.11955,0.00024,0.0001,0.00000,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0293,move->d,none,0.0014,0.372139,-0.038676,-0.446474,0.007157,1.435799,0.035639,1.132020,1.552279,0.372139,-0.038676,-0.446508,0.007191,1.435725,0.035657,1.132021,1.552313,0.211696,-0.027297,0.402947,3.128775,-0.550003,-3.137830,-0.00001,0.00001,-0.00007,-0.00001,0.00021,0.00003,-0.00001,0.00001,-0.00007,-0.00001,0.00021,0.00003,-0.00023,0.00026,0.00318,-0.00819,-0.01426,0.00074,0.035,0.0041,0.00000,0,0,0,0,0.435,0.937,0.150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005429,0.001122,0.376,0.875,0.149,-0.002582,0,0.0934,1.0000,0.11955,0.00021,0.0001,0.00001,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0346,move->d,none,0.0020,0.372139,-0.038676,-0.446475,0.007157,1.435799,0.035639,1.132020,1.552279,0.372139,-0.038607,-0.446455,0.007191,1.435778,0.035640,1.132038,1.552331,0.211697,-0.027285,0.402916,3.128770,-0.550125,-3.137776,-0.00002,-0.00001,-0.00001,-0.00002,-0.00004,-0.00007,-0.00002,-0.00001,-0.00001,-0.00002,-0.00004,-0.00007,0.00027,0.00204,-0.00521,0.00072,0.02091,0.00877,0.012,0.0040,0.00000,0,0,0,0,0.425,0.928,0.146,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005286,0.000525,0.375,0.875,0.149,0.004324,0,0.1111,1.0000,0.11955,0.00017,0.0001,0.00001,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372139,0.000000,1,0.000000
0.0400,move->d,none,0.0026,0.372139,-0.038676,-0.446475,0.007157,1.435799,0.035639,1.132020,1.552280,0.372139,-0.038676,-0.446508,0.007191,1.435865,0.035605,1.132003,1.552278,0.211689,-0.027312,0.402904,3.128856,-0.550126,-3.137884,-0.00000,0.00004,0.00002,0.00013,-0.00004,0.00005,-0.00000,0.00004,0.00002,0.00013,-0.00004,0.00005,-0.00174,-0.00573,-0.00258,-0.01561,0.00015,-0.01336,0.022,0.0038,0.00000,0,0,0,0,0.415,0.919,0.142,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005393,0.001229,0.221,0.842,0.163,0.003043,0,0.1290,1.0000,0.11955,0.00015,0.0001,0.00001,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372140,0.000000,1,0.000000
0.0456,move->d,none,0.0034,0.372139,-0.038676,-0.446475,0.007157,1.435797,0.035639,1.132021,1.552280,0.372140,-0.038676,-0.446473,0.007191,1.435970,0.035657,1.131968,1.552331,0.211694,-0.027295,0.402868,3.128747,-0.550229,-3.137827,-0.00001,0.00001,0.00009,-0.00006,-0.00024,0.00005,-0.00001,0.00001,0.00009,-0.00006,-0.00024,0.00005,0.00081,0.00269,-0.00569,0.01475,0.01650,0.00002,0.045,0.0098,0.00000,0,0,0,0,0.404,0.911,0.144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005673,0.000628,0.423,0.964,0.675,0.004453,0,0.1480,1.0000,0.11955,0.00031,0.0002,0.00001,0.0000,0.0000,0.000,0.03177,3.4410,0.372139,0.372140,0.000000,1,0.000000
0.0512,move->d,none,0.0042,0.372139,-0.038676,-0.446476,0.007157,1.435796,0.035639,1.132021,1.552280,0.372140,-0.038659,-0.446473,0.007208,1.435987,0.035657,1.132021,1.552313,0.211684,-0.027288,0.402855,3.128771,-0.550299,-3.137796,0.00001,-0.00001,0.00012,-0.00001,-0.00038,-0.00003,0.00001,-0.00001,0.00012,-0.00001,-0.00038,-0.00003,-0.00216,0.00144,-0.00268,-0.00425,0.01403,0.00875,0.058,0.0109,0.00000,0,0,0,0,0.395,0.905,0.158,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005574,0.001206,0.423,0.964,0.675,0.003432,0,0.1665,1.0000,0.11955,0.00032,0.0002,0.00001,0.0000,0.0000,0.001,0.03177,3.4410,0.372139,0.372140,0.000000,1,0.000000
