t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0011,move->d,0.0050,0.005000,0.320181,0.023981,0.139225,0.728291,-0.441847,1.296727,0.736233,0.000003,0.320181,0.023981,0.139225,0.728291,-0.441848,1.296727,0.736232,0.484311,-0.336455,0.497999,2.392405,0.995847,2.300480,-0.00000,-0.00000,0.00006,0.00016,-0.00012,-0.00004,0.028,0.0000,0.00000,0,0,0,1,0.620,-0.113,0.014,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.06466,0.00014,0.0001,0.00007,0.0000,1.0000,4.997,0.00000,0.0000,0.005000,0.000003,-0.000000,1,-0.000000
0.0060,move->d,0.0100,0.009990,0.320094,0.023936,0.139139,0.728336,-0.441688,1.296678,0.736129,0.005000,0.320163,0.024033,0.139242,0.728274,-0.441795,1.296762,0.736232,0.484316,-0.331440,0.497964,2.392495,0.995777,2.300584,-0.00001,-0.01003,0.00013,0.00012,-0.00029,-0.00010,5.018,0.0030,0.00000,0,0,1,0,0.620,-0.114,0.015,nan,nan,nan,nan,nan,nan,0,1.0000,1.0000,0.06466,0.04815,0.0500,0.00500,0.0000,0.9167,4.964,0.00000,0.0000,0.009990,0.000003,-0.004997,1,-0.004997
0.0110,move->d,0.0150,0.014972,0.319920,0.023847,0.138969,0.728426,-0.441370,1.296580,0.735921,0.009990,0.320216,0.024016,0.139225,0.728256,-0.441848,1.296762,0.736250,0.484312,-0.326453,0.497986,2.392433,0.995812,2.300521,-0.00001,-0.02001,0.00008,0.00013,-0.00019,-0.00008,10.004,0.0091,0.00001,0,0,1,0,0.620,-0.117,0.017,nan,nan,nan,nan,nan,nan,0,1.0000,0.9999,0.06466,0.09635,0.0999,0.00999,0.0000,0.8335,4.932,0.00000,0.0000,0.014972,0.000003,-0.009986,1,-0.009986
0.0160,move->d,0.0200,0.019946,0.319660,0.023715,0.138713,0.728560,-0.440893,1.296434,0.735609,0.014972,0.320146,0.023981,0.139225,0.728291,-0.441830,1.296710,0.736232,0.484315,-0.321495,0.498003,2.392374,0.995845,2.300437,-0.00001,-0.02992,0.00005,0.00014,-0.00010,-0.00001,14.962,0.0264,0.00002,0,0,1,0,0.622,-0.122,0.020,nan,nan,nan,nan,nan,nan,0,0.9975,0.9008,0.06466,0.14423,0.1497,0.01499,0.0000,0.7505,4.900,0.00000,0.0000,0.019946,0.000003,-0.014968,1,-0.014968
0.0210,move->d,0.0250,0.024913,0.319314,0.023540,0.138373,0.728739,-0.440257,1.296240,0.735194,0.019946,0.320146,0.024016,0.139225,0.728274,-0.441830,1.296727,0.736250,0.484321,-0.316520,0.497988,2.392408,0.995815,2.300453,-0.00002,-0.03987,0.00008,0.00012,-0.00016,0.00002,19.937,0.0537,0.00003,0,0,1,0,0.627,-0.128,0.022,nan,nan,nan,nan,nan,nan,0,0.9926,0.8013,0.06466,0.19221,0.1994,0.01999,0.0000,0.6676,4.867,0.00000,0.0000,0.024913,0.000003,-0.019942,1,-0.019942
0.0260,move->d,0.0299,0.029873,0.318881,0.023321,0.137947,0.728963,-0.439462,1.295998,0.734674,0.024913,0.320163,0.023981,0.139225,0.728274,-0.441830,1.296710,0.736232,0.484313,-0.311545,0.498010,2.392343,0.995850,2.300428,-0.00001,-0.04982,0.00003,0.00012,-0.00006,-0.00004,24.912,0.0901,0.00004,0,0,1,0,0.633,-0.133,0.025,nan,nan,nan,nan,nan,nan,0,0.9853,0.7018,0.06466,0.24006,0.2491,0.02502,0.0000,0.5848,4.835,0.00000,0.0000,0.029873,0.000003,-0.024908,1,-0.024908
0.0310,move->d,0.0348,0.034825,0.318363,0.023059,0.137436,0.729230,-0.438510,1.295708,0.734050,0.029873,0.320163,0.023981,0.139295,0.728274,-0.441795,1.296710,0.736232,0.484308,-0.306540,0.498007,2.392330,0.995825,2.300512,0.00000,-0.05983,0.00004,0.00007,-0.00009,-0.00023,29.917,0.1337,0.00004,0,0,1,0,0.637,-0.136,0.028,nan,nan,nan,nan,nan,nan,0,0.9757,0.6017,0.06467,0.28786,0.2987,0.03008,0.0000,0.5021,4.802,0.00000,0.0000,0.034825,0.000012,-0.029867,1,-0.029867
0.0360,move->d,0.0396,0.039769,0.317760,0.022754,0.136841,0.729541,-0.437400,1.295371,0.733322,0.034825,0.320111,0.024016,0.139242,0.728274,-0.441848,1.296727,0.736250,0.484323,-0.301656,0.497990,2.392413,0.995826,2.300427,-0.00003,-0.06960,0.00007,0.00013,-0.00015,0.00008,34.801,0.1912,0.00005,0,0,1,0,0.640,-0.138,0.031,nan,nan,nan,nan,nan,nan,0,0.9640,0.5040,0.06467,0.33561,0.3482,0.03518,0.0000,0.4196,4.771,0.00000,0.0000,0.039769,0.000012,-0.034817,1,-0.034817
0.0410,move->d,0.0443,0.044706,0.317072,0.022407,0.136160,0.729895,-0.436132,1.294987,0.732489,0.039769,0.320111,0.023981,0.139242,0.728291,-0.441830,1.296692,0.736250,0.484318,-0.296704,0.498008,2.392329,0.995842,2.300379,-0.00002,-0.07950,0.00004,0.00010,-0.00006,0.00003,39.753,0.2538,0.00006,0,0,1,0,0.645,-0.141,0.035,nan,nan,nan,nan,nan,nan,0,0.9500,0.4049,0.06467,0.38320,0.3976,0.04032,0.0000,0.3372,4.738,0.00000,0.0000,0.044706,0.000012,-0.039761,1,-0.039761
0.0462,move->d,0.0490,0.049636,0.316300,0.022018,0.135393,0.730291,-0.434705,1.294556,0.731552,0.044706,0.320163,0.024016,0.139225,0.728256,-0.441848,1.296727,0.736232,0.484320,-0.291758,0.497998,2.392402,0.995843,2.300460,-0.00002,-0.08939,0.00006,0.00015,-0.00012,-0.00000,44.699,0.3275,0.00007,0,0,1,0,0.651,-0.146,0.037,nan,nan,nan,nan,nan,nan,0,0.9339,0.3060,0.06468,0.43085,0.4470,0.04551,0.0000,0.2549,4.706,0.00000,0.0000,0.049636,0.000012,-0.044696,1,-0.044696
