t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0015,move->d,none,0.0000,0.379522,-0.030386,-0.359346,0.009564,1.281159,0.024208,1.197575,1.564932,0.379522,-0.030386,-0.359346,0.009564,1.281159,0.024208,1.197575,1.564932,0.224346,-0.019447,0.423479,3.128804,-0.548438,-3.138672,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,-0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,0,0.330,0.903,0.156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.004623,0.330,0.903,0.156,0.000000,0,0.0002,1.0000,0.10894,0.00000,0.0000,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0082,move->d,none,0.0001,0.379522,-0.030386,-0.359345,0.009564,1.281159,0.024208,1.197575,1.564932,0.379522,-0.030386,-0.359451,0.009599,1.281159,0.024173,1.197593,1.564967,0.224323,-0.019442,0.423500,3.128820,-0.548351,-3.138686,0.00004,-0.00001,-0.00004,0.00003,0.00017,0.00001,0.00004,-0.00001,-0.00004,0.00003,0.00017,0.00001,-0.00226,0.00049,0.00209,-0.00135,-0.00871,-0.00064,0.031,0.0060,0.00000,0,0,0,0,0.330,0.902,0.156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006680,0.001488,0.314,0.747,0.055,-0.000603,0,0.0224,1.0000,0.10894,0.00025,0.0001,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0151,move->d,none,0.0003,0.379522,-0.030386,-0.359345,0.009564,1.281159,0.024208,1.197575,1.564931,0.379522,-0.030386,-0.359346,0.009582,1.281176,0.024225,1.197593,1.564967,0.224342,-0.019436,0.423471,3.128759,-0.548472,-3.138639,0.00001,-0.00002,0.00002,-0.00008,-0.00007,-0.00002,0.00001,-0.00002,0.00002,-0.00008,-0.00007,-0.00002,0.00258,0.00098,-0.00407,0.00728,0.01715,0.00216,0.015,0.0020,0.00000,0,0,0,0,0.331,0.899,0.153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006957,0.001397,0.447,0.967,0.132,0.002136,0,0.0456,1.0000,0.10894,0.00010,0.0000,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0223,move->d,none,0.0007,0.379522,-0.030386,-0.359344,0.009564,1.281159,0.024208,1.197575,1.564931,0.379522,-0.030386,-0.359398,0.009582,1.281159,0.024208,1.197575,1.564967,0.224336,-0.019439,0.423491,3.128778,-0.548385,-3.138660,0.00002,-0.00002,-0.00002,-0.00004,0.00010,0.00000,0.00002,-0.00002,-0.00002,-0.00004,0.00010,0.00000,-0.00080,-0.00057,0.00292,-0.00236,-0.01285,-0.00159,0.017,0.0031,0.00000,0,0,0,0,0.333,0.896,0.150,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.007120,0.001748,0.384,0.845,0.145,-0.002077,0,0.0694,1.0000,0.10894,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0288,move->d,none,0.0011,0.379522,-0.030386,-0.359344,0.009564,1.281159,0.024208,1.197575,1.564931,0.379522,-0.030404,-0.359346,0.009582,1.281176,0.024208,1.197558,1.564932,0.224348,-0.019447,0.423476,3.128811,-0.548438,-3.138677,-0.00000,-0.00000,0.00001,0.00001,-0.00000,0.00000,-0.00000,-0.00000,0.00001,0.00001,-0.00000,0.00000,0.00172,-0.00104,-0.00214,-0.00407,0.00760,0.00006,0.004,0.0010,0.00000,0,0,0,0,0.337,0.893,0.147,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006496,0.001367,0.346,0.809,0.078,0.000917,0,0.0910,1.0000,0.10894,0.00006,0.0000,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0355,move->d,none,0.0017,0.379522,-0.030386,-0.359344,0.009564,1.281158,0.024208,1.197575,1.564931,0.379522,-0.030404,-0.359381,0.009582,1.281176,0.024225,1.197575,1.564932,0.224338,-0.019442,0.423481,3.128796,-0.548420,-3.138658,0.00001,-0.00001,-0.00000,-0.00001,0.00004,-0.00002,0.00001,-0.00001,-0.00000,-0.00001,0.00004,-0.00002,-0.00129,0.00059,0.00072,0.00176,-0.00240,0.00147,0.009,0.0021,0.00000,0,0,0,0,0.341,0.889,0.144,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006716,0.000694,0.401,0.910,0.143,0.000067,0,0.1134,1.0000,0.10894,0.00008,0.0000,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0416,move->d,none,0.0024,0.379522,-0.030386,-0.359344,0.009564,1.281159,0.024208,1.197575,1.564931,0.379522,-0.030386,-0.359346,0.009564,1.281124,0.024208,1.197558,1.564932,0.224351,-0.019447,0.423493,3.128805,-0.548385,-3.138672,-0.00001,0.00000,-0.00003,0.00000,0.00010,0.00000,-0.00001,0.00000,-0.00003,0.00000,0.00010,0.00000,0.00200,-0.00084,0.00179,-0.00128,-0.00559,-0.00153,0.014,0.0020,0.00000,0,0,0,0,0.345,0.886,0.141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006169,0.000637,0.398,0.912,0.145,-0.002585,0,0.1340,1.0000,0.10894,0.00008,0.0000,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379522,0.000000,1,0.000000
0.0474,move->d,none,0.0031,0.379522,-0.030386,-0.359344,0.009564,1.281159,0.024208,1.197575,1.564930,0.379522,-0.030386,-0.359381,0.009564,1.281159,0.024208,1.197593,1.564967,0.224336,-0.019444,0.423484,3.128770,-0.548420,-3.138672,0.00002,-0.00001,-0.00001,-0.00006,0.00003,0.00004,0.00002,-0.00001,-0.00001,-0.00006,0.00003,0.00004,-0.00269,0.00057,-0.00150,0.00542,0.00638,-0.00324,0.011,0.0021,0.00000,0,0,0,0,0.350,0.884,0.138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005812,0.000957,0.413,0.832,0.111,0.002692,0,0.1533,1.0000,0.10894,0.00010,0.0000,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379513,0.000000,1,0.000000
0.0536,move->d,none,0.0040,0.379522,-0.030386,-0.359343,0.009564,1.281159,0.024208,1.197575,1.564930,0.379513,-0.030386,-0.359381,0.009582,1.281159,0.024225,1.197575,1.564967,0.224339,-0.019444,0.423487,3.128761,-0.548403,-3.138641,0.00001,-0.00001,-0.00002,-0.00007,0.00007,-0.00002,0.00001,-0.00001,-0.00002,-0.00007,0.00007,-0.00002,0.00055,0.00007,0.00043,0.00128,-0.00294,0.00446,0.011,0.0021,0.00000,0,0,0,0,0.355,0.881,0.135,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006175,0.001196,0.224,0.801,0.090,-0.000652,0,0.1739,1.0000,0.10894,0.00013,0.0001,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379513,0.000000,1,0.000000
0.0595,move->d,none,0.0050,0.379522,-0.030386,-0.359343,0.009565,1.281159,0.024207,1.197575,1.564931,0.379513,-0.030386,-0.359328,0.009529,1.281176,0.024225,1.197575,1.564967,0.224348,-0.019459,0.423470,3.128737,-0.548472,-3.138677,-0.00000,0.00002,0.00002,-0.00011,-0.00007,0.00008,-0.00000,0.00002,0.00002,-0.00011,-0.00007,0.00008,0.00145,-0.00248,-0.00289,0.00345,0.01172,-0.00831,0.015,0.0021,0.00000,0,0,0,0,0.356,0.877,0.132,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005855,0.001117,0.366,0.881,0.128,0.001685,0,0.1934,1.0000,0.10894,0.00020,0.0001,0.00000,0.0000,0.0000,0.000,0.02439,2.3229,0.379522,0.379513,0.000000,1,0.000000
