t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0024,move->d,0.0000,0.000000,0.016633,0.198898,0.032952,1.394815,0.056322,0.506495,0.250559,0.000000,0.016633,0.198898,0.032952,1.394815,0.056322,0.506495,0.250559,0.588347,-0.361116,0.294547,2.818257,-0.528390,-3.057165,-0.00000,0.00000,0.00000,0.00000,-0.00000,-0.00000,0.000,0.0000,0.00000,0,0,0,0,0.045,-0.268,0.213,nan,nan,nan,nan,nan,nan,0,0.0002,1.0000,0.11005,0.00000,0.0000,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0073,move->d,0.0001,0.000000,0.016633,0.198898,0.032952,1.394815,0.056322,0.506494,0.250559,-0.000000,0.016581,0.198880,0.032899,1.394815,0.056339,0.506512,0.250559,0.588346,-0.361173,0.294552,2.818249,-0.528390,-3.057264,0.00000,0.00011,-0.00001,-0.00001,-0.00000,0.00021,0.057,0.0030,0.00000,0,0,0,0,0.045,-0.268,0.213,nan,nan,nan,nan,nan,nan,0,0.0167,1.0000,0.11005,0.00016,0.0001,0.00000,0.0000,1.0000,0.001,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0123,move->d,0.0003,0.000000,0.016634,0.198898,0.032953,1.394815,0.056321,0.506494,0.250560,-0.000000,0.016598,0.198898,0.032952,1.394815,0.056339,0.506495,0.250559,0.588348,-0.361134,0.294547,2.818237,-0.528389,-3.057190,-0.00000,0.00003,-0.00000,-0.00003,-0.00000,0.00007,0.018,0.0020,0.00000,0,0,0,0,0.043,-0.267,0.213,nan,nan,nan,nan,nan,nan,0,0.0333,1.0000,0.11005,0.00008,0.0000,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0173,move->d,0.0005,0.000000,0.016634,0.198898,0.032953,1.394815,0.056321,0.506494,0.250560,-0.000000,0.016598,0.198898,0.032952,1.394815,0.056339,0.506495,0.250559,0.588348,-0.361134,0.294547,2.818237,-0.528389,-3.057190,-0.00000,0.00003,-0.00000,-0.00003,-0.00000,0.00007,0.018,0.0020,0.00000,0,0,0,0,0.038,-0.265,0.213,nan,nan,nan,nan,nan,nan,0,0.0500,1.0000,0.11005,0.00008,0.0000,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0223,move->d,0.0008,0.000000,0.016634,0.198897,0.032953,1.394815,0.056321,0.506494,0.250560,-0.000000,0.016633,0.198950,0.032952,1.394762,0.056339,0.506495,0.250559,0.588360,-0.361113,0.294545,2.818235,-0.528389,-3.057155,-0.00003,-0.00001,0.00000,-0.00004,-0.00000,0.00000,0.014,0.0030,0.00000,0,0,0,0,0.033,-0.261,0.213,nan,nan,nan,nan,nan,nan,0,0.0667,1.0000,0.11005,0.00015,0.0001,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0273,move->d,0.0013,0.000000,0.016634,0.198898,0.032953,1.394815,0.056321,0.506494,0.250560,-0.000000,0.016581,0.198880,0.032917,1.394815,0.056322,0.506495,0.250525,0.588349,-0.361167,0.294557,2.818301,-0.528373,-3.057256,-0.00000,0.00010,-0.00002,0.00007,0.00004,0.00014,0.052,0.0031,0.00000,0,0,0,0,0.027,-0.257,0.214,nan,nan,nan,nan,nan,nan,0,0.0833,1.0000,0.11005,0.00015,0.0001,0.00000,0.0000,1.0000,0.001,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0323,move->d,0.0018,0.000000,0.016634,0.198898,0.032953,1.394816,0.056321,0.506494,0.250560,-0.000000,0.016633,0.198863,0.032952,1.394780,0.056339,0.506495,0.250525,0.588351,-0.361113,0.294587,2.818276,-0.528320,-3.057158,-0.00001,-0.00001,-0.00008,0.00002,0.00014,-0.00003,0.040,0.0020,0.00000,0,0,0,0,0.021,-0.253,0.214,nan,nan,nan,nan,nan,nan,0,0.1000,1.0000,0.11005,0.00013,0.0000,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0373,move->d,0.0023,0.000000,0.016635,0.198898,0.032953,1.394816,0.056321,0.506495,0.250561,-0.000000,0.016633,0.198880,0.032917,1.394780,0.056339,0.506477,0.250525,0.588357,-0.361133,0.294582,2.818283,-0.528320,-3.057197,-0.00002,0.00003,-0.00007,0.00003,0.00014,0.00004,0.040,0.0021,0.00000,0,0,0,0,0.014,-0.248,0.214,nan,nan,nan,nan,nan,nan,0,0.1167,1.0000,0.11005,0.00011,0.0000,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0423,move->d,0.0030,0.000000,0.016635,0.198898,0.032953,1.394816,0.056320,0.506495,0.250561,-0.000000,0.016633,0.198898,0.032952,1.394815,0.056374,0.506477,0.250507,0.588349,-0.361107,0.294554,2.818250,-0.528371,-3.057137,-0.00001,-0.00002,-0.00001,-0.00002,0.00004,-0.00005,0.012,0.0031,0.00000,0,0,0,0,0.008,-0.243,0.214,nan,nan,nan,nan,nan,nan,0,0.1333,1.0000,0.11005,0.00015,0.0001,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0473,move->d,0.0038,0.000000,0.016635,0.198898,0.032953,1.394816,0.056319,0.506495,0.250562,-0.000000,0.016581,0.198880,0.032952,1.394780,0.056374,0.506477,0.250525,0.588357,-0.361137,0.294583,2.818235,-0.528318,-3.057191,-0.00002,0.00004,-0.00007,-0.00005,0.00014,0.00007,0.043,0.0031,0.00000,0,0,0,0,0.003,-0.239,0.215,nan,nan,nan,nan,nan,nan,0,0.1500,1.0000,0.11005,0.00020,0.0001,0.00000,0.0000,1.0000,0.000,0.46579,4.0000,0.000000,-0.000000,0.000000,1,0.000000
