t_wall_s,phase,controller_mode,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,twist_requested_vx,twist_requested_vy,twist_requested_vz,twist_requested_wx,twist_requested_wy,twist_requested_wz,twist_achieved_vx,twist_achieved_vy,twist_achieved_vz,twist_achieved_wx,twist_achieved_wy,twist_achieved_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,damping_ke_z,damping_dimeas_z,v_force_z,ke_est,f_des_z_eff,v_r_z,force_reference_scale_n,force_reference_drive,force_reference_gate_scale,takeover,dt_actual_s,sensor_age_s,fx_raw_comp,fy_raw_comp,fz_raw_comp,vz_achieved_tool,contact_present,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0013,move->d,none,0.0000,0.328078,-0.073409,-0.546951,-0.008168,1.608303,0.079831,1.062138,1.496672,0.328078,-0.073409,-0.546951,-0.008168,1.608303,0.079831,1.062138,1.496672,0.196777,-0.075719,0.377823,3.129011,-0.549505,-3.137607,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,0,0.378,0.942,0.059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005000,0.003203,0.378,0.942,0.059,0.000000,0,0.0003,1.0000,0.13023,0.00000,0.0000,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0080,move->d,none,0.0001,0.328078,-0.073409,-0.546951,-0.008169,1.608303,0.079832,1.062138,1.496672,0.328078,-0.073391,-0.546934,-0.008133,1.608303,0.079779,1.062103,1.496707,0.196786,-0.075717,0.377823,3.129051,-0.549493,-3.137627,-0.00002,-0.00000,-0.00000,0.00007,0.00002,-0.00000,-0.00002,-0.00000,-0.00000,0.00007,0.00002,-0.00000,0.00098,0.00019,0.00010,-0.00393,-0.00140,0.00011,0.009,0.0030,0.00000,0,0,0,0,0.378,0.942,0.059,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006729,0.001215,0.315,0.939,0.122,-0.000598,0,0.0227,1.0000,0.13023,0.00014,0.0000,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0167,move->d,none,0.0004,0.328078,-0.073409,-0.546952,-0.008169,1.608303,0.079832,1.062138,1.496672,0.328078,-0.073409,-0.546899,-0.008133,1.608303,0.079779,1.062138,1.496672,0.196784,-0.075723,0.377811,3.129081,-0.549563,-3.137640,-0.00001,0.00001,0.00002,0.00012,-0.00011,-0.00001,-0.00001,0.00001,0.00002,0.00012,-0.00011,-0.00001,-0.00020,-0.00071,-0.00144,-0.00309,0.00833,0.00040,0.014,0.0030,0.00000,0,0,0,0,0.377,0.942,0.061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.008695,0.001553,0.470,1.062,0.093,0.001324,0,0.0517,1.0000,0.13023,0.00016,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0229,move->d,none,0.0007,0.328078,-0.073408,-0.546952,-0.008169,1.608304,0.079833,1.062138,1.496672,0.328078,-0.073409,-0.546951,-0.008168,1.608269,0.079779,1.062138,1.496672,0.196779,-0.075731,0.377833,3.129067,-0.549475,-3.137663,-0.00000,0.00002,-0.00002,0.00010,0.00006,0.00005,-0.00000,0.00002,-0.00002,0.00010,0.00006,0.00005,-0.00067,-0.00117,0.00316,0.00165,-0.01270,-0.00431,0.017,0.0031,0.00000,0,0,0,0,0.378,0.945,0.063,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.006120,0.000690,0.441,0.933,0.134,-0.002359,0,0.0721,1.0000,0.13023,0.00011,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0284,move->d,none,0.0012,0.328078,-0.073408,-0.546952,-0.008169,1.608304,0.079833,1.062138,1.496672,0.328078,-0.073391,-0.546951,-0.008168,1.608269,0.079779,1.062138,1.496672,0.196779,-0.075728,0.377833,3.129067,-0.549475,-3.137645,-0.00000,0.00002,-0.00002,0.00010,0.00006,0.00002,-0.00000,0.00002,-0.00002,0.00010,0.00006,0.00002,0.00001,0.00061,0.00000,0.00000,0.00000,0.00310,0.014,0.0031,0.00000,0,0,0,0,0.380,0.947,0.067,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005508,0.000558,0.324,0.899,0.087,0.000000,0,0.0905,1.0000,0.13023,0.00010,0.0000,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0340,move->d,none,0.0017,0.328078,-0.073408,-0.546952,-0.008169,1.608305,0.079833,1.062138,1.496672,0.328078,-0.073409,-0.546951,-0.008133,1.608251,0.079779,1.062138,1.496707,0.196781,-0.075720,0.377839,3.129056,-0.549459,-3.137645,-0.00001,0.00000,-0.00003,0.00008,0.00009,0.00003,-0.00001,0.00000,-0.00003,0.00008,0.00009,0.00003,0.00030,0.00138,0.00102,0.00186,-0.00290,-0.00108,0.017,0.0031,0.00000,0,0,0,0,0.381,0.948,0.071,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005669,0.000751,0.338,0.934,0.054,-0.001009,0,0.1094,1.0000,0.13023,0.00017,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0395,move->d,none,0.0024,0.328078,-0.073408,-0.546952,-0.008170,1.608305,0.079833,1.062138,1.496672,0.328078,-0.073356,-0.546899,-0.008133,1.608303,0.079814,1.062155,1.496707,0.196781,-0.075701,0.377809,3.129009,-0.549578,-3.137550,-0.00001,-0.00003,0.00003,-0.00000,-0.00014,-0.00011,-0.00001,-0.00003,0.00003,-0.00000,-0.00014,-0.00011,0.00007,0.00349,-0.00557,0.00734,0.02238,0.01331,0.022,0.0030,0.00000,0,0,0,0,0.381,0.949,0.074,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005444,0.000871,0.461,1.114,0.128,0.004750,0,0.1275,1.0000,0.13023,0.00015,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0447,move->d,none,0.0031,0.328078,-0.073408,-0.546952,-0.008170,1.608305,0.079834,1.062138,1.496671,0.328078,-0.073409,-0.546951,-0.008116,1.608251,0.079762,1.062138,1.496707,0.196781,-0.075720,0.377839,3.129084,-0.549461,-3.137654,-0.00001,0.00000,-0.00003,0.00012,0.00009,0.00002,-0.00001,0.00000,-0.00003,0.00012,0.00009,0.00002,-0.00008,-0.00334,0.00531,-0.01145,-0.02121,-0.01166,0.017,0.0041,0.00000,0,0,0,0,0.382,0.952,0.077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005239,0.000568,0.365,0.945,0.102,-0.004519,0,0.1450,1.0000,0.13023,0.00021,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0507,move->d,none,0.0039,0.328078,-0.073409,-0.546952,-0.008171,1.608305,0.079834,1.062137,1.496672,0.328078,-0.073356,-0.546969,-0.008098,1.608303,0.079814,1.062155,1.496672,0.196772,-0.075695,0.377823,3.129072,-0.549509,-3.137534,0.00001,-0.00005,-0.00000,0.00010,-0.00001,-0.00021,0.00001,-0.00005,-0.00000,0.00010,-0.00001,-0.00021,-0.00178,0.00497,-0.00319,0.00209,0.00983,0.02262,0.024,0.0041,0.00000,0,0,0,0,0.383,0.956,0.080,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005962,0.001554,0.365,0.945,0.102,0.003699,0,0.1648,1.0000,0.13023,0.00017,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328078,0.000000,1,0.000000
0.0561,move->d,none,0.0048,0.328078,-0.073409,-0.546953,-0.008171,1.608305,0.079834,1.062138,1.496672,0.328078,-0.073409,-0.546899,-0.008133,1.608303,0.079814,1.062138,1.496672,0.196784,-0.075715,0.377812,3.129045,-0.549560,-3.137604,-0.00001,-0.00001,0.00002,0.00006,-0.00011,-0.00004,-0.00001,-0.00001,0.00002,0.00006,-0.00011,-0.00004,0.00203,-0.00326,-0.00182,0.00373,0.00843,-0.01382,0.013,0.0031,0.00000,0,0,0,0,0.383,0.958,0.084,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.005472,0.000974,0.304,0.862,0.094,0.000456,0,0.1831,1.0000,0.13023,0.00014,0.0001,0.00000,0.0000,0.0000,0.000,0.07583,4.0000,0.328078,0.328099,0.000000,1,0.000000
