t_wall_s,phase,t_ref_s,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,q_cmd_7,q_meas_0,q_meas_1,q_meas_2,q_meas_3,q_meas_4,q_meas_5,q_meas_6,q_meas_7,pose_x,pose_y,pose_z,pose_rx,pose_ry,pose_rz,twist_vx,twist_vy,twist_vz,twist_wx,twist_wy,twist_wz,track_err_mm,follow_err_deg,slack_norm,n_cbf,vel_clamped,acc_clamped,pos_clamped,fx,fy,fz,instability_idx,damping_z_eff,v_force_z,ke_est,f_des_z_eff,v_r_z,takeover,governor_scale,governor_scale_raw,sigma_min,qdot_norm,qdot_max_frac_vmax,qdot_ff_norm,arm_singularity_smooth,limit_activation,tcp_jump_mm,rail_ext_err_m,rail_ext_w,rail_target_sent_m,rail_meas_m,rail_vel_pin,plan_drives_rail,rail_qdot_ff
0.0020,move->d,0.0000,0.000000,0.313985,-0.139417,-0.292063,1.366244,0.040858,0.869855,0.232199,-0.000000,0.313985,-0.139417,-0.292063,1.366244,0.040858,0.869855,0.232199,0.492189,-0.381214,0.371210,2.818324,-0.529296,-3.057285,-0.00000,0.00000,0.00000,0.00000,-0.00000,0.00000,0.000,0.0000,0.00000,0,0,0,1,-0.033,-0.268,0.202,nan,nan,nan,nan,nan,nan,0,0.0002,1.0000,0.10791,0.00000,0.0000,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,0.000000,1,0.000000
0.0069,move->d,0.0001,0.000000,0.313985,-0.139417,-0.292063,1.366243,0.040858,0.869855,0.232199,-0.000000,0.314002,-0.139417,-0.292063,1.366296,0.040858,0.869855,0.232129,0.492182,-0.381204,0.371182,2.818390,-0.529348,-3.057264,0.00001,-0.00002,0.00006,0.00012,-0.00009,-0.00011,0.030,0.0040,0.00000,0,0,0,0,-0.033,-0.268,0.202,nan,nan,nan,nan,nan,nan,0,0.0167,1.0000,0.10791,0.00018,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0119,move->d,0.0003,0.000000,0.313985,-0.139417,-0.292063,1.366243,0.040858,0.869855,0.232200,-0.000000,0.314002,-0.139417,-0.292063,1.366296,0.040858,0.869855,0.232129,0.492182,-0.381204,0.371182,2.818390,-0.529348,-3.057264,0.00001,-0.00002,0.00006,0.00012,-0.00009,-0.00011,0.030,0.0040,0.00000,0,0,0,0,-0.033,-0.267,0.201,nan,nan,nan,nan,nan,nan,0,0.0334,1.0000,0.10791,0.00018,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0171,move->d,0.0005,0.000000,0.313985,-0.139417,-0.292063,1.366242,0.040858,0.869855,0.232201,-0.000000,0.314002,-0.139399,-0.292098,1.366296,0.040858,0.869855,0.232094,0.492185,-0.381221,0.371173,2.818424,-0.529366,-3.057298,0.00001,0.00001,0.00007,0.00018,-0.00013,-0.00008,0.037,0.0061,0.00000,0,0,0,0,-0.033,-0.265,0.198,nan,nan,nan,nan,nan,nan,0,0.0506,1.0000,0.10791,0.00025,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0219,move->d,0.0008,0.000000,0.313985,-0.139418,-0.292063,1.366242,0.040858,0.869855,0.232202,-0.000000,0.314002,-0.139365,-0.292098,1.366261,0.040876,0.869855,0.232129,0.492194,-0.381215,0.371175,2.818382,-0.529364,-3.057290,-0.00001,0.00000,0.00007,0.00011,-0.00013,-0.00005,0.035,0.0041,0.00000,0,0,0,0,-0.032,-0.262,0.196,nan,nan,nan,nan,nan,nan,0,0.0667,1.0000,0.10791,0.00020,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0269,move->d,0.0013,0.000000,0.313985,-0.139418,-0.292063,1.366242,0.040858,0.869855,0.232203,-0.000000,0.314002,-0.139365,-0.292098,1.366261,0.040876,0.869855,0.232129,0.492194,-0.381215,0.371175,2.818382,-0.529364,-3.057290,-0.00001,0.00000,0.00007,0.00011,-0.00013,-0.00005,0.035,0.0042,0.00000,0,0,0,0,-0.029,-0.260,0.195,nan,nan,nan,nan,nan,nan,0,0.0833,1.0000,0.10791,0.00020,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0322,move->d,0.0018,0.000000,0.313984,-0.139418,-0.292063,1.366242,0.040857,0.869855,0.232203,-0.000000,0.314002,-0.139434,-0.292028,1.366261,0.040911,0.869855,0.232129,0.492183,-0.381173,0.371211,2.818336,-0.529291,-3.057186,0.00001,-0.00008,-0.00000,0.00002,0.00001,-0.00021,0.041,0.0042,0.00000,0,0,0,0,-0.026,-0.258,0.194,nan,nan,nan,nan,nan,nan,0,0.1009,1.0000,0.10791,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0373,move->d,0.0023,0.000000,0.313984,-0.139418,-0.292063,1.366241,0.040857,0.869855,0.232204,-0.000000,0.314002,-0.139434,-0.292028,1.366261,0.040911,0.869855,0.232129,0.492183,-0.381173,0.371211,2.818336,-0.529291,-3.057186,0.00001,-0.00008,-0.00000,0.00002,0.00001,-0.00021,0.041,0.0043,0.00000,0,0,0,0,-0.024,-0.255,0.194,nan,nan,nan,nan,nan,nan,0,0.1179,1.0000,0.10791,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0425,move->d,0.0030,0.000000,0.313984,-0.139417,-0.292063,1.366241,0.040857,0.869855,0.232205,-0.000000,0.314002,-0.139469,-0.292098,1.366261,0.040841,0.869855,0.232129,0.492181,-0.381230,0.371224,2.818392,-0.529264,-3.057307,0.00002,0.00003,-0.00003,0.00011,0.00007,-0.00003,0.023,0.0043,0.00000,0,0,0,0,-0.024,-0.252,0.193,nan,nan,nan,nan,nan,nan,0,0.1353,1.0000,0.10791,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
0.0477,move->d,0.0038,0.000000,0.313984,-0.139417,-0.292063,1.366241,0.040857,0.869855,0.232205,-0.000000,0.314002,-0.139469,-0.292098,1.366261,0.040841,0.869855,0.232129,0.492181,-0.381230,0.371224,2.818392,-0.529264,-3.057307,0.00002,0.00003,-0.00003,0.00011,0.00007,-0.00003,0.023,0.0044,0.00000,0,0,0,0,-0.024,-0.247,0.192,nan,nan,nan,nan,nan,nan,0,0.1527,1.0000,0.10791,0.00019,0.0001,0.00000,0.0000,1.0000,0.000,0.40000,4.0000,0.000000,-0.000000,-0.000000,1,-0.000000
