sample_t_mono_s,status_t_mono_s,force_seq,force_t_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,desired_fz_n,stage,contact,vz_cmd_mm_s,valid,stale,wrench_complete,force_source,mode,status_msg
916332.154103316,916332.152450275,21669,1788821998.0999584,0.251932616924178,0.27661052007897513,-0.49181231976106776,0.055045571255219986,-0.006425043411383702,0.019064125165299317,4.0,approach,0,0.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+0.0
916332.164139324,916332.161808522,21671,1788821998.1233647,0.08475108616105981,0.3864279540007354,-0.4161637542808762,0.06234704479484794,0.001838474398740522,0.016407091008041986,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.174102416,916332.171666137,21673,1788821998.1332228,0.06077036134698033,0.07975645442838442,-0.5226502269269311,0.04162261664904304,0.00563335615666216,0.016193022891826114,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.184124467,916332.181553942,21675,1788821998.1431122,0.08297625891867316,0.26239562512343256,-0.4623228090148429,0.05080105756605764,0.0035221452813776165,0.01455149176964209,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.194105956,916332.191441437,21677,1788821998.152997,0.06849290986958456,0.46940586884499524,-0.26797123407682555,0.07110098925205338,-0.004759861557130049,0.03142691792913382,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.204111053,916332.201456289,21679,1788821998.163014,0.18464718133773864,1.1251708025524243,0.2538338627769233,0.1301934444377611,-0.022491470715524372,0.039204412236129686,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.214100438,916332.21125257,21681,1788821998.1728106,0.2897316359739022,0.934278304853457,-0.2037986506472118,0.10070014997115229,-0.0161299267157594,0.027382755434430743,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.224137406,916332.221440604,21683,1788821998.182999,0.1355609607616166,0.303146546139118,-0.7584921195479741,0.05446400127300422,0.00627803787800989,0.030778031982499343,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.234135031,916332.231664822,21685,1788821998.1932185,0.2106338355623886,-0.006024271676125376,-0.6304503821324807,0.030523949935800654,-0.0034729129560257042,0.006214795206081907,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.244130785,916332.241390175,21687,1788821998.202948,0.25634030849858075,0.4554609605837239,-0.25787616712911393,0.0683600524392575,-0.011138798240858259,0.026772282483756786,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.254102813,916332.251693876,21689,1788821998.2132514,0.2267397388169491,0.39346164500210973,-0.3821078917701828,0.06001980382960678,-0.011913612729082817,0.00263982840533742,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.264122588,916332.261398704,21691,1788821998.2229526,0.23570710415111817,0.011992854284137756,-0.4129531156837353,0.036559552309367645,-0.006149914790398713,0.01627716060652997,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.274122565,916332.271305951,21693,1788821998.232858,0.1395592408970055,-0.09749785469570747,-0.5316710589516214,0.02318124564378813,0.0006679689056350408,0.011732088611153792,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.284107206,916332.281602499,21695,1788821998.2431598,0.057803472222161756,0.19851573275460294,-0.5854884271039679,0.055482638511142615,0.009581789448653342,0.0161801034122674,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.294108603,916332.29208712,21697,1788821998.2536404,0.060176333984030606,0.6390252593229593,-0.24759872532011307,0.07582943712688868,-0.0023114004028056954,0.02296380427969479,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.304112327,916332.301422917,21699,1788821998.2629807,0.3432236554052414,0.4162199915622302,-0.22087715065662145,0.07169652843687771,-0.01933187526454281,0.021839286434469123,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.314101247,916332.311299295,21701,1788821998.2728574,0.06790826566276847,0.5531586780397153,-0.5867662199189474,0.07119312688843532,0.001166165477038458,0.02949155198064922,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.324122117,916332.321424753,21703,1788821998.2829819,0.10122446132919216,0.3984362710723108,-0.4730097741022335,0.05909504177007374,-0.004187344957372961,0.023134608690479164,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.334125388,916332.331340448,21705,1788821998.2928977,0.11393803884211003,0.3668017330729887,-0.327659287904449,0.060825726215242445,0.0004168840744217383,0.020507196833753415,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.34412325,916332.341432841,21707,1788821998.3029907,0.10551995976434447,0.15750571492168924,-0.6072700714823436,0.04385588357793396,0.002656850460100093,0.009964559201550947,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.354119934,916332.351363174,21709,1788821998.3129218,0.11071688337629235,0.0840272901539819,-0.5203305944556238,0.03839751031771501,0.00035607002661878795,0.013208579451333925,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.364099829,916332.36129724,21711,1788821998.3228545,0.32261397115900287,0.4156853375915262,-0.5437398952306236,0.06100603501837795,-0.014871261317690935,0.018922303024224835,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.374098284,916332.371190734,21713,1788821998.3327477,0.21566753665687322,0.4759557208014123,-0.3452170623992358,0.067398282659441,-0.013358539267366232,0.015681955331755953,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.384112804,916332.38144548,21715,1788821998.3429987,0.18620541267875018,0.3339485818398878,-0.3538570982802855,0.06120599974922879,-0.009255186061796955,0.015503839693026666,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.394110805,916332.391238091,21717,1788821998.3527951,0.09118449925925365,0.22975676268206108,-0.36170405086813917,0.05096658729677117,0.0014533778011296841,0.016610314092288588,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.404126365,916332.401329015,21719,1788821998.362887,0.06514984992240894,0.43266350453011293,-0.476205579337805,0.06566905720733374,0.004372864498642844,0.023271460547025086,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.414089384,916332.411313567,21721,1788821998.3728697,0.08904278616111078,0.32747702213447527,-0.46294453298893756,0.05976416785343673,0.004090346903436346,0.018057512766030386,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.42411372,916332.421363472,21723,1788821998.3829198,0.19465654881922959,0.04578493586054942,-0.5188915570916035,0.034541794210979686,-0.005286446331609898,0.017438884824273193,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.434105371,916332.431557495,21725,1788821998.393113,0.005269598296057554,0.48022143582234,-0.43109597732969474,0.06391858123821499,0.005983697514713391,0.018088036946453542,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.444109576,916332.441291502,21727,1788821998.4028502,0.08082112210231546,0.6520329803434493,-0.48063302235417465,0.08364460049877792,0.0033351671245806297,0.031907547438070706,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.454108006,916332.451480241,21729,1788821998.4130366,0.26020129350222165,0.57479049851544,-0.44032294049670806,0.0749642550097428,-0.010087533924499126,0.028755953655255653,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.464104378,916332.46151618,21731,1788821998.4230695,0.020874654992734942,0.1813619619633236,-0.5005688329064131,0.05053794586286657,0.011711379746519176,0.019440815520024315,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
916332.474142513,916332.47130719,21733,1788821998.4328635,0.14531939877593136,0.3551266168282011,-0.443215389142226,0.059384708980151205,0.0028972964815353,0.019024357594669028,4.0,approach,0,12.0,1,0,1,force_bus_tool_compensated,4,phathom_s_scan:approach t=0.00 contact=0 vz_cmd=+12.0
